species,wood_density
Citrus medica,0.7
Citrus sinensis,0.78
Claoxylon longifolium,0.35
Claoxylon polot,0.36
Clarisia biflora,0.4975
Clarisia racemosa,0.5854285714285714
Clathrotropis brachypetala,0.8085
Clathrotropis brunnea,0.7649999999999999
Clathrotropis macrocarpa,0.71
Clausena anisata,0.482
Cleidion javanicum,0.45
Cleidion prealtum,0.39
Cleidion spiciflorum,0.71
Cleistanthus mildbraedii,0.921
Cleistanthus myrianthus,0.5349999999999999
Cleistanthus schlechteri,0.633
Cleistanthus subglaucus,0.53
Cleistanthus sumatranus,0.6399999999999999
Cleistocalyx conspersipunctatus,0.43
Cleistocalyx ellipticus,0.76
Cleistocalyx eugenioides,0.76
Cleistocalyx gustavioides,0.594
Cleistocalyx longiflorus,0.76
Cleistopholis glauca,0.30920000000000003
Cleistopholis patens,0.3355
Clerodendrum disparifolium,0.54
Clerodendrum glabrum,0.607
Clethra lanata,0.55
Clethra mexicana,0.55
Clethra ovalifolia,0.49
Clethra scabra,0.486
Clethra sumatrana,0.62
Cleyera japonica,0.547
Cleyera theaeoides,0.63
Clusia alata,0.56
Clusia cambessedii,0.56
Clusia fockeana,0.65
Clusia gundlachii,0.9
Clusia insignis,0.56
Clusia krugiana,0.9
Clusia rosea,0.605
Cnesmocarpon dasyantha,0.758
Cnidoscolus multilobus,0.29
Cnidoscolus phyllacanthus,0.55
Cnidoscolus pubescens,0.44
Coccoloba acuminata,0.58
Coccoloba barbadensis,0.705
Coccoloba caracasana,0.43
Coccoloba densifrons,0.58
Coccoloba diversifolia,0.8
Coccoloba latifolia,0.58
Coccoloba lehmannii,0.58
Coccoloba liebmannii,0.8
Coccoloba mollis,0.675
Coccoloba padiformis,0.8
Coccoloba pubescens,1.0
Coccoloba swartzii,0.7
Coccoloba uvifera,0.7
Cochlospermum gossypium,0.27
Cochlospermum orinocense,0.224
Cochlospermum religiosum,0.234
Cochlospermum vitifolium,0.21833333333333335
Codonocarpus attenuatus,0.323
Codonocarpus cotinifolius,0.375
Coelocaryon klainei,0.534
Coelocaryon oxycarpum,0.45133333333333336
Coelocaryon preussii,0.49526315789473685
Coelostegia borneensis,0.58
Coelostegia griffithii,0.5866666666666667
Coffea arabica,0.62
Coffea zanguebariae,0.646
Cola acuminata,0.5076666666666667
Cola buntingii,0.714
Cola cordifolia,0.523
Cola gigantea,0.48
Cola greenwayi,0.6955
Cola lateritia,0.507
Cola natalensis,0.738
Colona celebica,0.34
Colona javanica,0.38
Colona scabra,0.34
Colona serratifolia,0.38
Colona thorelii,0.353
Colophospermum mopane,0.904
Colubrina arborescens,0.7
Colubrina elliptica,0.8
Colubrina faralaotra,0.6803333333333333
Colubrina glandulosa,0.7386666666666667
Colubrina heteroneura,0.97
Colubrina papuana,0.8045
Colubrina spinosa,0.495
Colubrina triflora,0.86
Combretocarpus rotundatus,0.61
Combretocarpus rotuodatus,0.61
Combretum apiculatum,0.87
Combretum binderianum,0.8
Combretum elaeagnoides,0.857
Combretum erythrophyllum,0.603
Combretum fragrans,0.646
Combretum glutinosum,0.9
Combretum hereroense,0.814
Combretum imberbe,1.059
Combretum leprosum,0.63
Combretum molle,0.758
Combretum schumannii,0.929
Commersonia bartramia,0.40066666666666667
Commiphora africana,0.276
Commiphora barorum,0.346
Commiphora caerulea,0.37
Commiphora edulis,0.646
Commiphora leptophloeos,0.43
Commiphora marlothii,0.456
Commiphora mollis,0.37
Commiphora pterocarpa,0.369
Comocladia engleriana,0.79
Conceveiba guianensis,0.54325
Conceveiba martiana,0.43
Conceveiba pleiostemona,0.266
Connarus griffithii,0.55
Connarus suberosus,0.45
Conocarpus erectus,0.845
Copaifera aromatica,0.62
Copaifera duckei,0.62
Copaifera guyanensis,0.6174999999999999
Copaifera langsdorffii,0.6499999999999999
Copaifera mildbraedii,0.6597500000000001
Copaifera multijuga,0.5850000000000001
Copaifera officinalis,0.6272
Copaifera palustris,0.56
Copaifera pubiflora,0.6375
Copaifera religiosa,0.5123333333333333
Copaifera reticulata,0.6074999999999999
Copaifera salikounda,0.6963333333333334
Copernicia alba,0.791
Coprosma foetidissima,0.719
Coprosma linariifolia,0.82
Coprosma lucida,0.807
Coprosma pseudocuneata,0.815
Cordia abyssinica,0.577
Cordia africana,0.466
Cordia alliodora,0.5203076923076924
Cordia americana,0.688
Cordia bicolor,0.475
Cordia borinquensis,0.7
Cordia caffra,0.723
Cordia cicatricosa,0.41
Cordia collococca,0.42
Cordia dentata,0.5
Cordia dichotoma,0.45120000000000005
Cordia dodecandra,0.65
Cordia ecalyculata,1.076
Cordia elaeagnoides,0.88
Cordia exaltata,0.39849999999999997
Cordia fallax,0.3735
Cordia fragrantissima,0.689
Cordia gerascanthus,0.745
Cordia glabrata,0.77
Cordia goeldiana,0.49799999999999994
Cordia goetzei,0.758
Cordia laevifrons,0.33
Cordia lasiocalyx,0.397
Cordia lomatoloba,0.41
Cordia megalantha,0.39
Cordia millenii,0.40925
Cordia myxa,0.363
Cordia nodosa,0.39
Cordia platythyrsa,0.385
Cordia sagotii,0.40900000000000003
Cordia scabrifolia,0.474
Cordia sebestena,0.7
Cordia seleriana,0.78
Cordia sericicalyx,0.387
Cordia sonorae,0.81
Cordia subcordata,0.496
Cordia subpubescens,0.22
Cordia sulcata,0.6
Cordia tetrandra,0.345
Cordia trichotoma,0.63
Cordia ucayaliensis,0.41
Cordia vestita,0.68
Cordyla africana,0.7304999999999999
Cordyla madagascariensis,0.818
Cordyla pinnata,0.754
Cornus controversa,0.535
Cornus disciflora,0.53
Cornus florida,0.64
Cornus nuttallii,0.58
Cornus peruviana,0.56
Cornus sanguinea,0.68
Cornutia grandiflora,0.6
Corylus avellana,0.517
Corylus chinensis,0.5665
Corymbia abergiana,0.771
Corymbia bloxsomei,0.745
Corymbia chippendalei,0.846
Corymbia citriodora,0.8248333333333333
Corymbia clavigera,0.831
Corymbia confertiflora,0.778
Corymbia dallachiana,0.74825
Corymbia dichromophloia,0.895
Corymbia erythrophloia,0.895
Corymbia gummifera,0.82
Corymbia henryi,0.87
Corymbia lenziana,0.889
Corymbia maculata,0.844
Corymbia nesophila,0.853
Corymbia peltata,0.8335
Corymbia polycarpa,0.8708333333333332
Corymbia setosa,1.02
Corymbia terminalis,0.87
Corymbia tessellaris,0.9145000000000001
Corymbia torelliana,0.761
Corymbia trachyphloia,0.879
Corymbia watsoniana,0.827
Corynanthe pachyceras,0.6723333333333334
Corynocarpus australasicus,0.71
Corynocarpus cribbianus,0.594
Corythophora alta,0.7136666666666667
Corythophora rimosa,0.7956666666666666
Cotylelobium burckii,0.815
Cotylelobium lanceolatum,0.78
Cotylelobium malayanum,0.85
Cotylelobium melanoxylon,0.825
Couepia bracteosa,0.77
Couepia caryophylloides,0.77
Couepia elata,0.769
Couepia guianensis,0.7552
Couepia hostmanniana,0.77
Couepia longipendula,0.938
Couepia paraensis,0.85
Couepia polyandra,0.74
Couepia robusta,0.83
Couepia ulei,0.7895
Coula edulis,0.8946666666666667
Couma guianensis,0.4666666666666666
Couma macrocarpa,0.474
Couma utilis,0.66
Couratari asterotricha,0.51
Couratari guianensis,0.507125
Couratari longipedicellata,0.54
Couratari macrosperma,0.67
Couratari multiflora,0.44799999999999995
Couratari oblongifolia,0.505
Couratari panamensis,0.49
Couratari stellata,0.6331428571428572
Couratari tauari,0.555
Couroupita guianensis,0.434
Couroupita subsessilis,0.39
Coussapoa asperifolia,0.4515
Coussapoa batavorum,0.49
Coussapoa microcarpa,0.59
Coussapoa panamensis,0.39
Coussapoa parviceps,0.49
Coussapoa parvifolia,0.49
Coussarea ampla,0.476
Coussarea hirticalyx,0.645
Coussarea hydrangeifolia,0.65
Coussarea racemosa,0.65
Coussarea surinamensis,0.67
Coutarea hexandra,0.6
Craibia brevicaudata,0.6194999999999999
Craspidospermum verticillatum,0.838
Crassocephalum mannii,0.331
Crataegus calpodendron,0.62
Crataegus oxyacantha,0.7
Craterispermum schweinfurthii,0.663
Crateva membranifolia,0.375
Crateva nurvala,0.34
Crateva tapia,0.5185000000000001
Cratoxylum arborescens,0.43333333333333335
Cratoxylum clandestinum,0.51
Cratoxylum cochinchinense,0.6699999999999999
Cratoxylum formosum,0.715
Cratoxylum glaucum,0.48
Cratoxylum ligustrinum,0.7306
Cratoxylum prunifolium,0.744
Cratoxylum sumatranum,0.5913333333333334
Crepidospermum rhoifolium,0.5785
Crescentia alata,0.71
Crescentia cujete,0.6339999999999999
Crinodendron tucumanum,0.458
Crossopteryx febrifuga,0.702
Croton argyratus,0.6633333333333334
Croton croizatii,0.41
Croton cuneatus,0.41
Croton floribundus,0.6
Croton glabrescens,0.58
Croton griffithii,0.55
Croton laevifolius,0.43
Croton laevigatus,0.53
Croton lanjouwensis,0.62
Croton luciae,0.41
Croton macrostachyus,0.47933333333333333
Croton matourensis,0.38833333333333336
Croton megalobotrys,0.551
Croton megalocarpus,0.5346
Croton mutisianus,0.41
Croton nitens,0.53
Croton oblongifolius,0.606
Croton oligandrus,0.571
Croton poecilanthus,0.6
Croton tchibangensis,0.3598
Croton tessmannii,0.39
Croton triacros,0.525
Croton urucurana,0.5279999999999999
Croton xanthochylus,0.43166666666666664
Crudia acuta,0.53
Crudia amazonica,0.835
Crudia aromatica,0.9299999999999999
Crudia beccarii,0.75
Crudia blancoi,0.85
Crudia caudata,0.85
Crudia chrysantha,0.672
Crudia curtisii,0.8
Crudia glaberrima,0.7849999999999999
Crudia gracilis,0.95
Crudia mutabilis,0.59
Crudia obliqua,0.75
Crudia ripicola,0.725
Crudia scortechinii,0.9
Crudia tenuipes,0.86
Crudia teysmannii,0.68
Crudia velutina,0.76
Crudia wrayi,0.76
Cryosophila warscewiczii,0.4
Crypteronia cumingii,0.41
Crypteronia griffithii,0.5846666666666667
Crypteronia paniculata,0.6635
Cryptocarya alleniana,0.353
Cryptocarya angica,0.55
Cryptocarya angulata,0.6585000000000001
Cryptocarya archboldiana,0.52
Cryptocarya aschersoniana,0.57
Cryptocarya bicolor,0.7
Cryptocarya chinensis,0.5
Cryptocarya chingii,0.54
Cryptocarya corrugata,0.673
Cryptocarya costata,0.47
Cryptocarya crassinervia,0.4865
Cryptocarya cunninghamii,0.672
Cryptocarya densiflora,0.5357142857142857
Cryptocarya erythroxylon,0.585
Cryptocarya ferrea,0.63
Cryptocarya foveolata,0.456
Cryptocarya glaucescens,0.5495
Cryptocarya grandis,0.715
Cryptocarya griffithiana,0.55
Cryptocarya hypoglauca,0.663
Cryptocarya hypospodia,0.594
Cryptocarya idenburgensis,0.5
Cryptocarya impressa,0.5
Cryptocarya kurzii,0.605
Cryptocarya lanceolata,0.353
Cryptocarya louvelii,0.7381666666666667
Cryptocarya mackinnoniana,0.75125
Cryptocarya massoy,0.53
Cryptocarya membranacea,0.58
Cryptocarya metcalfiana,0.76
Cryptocarya microneura,0.689
Cryptocarya moretoniana,0.551
Cryptocarya multipaniculata,0.38
Cryptocarya murrayi,0.676
Cryptocarya oblata,0.474
Cryptocarya obovata,0.49700000000000005
Cryptocarya obtusifolia,0.56
Cryptocarya palmerensis,0.4215
Cryptocarya pleurosperma,0.583
Cryptocarya rigida,0.62
Cryptocarya roemeri,0.55
Cryptocarya subvelutina,0.46
Cryptocarya thouvenotii,0.59075
Cryptocarya tomentosa,0.48
Cryptocarya triplinervis,0.61
Cryptocarya verrucosa,0.3
Cryptomeria fortunei,0.30266666666666664
Cryptomeria japonica,0.4
Cryptosepalum staudtii,0.75275
Ctenolophon englerianus,0.795
Ctenolophon parvifolius,0.7433333333333333
Cullen australasicum,0.788
Cunninghamia lanceolata,0.3156923076923077
Cunonia capensis,0.6
Cupania americana,0.565
Cupania cinerea,0.5
Cupania dentata,0.66
Cupania lucens,0.573
Cupania oblongifolia,0.67
Cupania scrobiculata,0.628
Cupania vernalis,0.6625000000000001
Cupaniopsis anacardioides,0.835
Cupaniopsis apiocarpa,0.715
Cupaniopsis parvifolia,0.719
Cupressus duclouxiana,0.43
Cupressus funebris,0.47
Cupressus lusitanica,0.39
Cupressus macrocarpa,0.4
Cupressus sempervirens,0.435
Cupressus torulosa,0.44
Curatella americana,0.65
Curtisia dentata,0.801
Curtisia faginea,0.7
Curupira tefeensis,0.81
Cuspidaria lateriflora,0.54
Cussonia arborea,0.361
Cussonia spicata,0.445
Cyathocalyx bancanus,0.34
Cyathocalyx carinatus,0.32
Cyathocalyx globosus,0.74
Cyathocalyx havilandii,0.6
Cyathocalyx maingayi,0.48
Cyathocalyx pahangensis,0.45
Cyathocalyx pruniferus,0.39
Cyathocalyx sumatrana,0.76
Cyathodes fasciculata,0.732
Cybianthus fulvopulverulentus,0.5925
Cybistax antisyphilitica,0.59
Cyclolobium vecchii,0.9
Cylicodiscus gabunensis,0.7788421052631579
Cymbopetalum baillonii,0.48
Cymbopetalum brasiliense,0.485
Cymbopetalum penduliflorum,0.69
Cynometra alexandri,0.7442
Cynometra ananta,0.82975
Cynometra cauliflora,0.72
Cynometra hankei,0.8405
Cynometra hostmanniana,0.84
Cynometra inaequifolia,0.8
Cynometra insularis,0.76
Cynometra malaccensis,0.79
Cynometra mimosoides,0.799
Cynometra novo-guineensis,0.89
Cynometra oaxacana,0.98
Cynometra parvifolia,0.84
Cynometra polyandra,0.758
Cynometra ramiflora,0.7866666666666666
Cynometra retusa,0.8
Cyrilla racemiflora,0.5900000000000001
Dacrycarpus cinctus,0.46
Dacrycarpus imbricatus,0.41333333333333333
Dacrycarpus steupii,0.5
Dacrydium beccarii,0.61
Dacrydium bidwillii,0.701
Dacrydium biforme,0.795
Dacrydium colensoi,0.54
Dacrydium cupressinum,0.589
Dacrydium elatum,0.485
Dacrydium intermedium,0.7
Dacrydium nausoriensis,0.52
Dacrydium nidulum,0.49250000000000005
Dacrydium novo-guineense,0.465
Dacrydium pierrei,0.544
Dacryodes belemensis,0.52
Dacryodes buettneri,0.51255
Dacryodes colombiana,0.51
Dacryodes costata,0.6950000000000001
Dacryodes edulis,0.5163333333333333
Dacryodes excelsa,0.48
Dacryodes heterotricha,0.6041428571428572
Dacryodes igaganga,0.5373636363636364
Dacryodes incurvata,0.59
Dacryodes klaineana,0.7244999999999999
Dacryodes kukachkana,0.535
Dacryodes laxa,0.6933333333333334
Dacryodes letestui,0.548
Dacryodes macrocarpa,0.565
Dacryodes macrophylla,0.553
Dacryodes nitens,0.49
Dacryodes normandii,0.5165555555555555
Dacryodes occidentalis,0.525
Dacryodes peruviana,0.53
Dacryodes pubescens,0.5816
Dacryodes rostrata,0.55
Dacryodes rubiginosa,0.5800000000000001
Dacryodes rugosa,0.7350000000000001
Dactylocladus stenostachya,0.415
Dalbergia balansae,0.5245
Dalbergia baronii,0.6212
Dalbergia brasiliensis,0.91
Dalbergia cambodiana,0.904
Dalbergia cearensis,0.8633333333333333
Dalbergia cochinchinensis,0.88
Dalbergia congestiflora,0.83
Dalbergia cultrata,0.77
Dalbergia decipularis,0.82
Dalbergia floribunda,0.75
Dalbergia frutescens,0.69
Dalbergia fusca,0.835
Dalbergia glauca,0.7949999999999999
Dalbergia granadillo,0.86
Dalbergia greveana,0.984
Dalbergia hainanensis,0.68875
Dalbergia hupeana,0.75225
Dalbergia kurzii,0.579
Dalbergia lanceolaria,0.5605
Dalbergia latifolia,0.75
Dalbergia mammosa,0.85
Dalbergia melanoxylon,1.0772
Dalbergia nigra,0.812375
Dalbergia odorifera,0.8495
Dalbergia oliveri,0.8795
Dalbergia ovata,0.675
Dalbergia retusa,0.86
Dalbergia rimosa,0.62
Dalbergia sissoides,0.6950000000000001
Dalbergia sissoo,0.6764285714285715
Dalbergia stevensonii,0.7787499999999999
Dalbergia tucurensis,0.86
Daniellia klainei,0.4435
Daniellia ogea,0.43325
Daniellia oliveri,0.49336363636363634
Daniellia pynaertii,0.4
Daniellia soyauxii,0.463
Daniellia thurifera,0.46
Daphnandra micrantha,0.5585
Daphnandra repandula,0.581
Daphniphyllum atrobadium,0.44
Daphniphyllum glaucescens,0.53
Daphniphyllum lancifolium,0.49
Daphniphyllum oldhamii,0.536
Daphniphyllum paxianum,0.5355000000000001
Daphnopsis brasiliensis,0.52
Darlingia darlingiana,0.656
Darlingia ferruginea,0.5165
Dasylepis integra,0.64
Davidia involucrata,0.4485
Davidsonia pruriens,0.786
Decaspermum hainanense,0.732
Decaspermum humile,0.702
Degeneria vitiensis,0.35
Dehaasia caesia,0.66
Dehaasia cuneata,0.5646666666666667
Dehaasia curtisii,0.69
Dehaasia elliptica,0.58
Dehaasia firma,0.5549999999999999
Dehaasia incrassata,0.45999999999999996
Dehaasia microcarpa,0.46
Dehaasia nigrescens,0.57
Dehaasia pauciflora,0.67
Delarbrea michieana,0.634
Delonix regia,0.57875
Dendrobangia boliviana,0.6353333333333334
Dendrocnide excelsa,0.207
Dendrocnide photinophylla,0.207
Dendropanax arboreus,0.41983333333333334
Deplanchea bancana,0.43000000000000005
Deplanchea tetraphylla,0.42677777777777776
Derris dalbergioides,0.68
Derris hatschbachii,0.82
Derris microphylla,0.59
Derris rariflora,0.597
Derris robusta,0.73
Derris spruceana,0.67
Desbordesia glaucescens,0.915
Desbordesia pierreana,0.947
Desmopsis panamensis,0.764
Detarium senegalense,0.7000000000000001
Dialium bipindense,0.959
Dialium cochinchinense,0.94
Dialium corbisieri,0.876
Dialium dinklagei,0.683
Dialium englerianum,0.801
Dialium excelsum,0.824
Dialium guianense,0.8963846153846154
Dialium hydnocarpoides,0.6966666666666667
Dialium indum,0.82
Dialium kingii,0.68
Dialium kunstleri,0.72
Dialium laurinum,0.8
Dialium maingayi,0.82
Dialium modestum,0.76
Dialium pachyphyllum,0.9225
Dialium patens,0.97
Dialium platysepalum,0.7725
Dialium procerum,0.71
Dialium wallichii,0.88
Diatenopteryx sorbifolia,0.744
Dichapetalum papuanum,0.761
Dichrostachys cinerea,0.99
Diclinanona calycina,0.47
Dicorynia guianensis,0.5912
Dicranolepis usambarica,0.6
Dicymbe altsonii,0.758
Dicymbe corymbosa,0.758
Didelotia africana,0.6615
Didelotia brevipaniculata,0.5529999999999999
Didelotia idae,0.551
Didelotia letouzeyi,0.5155000000000001
Didymopanax macrocarpum,0.575
Didymosalpinx norae,0.715
Dillenia alata,0.5505
Dillenia aurea,0.6256666666666667
Dillenia borneensis,0.61
Dillenia celebica,0.63
Dillenia excelsa,0.68
Dillenia eximia,0.68
Dillenia grandifolia,0.65
Dillenia indica,0.7
Dillenia luzoniensis,0.685
Dillenia megalantha,0.739
Dillenia oblonga,0.48
Dillenia obovata,0.63
Dillenia ochreata,0.64
Dillenia ovalifolia,0.68
Dillenia papuana,0.5505
Dillenia parviflora,0.56
Dillenia pentagyna,0.5953333333333334
Dillenia philippinensis,0.6265000000000001
Dillenia pulchella,0.69
Dillenia pulcherrima,0.537
Dillenia reticulata,0.61
Dillenia serrata,0.51
Dillenia suffruticosa,0.45
Dillenia sumatrana,0.68
Dilobeia thouarsii,0.8436
Dimocarpus longan,0.7
Dimorphandra conjugata,0.7275
Dimorphandra davisii,0.861
Dimorphandra macrostachya,0.6950000000000001
Dimorphandra mora,0.99
Dimorphandra parviflora,1.0
Dimorphandra polyandra,0.656
Dimorphandra pullei,0.58
Dimorphocalyx malayanus,0.82
Dinizia excelsa,0.9054
Diogoa zenkeri,0.6955
Diospyros abyssinica,0.6
Diospyros andamanica,0.6
Diospyros areolata,0.72
Diospyros argentea,0.69
Diospyros aurea,0.38
Diospyros australis,0.633
Diospyros baloen-ldjoek,0.73
Diospyros bantamensis,0.76
Diospyros beccarii,0.62
Diospyros bejaudii,0.796
Diospyros blancoi,0.88
Diospyros borneensis,0.55
Diospyros brachiata,0.54
Diospyros brasiliensis,0.68
Diospyros burmanica,1.095
Diospyros buxifolia,0.7749999999999999
Diospyros campanulata,0.63
Diospyros capreifolia,0.73
Diospyros carbonaria,0.73
Diospyros cauliflora,0.54
Diospyros cayennensis,0.46
Diospyros celebica,0.88
Diospyros clavigera,0.77
Diospyros confertiflora,0.66
Diospyros cordifolia,0.73
Diospyros crassiflora,0.8582000000000001
Diospyros curranii,0.6599999999999999
Diospyros curraniopsis,0.63
Diospyros dajakensis,0.68
Diospyros decipiens,0.65
Diospyros dendo,0.905
Diospyros densa,0.71
Diospyros dichroa,0.53
Diospyros diepenhorstii,0.57
Diospyros digyna,0.79
Diospyros discocalyx,0.53
Diospyros durionoides,0.75
Diospyros ebenum,0.74
Diospyros ehretioides,0.606
Diospyros ellipticifolia,0.76
Diospyros elmeri,0.77
Diospyros eriantha,0.7026
Diospyros evena,0.58
Diospyros ferrea,0.9400000000000001
Diospyros ferruginescens,0.62
Diospyros forbesii,0.74
Diospyros foxworthyi,0.54
Diospyros glaucophylla,0.62
Diospyros guianensis,0.73
Diospyros hallierii,0.59
Diospyros hasseltii,0.553
Diospyros helferi,0.72
Diospyros hemicycloides,1.012
Diospyros hermaphroditica,0.595
Diospyros hispida,0.62
Diospyros inclusa,0.696
Diospyros inconstans,0.83
Diospyros kaki,0.6303333333333333
Diospyros kamerunensis,0.82525
Diospyros kirkii,0.633
Diospyros koeboeensis,0.64
Diospyros korthalsiana,0.61
Diospyros kurzii,0.8
Diospyros laevis,0.46
Diospyros lancifolia,0.66
Diospyros latisepala,0.67
Diospyros lissocarpoides,0.482
Diospyros lolin,0.82
Diospyros longibracteata,0.51
Diospyros lucida,0.83
Diospyros maclurei,0.704
Diospyros macrophylla,0.48
Diospyros maingayi,0.545
Diospyros malabarica,0.715
Diospyros malaccensis,0.83
Diospyros malam,0.605
Diospyros mannii,0.813
Diospyros maritima,0.56
Diospyros marmorata,0.85
Diospyros melanoxylon,0.68
Diospyros mespiliformis,0.7016666666666667
Diospyros minahasae,0.51
Diospyros mindanaensis,0.65
Diospyros montana,0.719
Diospyros mun,0.947
Diospyros nemorosa,0.6
Diospyros oblonga,0.75
Diospyros palembanica,0.69
Diospyros papuana,0.683
Diospyros paralea,0.47
Diospyros paraoesi,0.6799999999999999
Diospyros penangiana,0.7
Diospyros pendula,0.685
Diospyros pentamera,0.618
Diospyros perakensis,0.71
Diospyros peregrina,0.72
Diospyros perfida,0.72
Diospyros philippinensis,0.825
Diospyros pilosanthera,0.645
Diospyros poeppigiana,0.6
Diospyros polita,0.59
Diospyros polyalthioides,0.7
Diospyros poncei,0.81
Diospyros puncticulosa,0.66
Diospyros pyrrhocarpa,0.64
Diospyros quiloensis,0.814
Diospyros retrofracta,0.74
Diospyros rigida,0.7166666666666667
Diospyros rubra,0.63
Diospyros rumphii,0.83
Diospyros sanza-minika,0.7188000000000001
Diospyros scabiosa,0.45
Diospyros senensis,0.676
Diospyros siamang,0.52
Diospyros simaloerensis,0.72
Diospyros subrhomboidea,0.82
Diospyros sumatrana,0.605
Diospyros sundaica,0.64
Diospyros tetrasperma,0.81
Diospyros tomentosa,0.706
Diospyros toposia,0.7
Diospyros toposioides,0.71
Diospyros transitoria,0.84
Diospyros tristis,0.67
Diospyros truncata,0.55
Diospyros tuberculata,0.45
Diospyros ulo,0.76
Diospyros venenosa,0.53
Diospyros virginiana,0.67
Diospyros wallichii,0.6
Diospyros yeobi,0.76
Diphysa occidentalis,1.18
Diphysa thurberi,0.98
Diploglottis australis,0.6516666666666666
Diploglottis bracteata,0.857
Diplokeleba floribunda,0.852
Diploknema butyracea,0.63
Diploknema oligomera,0.9
Diploon cuspidatum,0.85
Diplorhynchus condylocarpon,0.667
Diplospora malaccense,0.7
Diplotropis martiusii,0.6333333333333333
Diplotropis purpurea,0.7618461538461538
Dipterocarpus acutangulus,0.635
Dipterocarpus alatus,0.599
Dipterocarpus applanatus,0.64
Dipterocarpus apterus,0.62
Dipterocarpus baudii,0.64
Dipterocarpus borneensis,0.64
Dipterocarpus bourdilloni,0.58
Dipterocarpus caudatus,0.69
Dipterocarpus chartaceus,0.64
Dipterocarpus concavus,0.74
Dipterocarpus confertus,0.64
Dipterocarpus conformis,0.765
Dipterocarpus coriaceus,0.585
Dipterocarpus cornutus,0.6766666666666667
Dipterocarpus costatus,0.755
Dipterocarpus costulatus,0.74
Dipterocarpus crinitus,0.745
Dipterocarpus dyeri,0.64
Dipterocarpus elongatus,0.5499999999999999
Dipterocarpus eurhynchus,0.63
Dipterocarpus fagineus,0.78
Dipterocarpus geniculatus,0.59
Dipterocarpus globosus,0.7
Dipterocarpus gracilis,0.6033333333333334
Dipterocarpus grandiflorus,0.6699999999999999
Dipterocarpus hasseltii,0.555
Dipterocarpus humeratus,0.63
Dipterocarpus indicus,0.62
Dipterocarpus intricatus,0.64
Dipterocarpus kerrii,0.61
Dipterocarpus kunstleri,0.6
Dipterocarpus lamellatus,0.68
Dipterocarpus lowii,0.715
Dipterocarpus macrocarpus,0.6
Dipterocarpus mundus,0.72
Dipterocarpus oblongifolius,0.615
Dipterocarpus obtusifolius,0.65
Dipterocarpus palembanicus,0.5733333333333334
Dipterocarpus penangianus,0.745
Dipterocarpus pseudo-fagineus,0.75
Dipterocarpus retusus,0.605
Dipterocarpus rigidus,0.71
Dipterocarpus rotundifolius,0.86
Dipterocarpus semivestitus,0.69
Dipterocarpus sublamellatus,0.65
Dipterocarpus tempehes,0.545
Dipterocarpus tonkinensis,0.52275
Dipterocarpus tuberculatus,0.72
Dipterocarpus turbinatus,0.619
Dipterocarpus validus,0.54
Dipterocarpus verrucosus,0.6733333333333333
Dipterocarpus zeylanicus,0.69
Dipteryx alata,0.9775
Dipteryx ferrea,0.84
Dipteryx micrantha,0.871
Dipteryx odorata,0.92275
Dipteryx oleifera,0.8483333333333333
Dipteryx polyphylla,0.8856666666666667
Dipteryx punctata,0.92
Dirca occidentalis,0.33
Discoglypremna caloneura,0.3396
Discophora guianensis,0.56
Dissiliaria baloghioides,0.8476666666666667
Distemonanthus benthamianus,0.6045714285714286
Distylium racemosum,0.7125
Distylium stellare,0.67
Dodonaea viscosa,0.9470000000000001
Dolichandrone serrulata,0.441
Dolichandrone spathacea,0.43
Dombeya burgessiae,0.482
Dombeya goetzenii,0.5
Dombeya lucida,0.47
Doryphora aromatica,0.482
Doryphora sassafras,0.515
Dovyalis caffra,0.676
Dovyalis macrocalyx,0.482
Dracaena angustifolia,0.35
Dracaena elliptica,0.49
Dracaena linearifolia,0.42
Dracaena reflexa,0.413
Dracontomelon costatum,0.47
Dracontomelon dao,0.4
Dracontomelon mangiferum,0.53
Dracontomelon puberulum,0.465
Dracophyllum longifolium,0.524
Drimycarpus racemosus,0.84
Drimys granatensis,0.4
Drimys winteri,0.41500000000000004
Dryadodaphne novoguineensis,0.5095000000000001
Dryandra arborea,0.808
Dryobalanops aromatica,0.68
Dryobalanops beccarii,0.5033333333333333
Dryobalanops fusca,0.68
Dryobalanops keithii,0.63
Dryobalanops lanceolata,0.62
Dryobalanops oblongifolia,0.61
Dryobalanops rappa,0.655
Dryobalanops sumatrensis,0.65
Drypetes amazonica,0.67
Drypetes americana,0.73
Drypetes aubrevillei,0.826
Drypetes bordenii,0.793
Drypetes crassipes,0.55
Drypetes deplanchei,0.782
Drypetes gerrardii,0.703
Drypetes globosa,0.73
Drypetes gossweileri,0.669
Drypetes hainanensis,0.7183333333333334
Drypetes kikir,0.72
Drypetes longifolia,0.62
Drypetes minahassae,0.53
Drypetes neglecta,0.72
Drypetes ovalis,0.81
Drypetes pendula,0.75
Drypetes polyneura,0.67
Drypetes roxburghii,0.675
Drypetes sibuyanensis,0.63
Drypetes simalurensis,0.76
Drypetes standleyi,0.675
Drypetes subcubica,0.63
Drypetes subsymmetrica,0.63
Drypetes usambarica,0.62
Drypetes variabilis,0.7366666666666667
Duabanga grandiflora,0.379
Duabanga moluccana,0.3323333333333333
Duboisia hopwoodii,0.925
Duboisia myoporoides,0.3865
Duckeodendron cestroides,0.6343333333333333
Duckesia verrucosa,0.8180000000000001
