species,wood_density
Adina globiflora,0.92
Adina microcephala,0.75
Adina pilulifera,0.891
Adina polycephala,0.6815
Adina rubescens,0.71
Adina sessilifolia,0.603
Adinandra acuminata,0.48
Adinandra acutifolia,0.634
Adinandra borneensis,0.48
Adinandra collina,0.47
Adinandra cordifolia,0.5
Adinandra dasyantha,0.46
Adinandra dumosa,0.54
Adinandra forbesii,0.63
Adinandra hainanensis,0.47
Adinandra integerrima,0.56
Adinandra javanica,0.51
Adinandra lamponga,0.53
Adinandra maculosa,0.51
Adinandra millettii,0.44
Adinandra polyneura,0.52
Adinandra rantepaoensis,0.4
Adinandra sarosanthera,0.53
Adinandra subauriculata,0.58
Adinandra subunguiculata,0.5
Adinauclea fagifolia,0.65
Adiscanthus fusciflorus,0.82
Aegiceras corniculatum,0.51
Aegiceras floridum,0.68
Aegiphila integrifolia,0.86
Aegiphila intermedia,0.43
Aegiphila klotzkiana,0.68
Aegle marmelos,0.8255
Aesculus chinensis,0.6
Aesculus flava,0.347
Aesculus hippocastanum,0.5
Aesculus indica,0.465
Aesculus octandra,0.33
Aesculus turbinata,0.45
Aetoxylon sympetalum,0.74
Afrocrania volkensii,0.663
Afzelia africana,0.6926428571428571
Afzelia bella,0.637
Afzelia bipindensis,0.7313636363636363
Afzelia bracteata,0.68
Afzelia javanica,0.61
Afzelia pachyloba,0.6833333333333333
Afzelia parviflora,0.679
Afzelia quanzensis,0.716
Afzelia rhomboidea,0.59
Agathis alba,0.38
Agathis atropurpurea,0.413
Agathis australis,0.45
Agathis borneensis,0.3833333333333333
Agathis dammara,0.4515
Agathis labillardieri,0.38
Agathis microstachya,0.4355
Agathis philippinensis,0.45
Agathis robusta,0.4008
Agathis vitiensis,0.45
Aglaia agglomerata,0.62
Aglaia argentea,0.63
Aglaia aspera,0.71
Aglaia cordata,0.78
Aglaia cucullata,0.5519999999999999
Aglaia dasyclada,0.5533333333333333
Aglaia edulis,0.71
Aglaia elaeagnoidea,0.63
Aglaia elliptica,0.66
Aglaia exstipulata,0.8
Aglaia forbesii,0.66
Aglaia grandis,0.66
Aglaia griffithii,0.86
Aglaia hiernii,0.5
Aglaia lanceolata,0.69
Aglaia lawii,0.595
Aglaia leptantha,0.64
Aglaia leucophylla,0.72
Aglaia luzoniensis,0.65
Aglaia macrocarpa,0.55
Aglaia maingayi,0.79
Aglaia malaccensis,0.64
Aglaia merostela,0.74
Aglaia multinervis,0.64
Aglaia nitidula,0.689
Aglaia odoratissima,0.715
Aglaia pachyphylla,0.69
Aglaia perviridis,0.81
Aglaia ridleyi,0.61
Aglaia roxburghiana,0.7015
Aglaia rubescens,0.58
Aglaia rubiginosa,0.76
Aglaia sapindina,0.42
Aglaia silvestris,0.67
Aglaia simplicifolia,0.77
Aglaia spectabilis,0.575
Aglaia subcuprea,0.73
Aglaia tenuicaulis,0.73
Aglaia tomentosa,0.675
Aglaia unifoliolata,0.76
Aglaia wallichii,0.554
Agonandra brasiliensis,0.81775
Agonandra silvatica,0.8305
Agrostistachys borneensis,0.82
Agrostistachys gaudichaudii,0.59
Aidia micrantha,0.663
Aidia ochroleuca,0.824
Aidia racemosa,0.771
Ailanthus altissima,0.5191666666666667
Ailanthus excelsa,0.4
Ailanthus integrifolia,0.305
Ailanthus peekelii,0.465
Ailanthus triphysa,0.35819999999999996
Aiouea impressa,0.37
Aistopetalum viticoides,0.76
Akania bidwillii,0.573
Alangium chinense,0.40166666666666667
Alangium griffithii,0.7
Alangium javanicum,0.73
Alangium kurzii,0.42
Alangium longiflorum,0.683
Alangium maliliense,0.69
Alangium nobile,0.75
Alangium ridleyi,0.7749999999999999
Alangium salviifolium,0.8
Alangium villosum,0.5556666666666666
Albizia acle,0.51
Albizia adianthifolia,0.5075000000000001
Albizia amara,0.7404999999999999
Albizia antunesiana,0.6930000000000001
Albizia brevifolia,0.801
Albizia chinensis,0.3
Albizia coriaria,0.56
Albizia dinklagei,0.76
Albizia falcata,0.323
Albizia falcataria,0.284
Albizia ferruginea,0.4943333333333333
Albizia glaberrima,0.5675
Albizia grandibracteata,0.456
Albizia guachapele,0.5125
Albizia gummifera,0.5338571428571429
Albizia inundata,0.583
Albizia kalkora,0.4895
Albizia lebbeck,0.5973333333333334
Albizia lebbek,0.71
Albizia lebbekoides,0.568
Albizia lucida,0.88
Albizia lucidior,0.758
Albizia marginata,0.65
Albizia niopoides,0.5549999999999999
Albizia odoratissima,0.6385
Albizia pedicellata,0.315
Albizia pistaciifolia,0.45
Albizia procera,0.573
Albizia purpusii,0.64
Albizia retusa,0.46
Albizia saman,0.495
Albizia saponaria,0.57
Albizia schimperiana,0.525
Albizia splendens,0.54
Albizia sumatrana,0.38
Albizia tanganyicensis,0.263
Albizia tomentella,0.59
Albizia umbrosa,0.63
Albizia versicolor,0.644
Albizia zimmermannii,0.801
Albizia zygia,0.4936666666666667
Alchornea brachygyne,0.34
Alchornea castaneifolia,0.34
Alchornea costaricensis,0.301
Alchornea glandulosa,0.378
Alchornea grandis,0.34
Alchornea hirtella,0.525
Alchornea iricurana,0.507
Alchornea latifolia,0.4266666666666667
Alchornea schomburgkii,0.45999999999999996
Alchornea triplinervia,0.4666666666666666
Alchorneopsis portoricensis,0.45
Alchorneopsis trimera,0.35950000000000004
Aldina heterophylla,0.749
Aldina insignis,0.715
Aldina latifolia,0.74
Alectryon oleifolius,0.958
Aleurites moluccana,0.38
Aleurites montana,0.3185
Aleurites trisperma,0.43
Alexa grandiflora,0.66
Alexa imperatricis,0.48714285714285716
Alexa wachenheimii,0.49
Alibertia curviflora,0.73
Alibertia edulis,0.76
Alibertia sessilis,0.88
Alibertia verrucosa,0.56
Allanblackia floribunda,0.6869999999999999
Allanblackia parviflora,0.546
Allanblackia stanerana,0.58
Allanblackia stuhlmannii,0.6206666666666667
Allantoma lineata,0.5449999999999999
Allocasuarina acutivalvis,0.81
Allocasuarina corniculata,0.835
Allocasuarina decaisneana,1.043
Allocasuarina dielsiana,0.9
Allocasuarina fraseriana,0.624
Allocasuarina huegeliana,0.762
Allocasuarina inophloia,0.8109999999999999
Allocasuarina littoralis,0.632
Allocasuarina luehmannii,0.964
Allocasuarina torulosa,0.8163333333333332
Allophylus abyssinicus,0.568
Allophylus africanus,0.45
Allophylus amazonicus,0.55
Allophylus camptostachys,0.77
Allophylus chirindensis,0.564
Allophylus cobbe,0.385
Allophylus edulis,0.6505
Allophylus floribundus,0.39
Allophylus peruvianus,0.39
Allophylus scrobiculatus,0.46
Alloxylon brachycarpum,0.4
Alloxylon flammeum,0.475
Alloxylon wickhamii,0.456
Alluaudia procera,0.3828
Alniphyllum fortunei,0.3826666666666667
Alnus acuminata,0.38633333333333336
Alnus glutinosa,0.41966666666666663
Alnus incana,0.439
Alnus jorullensis,0.381
Alnus nepalensis,0.4096666666666667
Alnus nitida,0.37
Alnus rubra,0.37
Alnus sibirica,0.422
Alnus trabeculosa,0.448
Alphitonia excelsa,0.5393333333333333
Alphitonia ferruginea,0.66
Alphitonia macrocarpa,0.45
Alphitonia moluccana,0.525
Alphitonia petriei,0.443
Alphitonia whitei,0.6100000000000001
Alphitonia zizyphoides,0.45
Alphonsea elliptica,0.85
Alphonsea javanica,0.54
Alphonsea maingayi,0.79
Alphonsea subdehiscens,0.79
Alphonsea teysmannii,0.72
Alseis blackiana,0.536
Alseis floribunda,0.85
Alseis peruviana,0.65
Alseodaphne bancana,0.59
Alseodaphne elongata,0.53
Alseodaphne hainanensis,0.597
Alseodaphne insignis,0.71
Alseodaphne longipes,0.509
Alseodaphne oblanceolata,0.43
Alseodaphne peduncularis,0.625
Alseodaphne pendulifolia,0.57
Alseodaphne semicarpifolia,0.65
Alseodaphne umbelliflora,0.42
Alstonia actinophylla,0.3465
Alstonia angustifolia,0.6133333333333333
Alstonia angustiloba,0.3466666666666667
Alstonia boonei,0.3214
Alstonia brassii,0.5955
Alstonia calophylla,0.47
Alstonia congensis,0.3255
Alstonia constricta,0.65
Alstonia glaucescens,0.32
Alstonia macrophylla,0.64
Alstonia muelleriana,0.68275
Alstonia pneumatophora,0.29500000000000004
Alstonia scholaris,0.382
Alstonia spatulata,0.34
Alstonia spectabilis,0.6312
Altingia chinensis,0.626
Altingia excelsa,0.6525000000000001
Altingia obovata,0.70025
Altingia yunnanensis,0.637
Alvaradoa amorphoides,0.58
Amaioua guianensis,0.625
Amanoa glaucophylla,0.8
Amanoa guianensis,0.843
Amanoa oblongifolia,0.83
Ambelania acida,0.5246666666666666
Ambelania quadrangularis,0.51
Amblygonocarpus andongensis,0.9164999999999999
Amburana cearensis,0.524
Amelanchier canadensis,0.66
Amentotaxus argotaenia,0.65425
Amesiodendron chinense,0.8345
Amherstia nobilis,0.6563333333333333
Amomyrtella guili,0.612
Ampelocera edentula,0.6995
Ampelocera hottlei,0.83
Ampelocera ruizii,0.648
Amphimas ferrugineus,0.6725
Amphimas pterocarpoides,0.6174285714285714
Amphipterygium adstringens,0.41
