genus,wood_density
Buckinghamia,0.7873333333333333
Buddleja,0.44
Bulnesia,0.9834285714285714
Bunchosia,0.6950000000000001
Burckella,0.5418000000000001
Burdachia,0.7849999999999999
Burkea,0.6125
Burkillanthus,0.73
Burretiodendron,0.9265
Bursaria,0.592
Bursera,0.30818181818181817
Bussea,0.7916666666666666
Butea,0.43333333333333335
Buxus,0.722
Byrsonima,0.6309032258064516
Cabralea,0.5321666666666666
Cadellia,0.951
Caesalpinia,0.9917619047619046
Calatola,0.6303333333333333
Caldcluvia,0.5141333333333333
Calliandra,0.8160000000000001
Callicarpa,0.35000000000000003
Callicoma,0.495
Callistemon,0.7956
Callisthene,0.7425
Callitris,0.5708666666666666
Calocedrus,0.452
Calodendrum,0.62
Caloncoba,0.65
Calophyllum,0.5771153846153846
Calpocalyx,0.7226
Calycogonium,0.74
Calycolpus,0.8
Calycophyllum,0.7253571428571428
Calycorectes,0.76
Calyptranthes,0.7833333333333333
Camellia,0.55
Campnosperma,0.3598
Campomanesia,0.8173999999999999
Campsiandra,0.855
Camptostemon,0.42
Camptotheca,0.428
Cananga,0.3193333333333333
Canarium,0.4820326086956522
Canella,0.95
Canthium,0.6474444444444445
Cantleya,0.86
Capirona,0.593
Capparis,0.6910833333333333
Capsicodendron,0.57
Caraipa,0.647875
Carallia,0.6724705882352942
Carapa,0.5587619047619048
Cardiopetalum,0.645
Cardwellia,0.476
Careya,0.7313333333333333
Carica,0.1875
Cariniana,0.55728
Carnarvonia,0.594
Carphalea,0.857
Carpinus,0.583
Carpodetus,0.668
Carpotroche,0.45
Carya,0.6074615384615385
Caryocar,0.6972413793103448
Caryodendron,0.65
Casearia,0.6259545454545455
Cassia,0.7464642857142857
Cassine,0.7216666666666667
Cassipourea,0.6312
Castanea,0.5103846153846153
Castanopsis,0.5497826086956522
Castanospermum,0.6253333333333333
Castanospora,0.607
Castilla,0.5675
Casuarina,0.8285217391304348
Catalpa,0.5121111111111111
Catha,0.646
Cathaya,0.5880000000000001
Catostemma,0.5670833333333333
Catunaregam,0.7509999999999999
Cavanillesia,0.21666666666666667
Ceanothus,0.685
Cecropia,0.3403793103448276
Cedrela,0.43917241379310346
Cedrelinga,0.5038
Cedrelopsis,0.792
Cedrus,0.45499999999999996
Ceiba,0.3321458333333333
Celaenodendron,0.94
Celtis,0.5938965517241379
Cenostigma,0.905
Centrolobium,0.6758823529411765
Cephalomappa,0.51
Cephalosphaera,0.4295
Cephalotaxus,0.532
Cerasus,0.634
Ceratopetalum,0.5589999999999999
Cerbera,0.39422222222222225
Cercidiphyllum,0.428
Cercis,0.626
Cercocarpus,0.8
Ceriops,0.821
Cervantesia,0.6
Cespedesia,0.6046666666666667
Chaetocarpus,0.7775
Chamaecrista,0.9034999999999999
Chamaecyparis,0.4116666666666666
Champereia,0.69
Chaunochiton,0.5840000000000001
Cheilosa,0.56
Chilopsis,0.6
Chimarrhis,0.7115
Chionanthus,0.7046875
Chisocheton,0.4986153846153846
Chlorocardium,0.8623333333333333
Chloroleucon,0.62325
Chloroxylon,0.819
Choerospondias,0.487
Chomelia,0.5566666666666666
Choricarpia,0.8263333333333334
Chorisia,0.2891666666666666
Chromolucuma,0.73
Chrysobalanus,0.7533333333333334
Chrysochlamys,0.43
Chrysophyllum,0.653076923076923
Chukrasia,0.5482
Chydenanthus,0.53
Cinchona,0.54
Cinnamomum,0.4704285714285714
Cipadessa,0.65
Citharexylum,0.662
Citronella,0.5881818181818181
Citropsis,0.827
Citrus,0.74
Claoxylon,0.355
Clarisia,0.5777826086956521
Clathrotropis,0.7714
Clausena,0.482
Cleidion,0.5166666666666667
Cleistanthus,0.6334285714285715
Cleistocalyx,0.6607999999999999
Cleistopholis,0.3208888888888889
Clerodendrum,0.5735
Clethra,0.5303333333333334
Cleyera,0.5746666666666668
Clusia,0.6675
Cnesmocarpon,0.758
Cnidoscolus,0.4266666666666667
Coccoloba,0.6873333333333334
Cochlospermum,0.2305
Codonocarpus,0.336
Coelocaryon,0.49121739130434783
Coelostegia,0.585
Coffea,0.633
Cola,0.5876
Colona,0.35860000000000003
Colophospermum,0.904
Colubrina,0.7454615384615385
Combretocarpus,0.61
Combretum,0.7913333333333333
