fold,n_test,rmse,r2,rrmse_pct
1,77,167.5,0.0229,83.86
2,77,165.53,-0.0636,85.75
3,77,154.72,0.3044,84.22
4,76,221.68,-0.0938,106.14
5,76,106.44,-0.2186,72.61
