fold,n_test,rmse,r2,rrmse_pct
1,99,194.06,0.0098,99.74
2,99,124.96,-0.2284,72.06
3,99,174.94,-0.0582,115.18
4,98,164.45,-0.3369,97.61
5,98,157.62,0.0191,87.97
