fold,n_test,rmse,r2,rrmse_pct
1,65,66.19,0.4201,45.19
2,65,79.25,0.4762,47.86
3,65,73.94,0.4759,46.62
4,65,73.31,0.3899,50.77
5,65,65.87,0.3933,42.66
