fold,n_test,rmse,r2,rrmse_pct
1,65,70.49,0.3423,48.12
2,65,81.89,0.4407,49.45
3,65,74.63,0.466,47.06
4,65,81.68,0.2426,56.57
5,65,65.51,0.3998,42.43
