fold,n_test,rmse,r2,rrmse_pct
1,65,65.62,0.43,44.8
2,65,79.62,0.4712,48.08
3,65,72.52,0.4958,45.73
4,65,74.35,0.3725,51.49
5,65,65.53,0.3996,42.44
