fold,n_test,rmse,r2,rrmse_pct
1,99,183.05,0.1189,94.09
2,99,93.96,0.3054,54.18
3,99,145.93,0.2636,96.08
4,98,128.36,0.1855,76.19
5,98,136.29,0.2666,76.07
