fold,n_test,rmse,r2,rrmse_pct
1,65,70.7,0.3989,47.44
2,65,86.64,0.4502,50.78
3,65,75.19,0.511,46.84
4,65,85.16,0.2792,57.93
5,65,65.38,0.4354,41.96
