fold,n_test,rmse,r2,rrmse_pct
1,65,67.96,0.3887,46.39
2,65,80.47,0.4599,48.59
3,65,70.42,0.5246,44.41
4,65,75.43,0.3541,52.24
5,65,69.19,0.3305,44.81
