fold,n_test,rmse,r2,rrmse_pct
1,99,192.71,0.0235,99.05
2,99,108.29,0.0775,62.44
3,99,153.01,0.1905,100.74
4,98,133.66,0.1169,79.33
5,98,148.17,0.1332,82.7
