fold,n_test,rmse,r2,rrmse_pct
1,65,65.83,0.4265,44.94
2,65,77.82,0.4949,46.99
3,65,70.23,0.527,44.29
4,65,74.14,0.376,51.35
5,65,66.24,0.3865,42.89
