fold,n_test,rmse,r2,rrmse_pct
1,99,171.9,0.223,88.35
2,99,94.41,0.2988,54.44
3,99,145.12,0.2718,95.54
4,98,137.75,0.062,81.76
5,98,136.25,0.267,76.05
