fold,n_test,rmse,r2,rrmse_pct
1,65,60.15,0.521,41.07
2,65,73.9,0.5446,44.63
3,65,72.52,0.4958,45.73
4,65,57.19,0.6287,39.61
5,65,65.37,0.4024,42.33
