fold,n_test,rmse,r2,rrmse_pct
1,77,166.09,0.0393,83.15
2,77,184.5,-0.3213,95.58
3,77,156.69,0.2866,85.3
4,76,190.18,0.1949,91.06
5,76,93.67,0.0562,63.9
