fold,n_test,rmse,r2,rrmse_pct
1,99,176.23,0.1833,90.58
2,99,90.13,0.361,51.97
3,99,145.43,0.2687,95.75
4,98,127.09,0.2016,75.43
5,98,140.33,0.2225,78.33
