fold,n_test,rmse,r2,rrmse_pct
1,65,59.01,0.5391,40.28
2,65,80.04,0.4658,48.33
3,65,70.9,0.518,44.71
4,65,68.45,0.4682,47.4
5,65,63.7,0.4325,41.26
