fold,n_test,rmse,r2,rrmse_pct
1,65,62.89,0.5244,42.2
2,65,83.99,0.4833,49.23
3,65,71.53,0.5575,44.56
4,65,70.37,0.5078,47.87
5,65,65.56,0.4322,42.08
