fold,n_test,rmse,r2,rrmse_pct
1,65,65.03,0.4402,44.4
2,65,79.43,0.4739,47.96
3,65,72.15,0.5009,45.5
4,65,74.59,0.3684,51.66
5,65,66.97,0.3728,43.37
