fold,n_test,rmse,r2,rrmse_pct
1,65,57.09,0.6081,38.3
2,65,95.64,0.3301,56.06
3,65,73.45,0.5334,45.76
4,65,62.99,0.6057,42.85
5,65,62.75,0.4798,40.27
