fold,n_test,rmse,r2,rrmse_pct
1,99,179.72,0.1507,92.37
2,99,99.16,0.2265,57.18
3,99,134.33,0.3761,88.44
4,98,131.56,0.1444,78.09
5,98,128.95,0.3435,71.97
