fold,n_test,rmse,r2,rrmse_pct
1,99,173.99,0.204,89.43
2,99,93.79,0.308,54.08
3,99,164.91,0.0596,108.58
4,98,129.96,0.165,77.14
5,98,150.14,0.11,83.8
