fold,n_test,rmse,r2,rrmse_pct
1,99,173.33,0.21,89.09
2,99,84.97,0.4321,48.99
3,99,163.21,0.079,107.45
4,98,122.94,0.2529,72.97
5,98,143.56,0.1863,80.13
