fold,n_test,rmse,r2,rrmse_pct
1,65,86.4,0.1024,57.97
2,65,109.5,0.1219,64.18
3,65,96.65,0.192,60.21
4,65,89.91,0.1966,61.16
5,65,75.71,0.2428,48.59
