fold,n_test,rmse,r2,rrmse_pct
1,65,68.45,0.4366,45.93
2,65,81.46,0.5141,47.74
3,65,67.87,0.6016,42.28
4,65,64.84,0.5821,44.11
5,65,64.56,0.4494,41.43
