fold,n_test,rmse,r2,rrmse_pct
1,77,169.81,-0.0042,85.01
2,77,132.28,0.3208,68.52
3,77,173.29,0.1274,94.33
4,76,204.82,0.0662,98.07
5,76,102.76,-0.1359,70.1
