fold,n_test,rmse,r2,rrmse_pct
1,77,171.25,-0.0213,85.73
2,77,161.24,-0.0092,83.53
3,77,172.71,0.1332,94.02
4,76,215.52,-0.034,103.19
5,76,100.5,-0.0864,68.55
