fold,n_test,rmse,r2,rrmse_pct
1,65,60.57,0.5145,41.35
2,65,80.47,0.4599,48.59
3,65,69.6,0.5355,43.89
4,65,65.11,0.5188,45.09
5,65,63.84,0.4301,41.34
