fold,n_test,rmse,r2,rrmse_pct
1,99,171.42,0.2274,88.11
2,99,95.72,0.2793,55.19
3,99,124.84,0.4611,82.19
4,98,127.61,0.195,75.74
5,98,134.49,0.2859,75.06
