fold,n_test,rmse,r2,rrmse_pct
1,99,180.99,0.1387,93.02
2,99,87.13,0.4028,50.24
3,99,192.87,-0.2862,126.98
4,98,126.87,0.2043,75.3
5,98,209.19,-0.7279,116.76
