fold,n_test,rmse,r2,rrmse_pct
1,65,81.98,0.1104,55.97
2,65,99.83,0.1688,60.29
3,65,91.9,0.1903,57.95
4,65,82.89,0.22,57.41
5,65,72.26,0.2698,46.8
