fold,n_test,rmse,r2,rrmse_pct
1,99,194.51,0.0052,99.97
2,99,106.2,0.1128,61.24
3,99,151.94,0.2018,100.03
4,98,134.55,0.1051,79.86
5,98,147.36,0.1426,82.25
