fold,n_test,rmse,r2,rrmse_pct
1,65,62.05,0.537,41.63
2,65,87.35,0.4412,51.2
3,65,75.45,0.5076,47.01
4,65,72.45,0.4783,49.29
5,65,68.28,0.3842,43.82
