fold,n_test,rmse,r2,rrmse_pct
1,65,57.54,0.5618,39.28
2,65,123.85,-0.2792,74.79
3,65,71.11,0.5151,44.84
4,65,106.29,-0.2825,73.61
5,65,66.77,0.3766,43.24
