fold,n_test,rmse,r2,rrmse_pct
1,77,160.53,0.1025,80.37
2,77,127.94,0.3646,66.28
3,77,170.42,0.1561,92.77
4,76,205.81,0.0572,98.54
5,76,93.84,0.0528,64.01
