fold,n_test,rmse,r2,rrmse_pct
1,65,66.15,0.4208,45.16
2,65,80.66,0.4574,48.71
3,65,71.34,0.512,44.99
4,65,73.52,0.3864,50.92
5,65,66.73,0.3773,43.22
