site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
JAM_A01,30,Nectandra cuspidata,Lauraceae,522941.9712,8998180.558,0.56,0.4893891,31.1,17.75,13.12,20111208,A,O,T07,22.61,22.61,feldpausch_regional,0.18,default,0.0,31.1,22.61
JAM_A01,31,Helicostylis sp.,Moraceae,522941.9664,8998172.958,0.65,0.016069932,7.6,8.38,4.82,20111208,A,O,T07,8.68,8.68,feldpausch_regional,0.18,default,0.0,7.6,8.68
JAM_A01,32,Sapium marmieri,Euphorbiaceae,522941.4366,8998167.351,0.41,0.086615506,14.2,20.58,14.25,20111208,A,O,T07,13.62,13.62,feldpausch_regional,0.18,default,0.0,14.2,13.62
JAM_A01,33,Amaioua guianensis,Rubiaceae,522942.8109,8998145.466,0.63,0.024598793,9.1,9.34,6.17,20111208,A,O,T07,9.92,9.92,feldpausch_regional,0.18,default,0.0,9.1,9.92
JAM_A01,34,Minquartia guianensis,Olacaceae,522942.8663,8998133.066,0.77,0.015615222,6.6,9.15,5.63,20111208,A,O,T07,7.81,7.81,feldpausch_regional,0.18,default,0.0,6.6,7.81
JAM_A01,36,Tetragastris altissima,Burseraceae,522939.1182,8998120.918,0.71,2.602395885,48.4,30.84,19.84,20111208,A,O,T07,28.81,28.81,feldpausch_regional,0.18,default,0.0,48.4,28.81
JAM_A01,37,Brosimum rubescens ,Moraceae,522941.7733,8998108.55,0.83,0.104272454,15.1,10.89,7.87,20111208,A,O,T07,14.21,14.21,feldpausch_regional,0.18,default,0.0,15.1,14.21
JAM_A01,38,Tetragastris altissima,Burseraceae,522942.8121,8998105.463,0.71,0.840287039,32.3,22.36,12.52,20111208,A,O,T07,23.11,23.11,feldpausch_regional,0.18,default,0.0,32.3,23.11
JAM_A01,39,Peltogyne leicointei,Fabaceae,522943.0509,8998102.366,0.76,0.028138111,9.6,7.86,5.24,20111208,A,O,T07,10.31,10.31,feldpausch_regional,0.18,default,0.0,9.6,10.31
JAM_A01,40,Helicostylis sp.,Moraceae,522943.1509,8998102.367,0.65,0.040151999,10.5,10.97,5.94,20111208,A,O,T07,11.0,11.0,feldpausch_regional,0.18,default,0.0,10.5,11.0
JAM_A01,41,Eschweilera coriacea,Lecythidaceae,522943.2859,8998099.569,0.85,0.007836133,6.7,4.03,2.14,20111208,A,O,T07,7.9,7.9,feldpausch_regional,0.18,default,0.0,6.7,7.9
