site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
HUM_A01,97,Couratari stellata,Lecythidaceae,646595.0121,8921255.973,33.3,32.82,23.27,20140701,False,O,2,23.53,23.53,feldpausch_regional,0.18,default,-1.0,33.12,23.45
HUM_A01,98,Casearia grandiflora,Salicaceae,646577.5554,8921268.131,39.0,27.21,26.35,20140701,False,O,2,25.71,25.71,feldpausch_regional,0.18,default,-1.0,38.82,25.65
HUM_A01,99,Helicostylis sp.,Moraceae,646574.1492,8921270.503,39.5,30.86,21.5,20140701,False,O,2,25.89,25.89,feldpausch_regional,0.18,default,-1.0,39.32,25.83
HUM_A01,100,,,646569.6386,8921274.855,42.2,3.06,,20140701,True,O,2,26.83,26.83,feldpausch_regional,0.18,default,-1.0,42.02,26.77
HUM_A01,101,Hevea brasiliensis,Euphorbiaceae,646573.8295,8921280.41,38.8,25.87,16.39,20140701,False,O,2,25.64,25.64,feldpausch_regional,0.18,default,-1.0,38.62,25.58
HUM_A01,102,Ceiba pentandra,Malvaceae,646571.8793,8921282.95,70.0,38.51,28.32,20140701,False,O,2,34.15,34.15,feldpausch_regional,0.18,default,-1.0,69.82,34.12
HUM_A01,103,Jacaratia spinosa,Caricaceae,646585.9097,8921299.772,54.2,26.92,20.45,20140701,False,O,2,30.46,30.46,feldpausch_regional,0.18,default,-1.0,54.02,30.41
HUM_A01,104,Hevea brasiliensis,Euphorbiaceae,646587.33,8921308.286,87.0,37.99,22.71,20140701,False,O,2,37.16,37.16,feldpausch_regional,0.18,default,-1.0,86.82,37.13
HUM_A01,105,Ceiba pentandra,Malvaceae,646590.7027,8921306.101,58.4,33.08,16.52,20140701,False,O,2,31.54,31.54,feldpausch_regional,0.18,default,-1.0,58.22,31.5
HUM_A01,106,Rinorea racemosa,Violaceae,646600.9256,8921303.048,35.5,30.47,20.68,20140701,False,O,2,24.4,24.4,feldpausch_regional,0.18,default,-1.0,35.32,24.33
HUM_A01,107,Parkia paraensis,Fabaceae,646604.5425,8921299.526,135.0,47.85,21.63,20140701,False,O,2,42.37,42.37,feldpausch_regional,0.18,default,-1.0,134.82,42.36
HUM_A01,108,Ceiba pentandra,Malvaceae,646607.8152,8921293.814,47.1,22.81,16.13,20140701,False,O,2,28.41,28.41,feldpausch_regional,0.18,default,-1.0,46.92,28.36
HUM_A01,111,Enterolobium schomburgkii,Fabaceae,646620.6336,8921294.469,13.2,16.81,11.56,20140701,False,O,2,12.95,12.95,feldpausch_regional,0.18,default,-1.0,13.02,12.82
HUM_A01,112,Ormosia coccinea,Fabaceae,646622.3238,8921292.541,11.0,9.52,6.52,20140701,False,O,2,11.38,11.38,feldpausch_regional,0.18,default,-1.0,10.82,11.24
HUM_A01,113,Euterpe oleracea,Arecaceae,646620.4819,8921290.817,15.7,22.51,18.39,20140701,False,P,2,14.6,14.6,feldpausch_regional,0.18,default,-1.0,15.52,14.48
HUM_A01,114,Euterpe oleracea,Arecaceae,646617.4739,8921292.632,16.2,21.86,20.69,20140701,False,P,2,14.91,14.91,feldpausch_regional,0.18,default,-1.0,16.02,14.8
HUM_A01,115,Cecropia engleriana,Urticaceae,646616.9997,8921291.971,16.0,18.22,14.97,20140701,False,O,2,14.79,14.79,feldpausch_regional,0.18,default,-1.0,15.82,14.68
HUM_A01,116,Myrcia velutina,Myrtaceae,646617.8626,8921288.87,34.0,32.62,27.68,20140701,False,O,2,23.81,23.81,feldpausch_regional,0.18,default,-1.0,33.82,23.74
HUM_A01,117,Euterpe oleracea,Arecaceae,646622.9059,8921287.311,17.0,29.09,24.24,20140701,False,P,2,15.41,15.41,feldpausch_regional,0.18,default,-1.0,16.82,15.3
HUM_A01,118,Helicostylis sp.,Moraceae,646621.59,8921287.187,18.1,22.45,10.91,20140701,False,O,2,16.07,16.07,feldpausch_regional,0.18,default,-1.0,17.92,15.96
HUM_A01,119,Casearia grandiflora,Salicaceae,646612.702,8921282.512,10.9,19.29,12.1,20140701,False,O,2,11.3,11.3,feldpausch_regional,0.18,default,-1.0,10.72,11.17
HUM_A01,120,Platymiscium trinitatis,Fabaceae,646612.6075,8921279.768,21.9,25.55,20.0,20140701,False,O,2,18.21,18.21,feldpausch_regional,0.18,default,-1.0,21.72,18.11
HUM_A01,121,Rheedia gardneriana,Clusiaceae,646613.8249,8921277.985,11.0,16.89,10.13,20140701,False,O,2,11.38,11.38,feldpausch_regional,0.18,default,-1.0,10.82,11.24
HUM_A01,122,Galipea sp.,,646612.337,8921276.766,19.1,18.4,11.99,20140701,False,O,2,16.65,16.65,feldpausch_regional,0.18,default,-1.0,18.92,16.55
HUM_A01,123,Dipteryx odorata,Fabaceae,646607.4044,8921277.72,60.0,37.06,18.85,20140701,False,O,2,31.94,31.94,feldpausch_regional,0.18,default,-1.0,59.82,31.89
HUM_A01,124,Pterocarpus sp.,Fabaceae,646610.9168,8921274.768,12.0,14.45,9.41,20140701,False,O,2,12.11,12.11,feldpausch_regional,0.18,default,-1.0,11.82,11.98
HUM_A01,125,Annona exsucca,Annonaceae,646611.4768,8921272.92,19.5,24.54,18.11,20140701,False,O,2,16.88,16.88,feldpausch_regional,0.18,default,-1.0,19.32,16.78
HUM_A01,126,Miconia surinamensis,,646608.5499,8921271.438,13.7,15.28,11.81,20140701,False,O,2,13.29,13.29,feldpausch_regional,0.18,default,-1.0,13.52,13.17
HUM_A01,127,Annona exsucca,Annonaceae,646607.9086,8921269.653,13.0,14.21,11.5,20140701,False,O,2,12.81,12.81,feldpausch_regional,0.18,default,-1.0,12.82,12.68
HUM_A01,128,Helicostylis sp.,Moraceae,646604.3024,8921263.332,19.1,25.17,16.45,20140701,False,O,2,16.65,16.65,feldpausch_regional,0.18,default,-1.0,18.92,16.55
HUM_A01,38,Eschweilera grandifolia,Lecythidaceae,646562.6549,8921440.728,15.3,18.5,14.16,20140701,False,O,3,14.34,14.34,feldpausch_regional,0.18,default,-1.0,15.12,14.23
HUM_A01,39,Protium hepytaphillum ,Burseraceae,646560.2172,8921442.396,25.5,26.02,21.5,20140701,False,O,3,20.05,20.05,feldpausch_regional,0.18,default,-1.0,25.32,19.96
HUM_A01,40,Protium hepytaphillum ,Burseraceae,646558.7689,8921438.454,37.0,31.27,16.69,20140701,False,O,3,24.98,24.98,feldpausch_regional,0.18,default,-1.0,36.82,24.91
HUM_A01,41,Cedrela odorata,Meliaceae,646556.0563,8921456.648,52.7,28.27,17.29,20140701,False,O,3,30.05,30.05,feldpausch_regional,0.18,default,-1.0,52.52,30.0
HUM_A01,42,Dialium guianense,Fabaceae,646557.9149,8921479.374,51.0,15.05,10.8,20140701,False,O,3,29.57,29.57,feldpausch_regional,0.18,default,-1.0,50.82,29.52
HUM_A01,43,Terminalia amazonia,Combretaceae,646567.1241,8921487.126,47.7,26.75,16.18,20140701,False,O,3,28.6,28.6,feldpausch_regional,0.18,default,-1.0,47.52,28.54
HUM_A01,44,Hevea brasiliensis,Euphorbiaceae,646571.0646,8921495.178,66.3,39.43,25.06,20140701,False,O,3,33.38,33.38,feldpausch_regional,0.18,default,-1.0,66.12,33.34
HUM_A01,45,Swietenia macrophylla ,Meliaceae,646584.4426,8921479.247,55.7,27.65,21.27,20140701,False,O,3,30.85,30.85,feldpausch_regional,0.18,default,-1.0,55.52,30.81
HUM_A01,109,,,646588.6966,8921473.972,21.4,3.78,,20140701,True,O,3,17.94,17.94,feldpausch_regional,0.18,default,-1.0,21.22,17.84
HUM_A01,110,Rinorea racemosa,Violaceae,646589.1004,8921473.121,13.3,16.98,13.03,20140701,False,O,3,13.02,13.02,feldpausch_regional,0.18,default,-1.0,13.12,12.89
HUM_A01,111,Astronium gracile,Anacardiaceae,646592.9362,8921468.076,38.5,33.21,19.72,20140701,False,O,3,25.53,25.53,feldpausch_regional,0.18,default,-1.0,38.32,25.47
HUM_A01,112,Helicostylis sp.,Moraceae,646590.9637,8921466.868,26.8,22.15,12.61,20140701,False,O,3,20.67,20.67,feldpausch_regional,0.18,default,-1.0,26.62,20.59
HUM_A01,113,Stryphnodendron pulcherrimum,Fabaceae,646587.9861,8921462.878,32.2,27.67,20.24,20140701,False,O,3,23.07,23.07,feldpausch_regional,0.18,default,-1.0,32.02,23.0
