site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2009,dead_2009,hcom_2009,htot_2009,date_2009,dbh_2010,dead_2010,htot_2010,date_2010,dbh_2011,dead_2011,hcom_2011,htot_2011,date_2011,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
TAP_A01,1.0,,,727139.84,9684877.68,O,15.0,D,,2.05,20090617-20090708,14.4,D,2.05,20100714-20100805,14.4,D,,1.9,20110712-20110719,M1,13.76,2.05,measured,0.0,observed,-1.0,14.4,2.05
TAP_A01,2.0,,,727137.51,9684877.4,O,15.1,A,13.53,19.67,20090617-20090708,15.1,A,9.84,20100714-20100805,15.1,A,7.85,9.03,20110712-20110719,M1,14.21,19.67,measured,0.0,observed,-1.0,15.1,19.67
TAP_A01,3.0,,,727128.17,9684876.27,O,17.5,A,20.38,23.13,20090617-20090708,17.3,A,25.17,20100714-20100805,17.5,A,22.17,24.79,20110712-20110719,M1,15.71,23.13,measured,0.0,observed,-1.0,17.5,23.13
TAP_A01,4.0,,,727117.49,9684875.46,O,13.6,A,22.84,26.86,20090617-20090708,30.7,A,27.25,20100714-20100805,31.7,A,,13.72,20110712-20110719,M1,22.86,26.86,measured,5.0,observed,-1.0,26.7,24.23
TAP_A01,5.0,,,727115.44,9684873.74,O,5.4,A,6.13,12.5,20090617-20090708,5.2,A,9.29,20100714-20100805,5.2,A,5.07,11.46,20110712-20110719,M1,6.52,12.5,measured,0.0,observed,-1.0,5.2,12.5
TAP_A01,6.0,,,727103.97,9684877.73,O,99.7,D,0.7,4.54,20090617-20090708,99.7,D,6.1,20100714-20100805,99.7,D,,5.69,20110712-20110719,M1,38.93,4.54,measured,0.0,observed,-1.0,99.7,4.54
TAP_A01,7.0,,,727079.22,9684871.93,O,6.1,A,3.37,4.56,20090617-20090708,6.1,A,4.53,20100714-20100805,6.1,A,2.17,4.79,20110712-20110719,M1,7.36,4.56,measured,0.0,observed,-1.0,6.1,4.56
TAP_A01,8.0,,,727076.34,9684870.81,L,5.3,A,5.81,6.5,20090617-20090708,5.4,A,,20100714-20100805,5.4,A,,,20110712-20110719,M1,6.71,6.5,measured,0.05,observed,-1.0,5.35,6.45
TAP_A01,9.0,,,727074.07,9684870.71,O,14.1,A,11.14,12.35,20090617-20090708,14.2,A,11.99,20100714-20100805,14.3,A,10.1,12.92,20110712-20110719,M1,13.69,12.35,measured,0.1,observed,-1.0,14.2,12.29
TAP_A01,10.0,,,727070.7,9684871.06,O,6.3,A,5.75,9.35,20090617-20090708,6.4,A,9.05,20100714-20100805,6.4,A,8.17,11.15,20110712-20110719,M1,7.64,9.35,measured,0.05,observed,-1.0,6.35,9.29
TAP_A01,11.0,,,727058.77,9684870.04,O,17.7,D,1.38,4.85,20090617-20090708,,D,,20100714-20100805,,D,,,20110712-20110719,M1,,4.85,measured,0.1,site_median,-1.0,,
TAP_A01,12.0,,,727058.77,9684870.04,O,13.6,A,3.29,5.37,20090617-20090708,,D,,20100714-20100805,,D,,,20110712-20110719,M1,,5.37,measured,0.1,site_median,-1.0,,
TAP_A01,13.0,,,727040.47,9684872.09,O,39.2,A,12.09,19.24,20090617-20090708,39.5,A,17.17,20100714-20100805,39.7,A,9.11,14.03,20110712-20110719,M1,25.97,19.24,measured,0.25,observed,-1.0,39.45,19.17
TAP_A01,14.0,,,727037.52,9684869.35,O,13.6,D,0.88,2.7,20090617-20090708,13.7,D,6.76,20100714-20100805,13.7,D,,3.5,20110712-20110719,M1,13.29,2.7,measured,0.05,observed,-1.0,13.65,2.69
TAP_A01,15.0,,,727039.78,9684869.56,O,8.3,A,6.47,8.07,20090617-20090708,8.4,A,8.09,20100714-20100805,9.0,A,2.11,7.44,20110712-20110719,M1,9.84,8.07,measured,0.35,observed,-1.0,8.65,7.84
TAP_A01,16.0,,,727033.89,9684869.01,O,6.1,D,0.98,6.18,20090617-20090708,6.1,D,5.27,20100714-20100805,6.1,D,,5.12,20110712-20110719,M1,7.36,6.18,measured,0.0,observed,-1.0,6.1,6.18
TAP_A01,17.0,,,727031.63,9684868.8,O,5.3,A,2.0,3.35,20090617-20090708,5.7,A,4.28,20100714-20100805,5.7,A,2.28,5.03,20110712-20110719,M1,6.99,3.35,measured,0.2,observed,-1.0,5.5,3.26
TAP_A01,18.0,,,727030.72,9684868.72,O,28.0,A,17.89,23.45,20090617-20090708,26.3,A,24.81,20100714-20100805,28.8,A,15.92,24.07,20110712-20110719,M1,21.59,23.45,measured,0.4,observed,-1.0,28.4,23.25
TAP_A01,19.0,,,727030.32,9684869.18,O,12.8,A,7.46,14.1,20090617-20090708,13.7,A,10.68,20100714-20100805,14.4,A,10.03,12.14,20110712-20110719,M1,13.76,14.1,measured,0.8,observed,-1.0,13.6,13.55
TAP_A01,20.0,,,727019.03,9684868.63,O,5.1,A,2.28,6.23,20090617-20090708,5.2,A,6.18,20100714-20100805,5.4,A,3.67,6.51,20110712-20110719,M1,6.71,6.23,measured,0.15,observed,-1.0,5.25,6.1
TAP_A01,21.0,,,727009.47,9684867.25,O,12.0,A,5.43,10.43,20090617-20090708,12.2,A,12.75,20100714-20100805,12.1,A,2.93,7.71,20110712-20110719,M1,12.18,10.43,measured,0.05,observed,-1.0,12.05,10.4
TAP_A01,22.0,,,727005.76,9684865.92,O,5.4,A,2.67,4.23,20090617-20090708,5.5,A,3.56,20100714-20100805,5.4,A,1.67,4.03,20110712-20110719,M1,6.71,4.23,measured,0.0,observed,-1.0,5.4,4.23
TAP_A01,23.0,,,727004.9,9684866.34,O,8.0,A,4.93,9.78,20090617-20090708,8.4,A,12.08,20100714-20100805,8.4,A,5.68,6.85,20110712-20110719,M1,9.35,9.78,measured,0.2,observed,-1.0,8.2,9.61
TAP_A01,24.0,,,727003.08,9684866.17,O,5.4,A,5.96,7.5,20090617-20090708,5.5,A,7.8,20100714-20100805,5.5,A,3.87,6.94,20110712-20110719,M1,6.81,7.5,measured,0.05,observed,-1.0,5.45,7.44
TAP_A01,25.0,,,726999.05,9684866.29,O,14.5,A,7.81,8.51,20090617-20090708,14.3,A,8.68,20100714-20100805,14.4,A,5.88,7.22,20110712-20110719,M1,13.76,8.51,measured,0.0,observed,-1.0,14.4,8.51
TAP_A01,26.0,,,726998.1,9684865.71,O,5.8,A,2.84,4.24,20090617-20090708,5.9,A,4.74,20100714-20100805,6.0,A,3.18,5.56,20110712-20110719,M1,7.27,4.24,measured,0.1,observed,-1.0,5.9,4.19
TAP_A01,27.0,,,726986.68,9684865.52,O,5.5,A,4.71,8.05,20090617-20090708,5.7,A,6.6,20100714-20100805,5.9,A,3.14,7.35,20110712-20110719,M1,7.18,8.05,measured,0.2,observed,-1.0,5.7,7.84
TAP_A01,28.0,,,726980.13,9684865.93,O,14.1,D,1.05,6.78,20090617-20090708,12.8,D,7.22,20100714-20100805,12.8,D,,6.69,20110712-20110719,M1,12.67,6.78,measured,0.0,observed,-1.0,12.8,6.78
TAP_A01,29.0,,,726975.2,9684864.86,O,10.2,A,8.67,12.06,20090617-20090708,10.7,A,13.43,20100714-20100805,11.1,A,12.56,13.83,20110712-20110719,M1,11.45,12.06,measured,0.45,observed,-1.0,10.65,11.71
TAP_A01,30.0,,,726969.75,9684865.28,O,6.5,A,4.22,8.22,20090617-20090708,6.4,A,7.14,20100714-20100805,6.5,A,6.18,8.89,20110712-20110719,M1,7.72,8.22,measured,0.0,observed,-1.0,6.5,8.22
TAP_A01,31.0,,,726968.1,9684864.76,O,37.1,D,1.48,23.33,20090617-20090708,36.2,D,4.78,20100714-20100805,,D,,,20110712-20110719,M1,,23.33,measured,0.1,site_median,-1.0,,
TAP_A01,32.0,,,726961.0,9684865.16,O,6.1,A,2.73,7.67,20090617-20090708,6.2,A,7.32,20100714-20100805,6.4,A,3.56,7.72,20110712-20110719,M1,7.64,7.67,measured,0.15,observed,-1.0,6.25,7.53
TAP_A01,33.0,,,726957.72,9684864.62,O,17.9,A,10.92,20.54,20090617-20090708,18.0,A,18.77,20100714-20100805,18.0,A,11.35,14.27,20110712-20110719,M1,16.01,20.54,measured,0.05,observed,-1.0,17.95,20.5
TAP_A01,34.0,,,726954.54,9684871.57,O,67.4,A,33.75,48.77,20090617-20090708,68.0,A,42.64,20100714-20100805,62.0,A,37.58,45.2,20110712-20110719,M1,32.41,48.77,measured,0.0,observed,-1.0,62.0,48.77
TAP_A01,35.0,,,726952.83,9684866.55,O,27.7,A,10.77,14.38,20090617-20090708,27.2,A,14.97,20100714-20100805,27.2,D,,13.89,20110712-20110719,M1,20.86,14.38,measured,0.0,observed,-1.0,27.2,14.38
TAP_A01,36.0,,,726942.99,9684865.91,O,29.2,A,14.94,22.45,20090617-20090708,29.2,A,22.7,20100714-20100805,29.3,A,21.04,24.7,20110712-20110719,M1,21.82,22.45,measured,0.05,observed,-1.0,29.25,22.43
TAP_A01,37.0,,,726936.84,9684864.24,O,6.4,A,7.68,10.77,20090617-20090708,7.0,A,10.32,20100714-20100805,6.6,A,6.83,11.84,20110712-20110719,M1,7.81,10.77,measured,0.1,observed,-1.0,6.5,10.65
TAP_A01,38.0,,,726927.43,9684864.47,O,7.3,A,4.52,9.53,20090617-20090708,7.8,A,14.11,20100714-20100805,8.1,A,11.49,14.28,20110712-20110719,M1,9.1,9.53,measured,0.4,observed,-1.0,7.7,9.18
TAP_A01,39.0,,,726920.94,9684868.29,O,96.6,A,34.58,55.56,20090617-20090708,96.9,A,45.85,20100714-20100805,97.2,A,38.16,45.27,20110712-20110719,M1,38.6,55.56,measured,0.3,observed,-1.0,96.9,55.52
TAP_A01,40.0,,,726920.42,9684866.28,O,19.3,A,18.17,23.26,20090617-20090708,20.0,A,25.76,20100714-20100805,21.0,A,18.83,22.26,20110712-20110719,M1,17.72,23.26,measured,0.85,observed,-1.0,20.15,22.64
TAP_A01,41.0,,,726919.42,9684864.25,O,12.3,A,5.7,16.51,20090617-20090708,12.9,A,16.58,20100714-20100805,13.2,A,9.96,15.3,20110712-20110719,M1,12.95,16.51,measured,0.45,observed,-1.0,12.75,16.11
TAP_A01,42.0,,,726913.31,9684864.58,O,11.3,A,11.83,20.95,20090617-20090708,11.8,A,16.74,20100714-20100805,12.1,A,6.97,11.31,20110712-20110719,M1,12.18,20.95,measured,0.4,observed,-1.0,11.7,20.45
TAP_A01,43.0,,,726889.75,9684862.77,O,6.9,A,9.52,11.03,20090617-20090708,7.7,A,12.29,20100714-20100805,8.1,A,10.57,13.98,20110712-20110719,M1,9.1,11.03,measured,0.6,observed,-1.0,7.5,10.42
TAP_A01,44.0,,,726884.69,9684863.01,O,4.9,A,3.01,6.66,20090617-20090708,5.2,A,6.74,20100714-20100805,5.2,A,4.45,6.92,20110712-20110719,M1,6.52,6.66,measured,0.15,observed,-1.0,5.05,6.52
TAP_A01,45.0,,,726883.43,9684867.93,O,54.0,A,25.34,32.11,20090617-20090708,54.4,A,29.04,20100714-20100805,55.0,A,18.18,26.21,20110712-20110719,M1,30.67,32.11,measured,0.5,observed,-1.0,54.5,31.97
TAP_A01,46.0,,,726882.15,9684862.88,O,6.7,A,10.59,11.94,20090617-20090708,7.0,A,11.42,20100714-20100805,7.0,A,8.19,11.27,20110712-20110719,M1,8.17,11.94,measured,0.15,observed,-1.0,6.85,11.75
TAP_A01,47.0,,,726881.14,9684862.83,O,13.8,A,11.65,18.82,20090617-20090708,15.0,A,16.87,20100714-20100805,16.0,A,13.52,16.74,20110712-20110719,M1,14.79,18.82,measured,1.1,observed,-1.0,14.9,17.92
TAP_A01,48.0,,,726872.98,9684861.91,O,38.7,A,23.29,34.71,20090617-20090708,39.0,A,26.86,20100714-20100805,39.1,A,19.97,22.16,20110712-20110719,M1,25.75,34.71,measured,0.2,observed,-1.0,38.9,34.62
TAP_A01,49.0,,,726852.72,9684861.85,O,17.1,D,1.47,11.19,20090617-20090708,16.8,D,11.45,20100714-20100805,,D,,,20110712-20110719,M1,,11.19,measured,0.1,site_median,-1.0,,
TAP_A01,50.0,,,726845.33,9684865.95,O,68.9,A,36.85,52.5,20090617-20090708,70.4,A,44.52,20100714-20100805,72.0,A,36.72,44.6,20110712-20110719,M1,34.55,52.5,measured,1.55,observed,-1.0,70.45,52.03
TAP_A01,51.0,,,726842.67,9684860.44,O,6.6,A,5.99,12.55,20090617-20090708,6.7,A,11.97,20100714-20100805,6.9,A,5.19,10.17,20110712-20110719,M1,8.08,12.55,measured,0.15,observed,-1.0,6.75,12.35
TAP_A01,52.0,,,726842.19,9684860.44,O,6.4,D,1.26,8.3,20090617-20090708,,D,,20100714-20100805,,D,,,20110712-20110719,M1,,8.3,measured,0.1,site_median,-1.0,,
TAP_A01,53.0,,,726833.64,9684862.38,O,20.5,A,13.39,19.72,20090617-20090708,20.7,A,18.96,20100714-20100805,20.7,A,9.93,19.11,20110712-20110719,M1,17.56,19.72,measured,0.1,observed,-1.0,20.6,19.65
TAP_A01,54.0,,,726828.9,9684865.85,O,106.4,A,23.87,32.1,20090617-20090708,106.0,A,37.04,20100714-20100805,105.5,A,39.82,48.52,20110712-20110719,M1,39.62,32.1,measured,0.0,observed,-1.0,105.5,32.1
TAP_A01,55.0,,,726818.41,9684863.78,O,59.2,A,38.06,47.31,20090617-20090708,58.8,A,41.02,20100714-20100805,59.5,A,38.62,45.66,20110712-20110719,M1,31.81,47.31,measured,0.15,observed,-1.0,59.35,47.27
TAP_A01,56.0,,,726816.01,9684861.26,O,5.4,A,1.85,7.05,20090617-20090708,5.4,A,6.6,20100714-20100805,5.4,A,4.05,6.47,20110712-20110719,M1,6.71,7.05,measured,0.0,observed,-1.0,5.4,7.05
TAP_A01,57.0,,,726814.58,9684860.75,O,8.2,A,4.29,10.73,20090617-20090708,8.5,A,10.92,20100714-20100805,8.8,A,4.25,10.15,20110712-20110719,M1,9.68,10.73,measured,0.3,observed,-1.0,8.5,10.45
TAP_A01,58.0,,,726810.31,9684862.22,O,53.0,A,20.82,28.43,20090617-20090708,53.4,A,33.88,20100714-20100805,54.1,A,28.46,33.5,20110712-20110719,M1,30.43,28.43,measured,0.55,observed,-1.0,53.55,28.29
TAP_A01,59.0,,,726802.69,9684862.67,O,25.0,A,16.6,21.46,20090617-20090708,25.1,A,22.09,20100714-20100805,25.3,A,18.24,22.94,20110712-20110719,M1,19.95,21.46,measured,0.15,observed,-1.0,25.15,21.37
TAP_A01,60.0,,,726775.54,9684859.98,O,10.8,A,6.52,15.97,20090617-20090708,11.1,A,13.15,20100714-20100805,11.1,A,8.19,10.73,20110712-20110719,M1,11.45,15.97,measured,0.15,observed,-1.0,10.95,15.82
TAP_A01,61.0,,,726764.04,9684860.43,O,5.0,A,2.45,6.15,20090617-20090708,5.4,A,6.38,20100714-20100805,6.0,A,2.53,7.35,20110712-20110719,M1,7.27,6.15,measured,0.5,observed,-1.0,5.5,5.76
TAP_A01,62.0,,,726762.97,9684860.44,O,85.8,A,33.77,43.04,20090617-20090708,89.2,A,48.64,20100714-20100805,89.7,A,34.57,43.66,20110712-20110719,M1,37.57,43.04,measured,1.95,observed,-1.0,87.75,42.7
TAP_A01,63.0,,,726760.28,9684860.96,P,4.8,A,2.89,4.2,20090617-20090708,5.0,A,4.46,20100714-20100805,4.9,A,2.48,4.78,20110712-20110719,M1,6.23,4.2,measured,0.05,observed,-1.0,4.85,4.17
TAP_A01,64.0,,,726754.35,9684860.51,P,4.8,A,2.73,4.27,20090617-20090708,5.0,A,3.97,20100714-20100805,4.5,A,2.46,5.26,20110712-20110719,M1,5.84,4.27,measured,0.0,observed,-1.0,4.5,4.27
TAP_A01,65.0,,,726754.35,9684860.51,P,5.1,D,2.79,4.55,20090617-20090708,5.0,D,2.59,20100714-20100805,5.0,D,1.16,1.93,20110712-20110719,M1,6.33,4.55,measured,0.0,observed,-1.0,5.0,4.55
TAP_A01,66.0,,,726753.82,9684862.02,O,20.0,A,4.47,8.77,20090617-20090708,20.0,A,9.33,20100714-20100805,20.0,A,8.84,11.36,20110712-20110719,M1,17.17,8.77,measured,0.0,observed,-1.0,20.0,8.77
TAP_A01,67.0,,,726743.58,9684861.61,O,9.5,A,5.99,8.73,20090617-20090708,9.6,A,9.59,20100714-20100805,9.6,A,8.58,11.06,20110712-20110719,M1,10.31,8.73,measured,0.05,observed,-1.0,9.55,8.7
TAP_A01,68.0,,,726734.96,9684860.69,O,26.4,A,17.58,22.23,20090617-20090708,26.0,A,26.37,20100714-20100805,26.2,A,20.54,24.31,20110712-20110719,M1,20.38,22.23,measured,0.0,observed,-1.0,26.2,22.23
TAP_A01,69.0,,,726729.04,9684861.24,O,43.5,A,35.95,49.35,20090617-20090708,44.2,A,37.78,20100714-20100805,45.0,A,30.22,37.05,20110712-20110719,M1,27.76,49.35,measured,0.75,observed,-1.0,44.25,48.91
TAP_A01,70.0,,,726720.41,9684860.82,L,8.7,A,0.0,0.0,20090617-20090708,,D,,20100714-20100805,,D,,,20110712-20110719,M1,,10.79,local_fit,0.1,site_median,-1.0,,
TAP_A01,71.0,,,726705.45,9684861.83,O,19.3,A,18.24,22.84,20090617-20090708,19.6,A,20.89,20100714-20100805,19.8,A,17.7,20.25,20110712-20110719,M1,17.05,22.84,measured,0.25,observed,-1.0,19.55,22.65
TAP_A01,72.0,,,726700.82,9684861.41,O,17.5,A,18.63,23.56,20090617-20090708,17.8,A,25.23,20100714-20100805,17.8,A,20.29,24.83,20110712-20110719,M1,15.89,23.56,measured,0.15,observed,-1.0,17.65,23.43
TAP_A01,73.0,,,726696.19,9684861.48,O,9.4,D,1.91,4.01,20090617-20090708,,D,,20100714-20100805,,D,,,20110712-20110719,M1,,4.01,measured,0.1,site_median,-1.0,,
TAP_A01,74.0,,,726688.33,9684861.61,O,8.4,A,7.96,12.46,20090617-20090708,8.4,A,14.63,20100714-20100805,8.4,A,9.21,15.27,20110712-20110719,M1,9.35,12.46,measured,0.0,observed,-1.0,8.4,12.46
TAP_A01,75.0,,,726683.24,9684861.7,O,24.4,A,7.5,15.87,20090617-20090708,24.6,A,17.95,20100714-20100805,24.9,A,12.34,21.72,20110712-20110719,M1,19.75,15.87,measured,0.25,observed,-1.0,24.65,15.77
TAP_A01,76.0,,,726677.7,9684861.79,O,19.5,A,8.17,13.93,20090617-20090708,,D,,20100714-20100805,,D,,,20110712-20110719,M1,,13.93,measured,0.1,site_median,-1.0,,
TAP_A01,77.0,,,726676.76,9684861.31,O,20.1,A,11.31,19.17,20090617-20090708,20.0,A,19.17,20100714-20100805,20.0,A,13.13,19.09,20110712-20110719,M1,17.17,19.17,measured,0.0,observed,-1.0,20.0,19.17
TAP_A01,78.0,,,726666.14,9684862.48,O,13.5,A,11.28,15.1,20090617-20090708,14.0,A,16.05,20100714-20100805,,D,,,20110712-20110719,M1,,15.1,measured,0.1,site_median,-1.0,,
TAP_A01,79.0,,,726662.47,9684864.04,O,33.6,A,1.09,12.64,20090617-20090708,33.5,A,10.44,20100714-20100805,33.6,A,9.43,14.38,20110712-20110719,M1,23.65,12.64,measured,0.0,observed,-1.0,33.6,12.64
TAP_A01,80.0,,,726655.96,9684862.15,L,5.7,A,0.0,0.0,20090617-20090708,5.5,A,,20100714-20100805,5.5,A,,,20110712-20110719,M1,6.81,8.59,local_fit,0.0,observed,-1.0,5.5,8.59
TAP_A01,81.0,,,726655.96,9684862.15,L,5.5,A,0.0,0.0,20090617-20090708,5.7,A,,20100714-20100805,6.6,A,,,20110712-20110719,M1,7.81,8.43,local_fit,0.55,observed,-1.0,6.05,7.9
TAP_A01,82.0,,,726655.96,9684862.15,O,15.4,A,12.93,16.01,20090617-20090708,15.3,A,13.03,20100714-20100805,15.4,A,12.65,13.74,20110712-20110719,M1,14.41,16.01,measured,0.0,observed,-1.0,15.4,16.01
TAP_A01,83.0,,,726643.49,9684863.36,O,31.7,D,1.26,10.87,20090617-20090708,31.9,D,12.38,20100714-20100805,31.9,D,1.94,12.22,20110712-20110719,M1,22.95,10.87,measured,0.1,observed,-1.0,31.8,10.85
TAP_A01,84.0,,,726648.08,9684860.78,O,10.5,A,8.05,13.14,20090617-20090708,11.0,A,13.86,20100714-20100805,11.2,A,9.19,13.78,20110712-20110719,M1,11.53,13.14,measured,0.35,observed,-1.0,10.85,12.84
TAP_A01,85.0,,,726653.63,9684861.19,O,7.6,A,5.53,9.16,20090617-20090708,7.7,A,7.28,20100714-20100805,7.8,A,3.15,8.63,20110712-20110719,M1,8.85,9.16,measured,0.1,observed,-1.0,7.7,9.08
TAP_A01,980.0,,,726662.56,9684861.04,O,,,,,20090617-20090708,5.5,A,6.7,20100714-20100805,6.1,A,4.24,6.72,20110712-20110719,M1,7.36,6.7,measured,0.1,site_median,-1.0,6.0,6.62
TAP_A01,86.0,,,726670.73,9684859.91,O,19.3,A,6.29,13.98,20090617-20090708,19.5,A,12.16,20100714-20100805,19.8,A,6.6,12.6,20110712-20110719,M1,17.05,13.98,measured,0.25,observed,-1.0,19.55,13.87
TAP_A01,87.0,,,726670.27,9684860.41,L,7.0,A,1.26,11.93,20090617-20090708,5.5,A,,20100714-20100805,7.1,A,,,20110712-20110719,M1,8.25,11.93,measured,0.05,observed,-1.0,7.05,11.87
TAP_A01,88.0,,,726673.06,9684860.87,O,31.8,A,19.38,26.88,20090617-20090708,32.6,A,22.78,20100714-20100805,33.2,A,16.02,25.15,20110712-20110719,M1,23.48,26.88,measured,0.7,observed,-1.0,32.5,26.56
TAP_A01,89.0,,,726675.38,9684861.33,O,8.4,A,5.12,8.15,20090617-20090708,6.5,A,8.19,20100714-20100805,6.7,A,3.96,8.21,20110712-20110719,M1,7.9,8.15,measured,0.0,observed,-1.0,6.7,8.15
TAP_A01,90.0,,,726681.37,9684860.23,O,17.7,A,10.02,13.98,20090617-20090708,17.4,A,15.55,20100714-20100805,17.6,A,12.53,16.31,20110712-20110719,M1,15.77,13.98,measured,0.0,observed,-1.0,17.6,13.98
TAP_A01,91.0,,,726681.3,9684856.23,O,52.2,A,25.79,30.49,20090617-20090708,53.6,A,36.48,20100714-20100805,53.8,A,31.22,43.51,20110712-20110719,M1,30.35,30.49,measured,0.8,observed,-1.0,53.0,30.27
TAP_A01,92.0,,,726681.2,9684849.73,O,128.0,A,43.64,46.68,20090617-20090708,132.7,A,41.37,20100714-20100805,132.1,A,28.05,44.55,20110712-20110719,M1,42.15,46.68,measured,2.05,observed,-1.0,130.05,46.5
TAP_A01,93.0,,,726684.58,9684858.68,O,60.0,A,25.12,29.49,20090617-20090708,57.8,A,30.08,20100714-20100805,59.9,A,19.35,27.11,20110712-20110719,M1,31.91,29.49,measured,0.0,observed,-1.0,59.9,29.49
TAP_A01,94.0,,,726688.78,9684860.61,O,13.7,A,9.41,12.53,20090617-20090708,14.0,A,25.6,20100714-20100805,14.2,A,17.95,22.51,20110712-20110719,M1,13.62,12.53,measured,0.25,observed,-1.0,13.95,12.38
TAP_A01,981.0,,,726702.28,9684860.68,O,,,,,20090617-20090708,5.6,A,7.74,20100714-20100805,5.6,A,2.02,7.48,20110712-20110719,M1,6.9,7.74,measured,0.1,site_median,-1.0,5.5,7.64
TAP_A01,95.0,,,726704.48,9684859.34,O,23.7,A,26.46,27.37,20090617-20090708,23.7,A,28.46,20100714-20100805,23.7,A,28.51,34.84,20110712-20110719,M1,19.15,27.37,measured,0.0,observed,-1.0,23.7,27.37
TAP_A01,96.0,,,726709.58,9684860.26,O,45.2,D,1.05,18.93,20090617-20090708,45.2,D,23.16,20100714-20100805,45.2,D,,18.64,20110712-20110719,M1,27.82,18.93,measured,0.0,observed,-1.0,45.2,18.93
TAP_A01,97.0,,,726710.04,9684859.75,L,12.8,A,15.3,19.84,20090617-20090708,13.2,A,,20100714-20100805,13.8,A,,,20110712-20110719,M1,13.36,19.84,measured,0.5,observed,-1.0,13.3,19.34
TAP_A01,98.0,,,726711.89,9684859.72,O,10.2,A,10.37,14.24,20090617-20090708,10.4,A,16.05,20100714-20100805,10.6,A,10.43,17.59,20110712-20110719,M1,11.08,14.24,measured,0.2,observed,-1.0,10.4,14.05
TAP_A01,99.0,,,726718.77,9684857.83,O,61.6,A,20.91,23.82,20090617-20090708,61.3,A,31.56,20100714-20100805,62.3,A,27.1,30.95,20110712-20110719,M1,32.48,23.82,measured,0.35,observed,-1.0,61.95,23.76
TAP_A01,100.0,,,726718.77,9684857.33,O,57.7,D,1.0,5.43,20090617-20090708,58.5,D,4.64,20100714-20100805,58.5,D,,5.22,20110712-20110719,M1,31.57,5.43,measured,0.4,observed,-1.0,58.1,5.41
TAP_A01,101.0,,,726741.42,9684860.13,O,14.0,A,4.72,12.85,20090617-20090708,14.3,A,13.41,20100714-20100805,14.3,A,4.96,9.62,20110712-20110719,M1,13.69,12.85,measured,0.15,observed,-1.0,14.15,12.76
TAP_A01,102.0,,,726744.65,9684860.1,O,21.2,D,1.41,2.97,20090617-20090708,21.6,D,2.99,20100714-20100805,21.6,D,,2.36,20110712-20110719,M1,18.05,2.97,measured,0.2,observed,-1.0,21.4,2.95
TAP_A01,103.0,,,726749.49,9684859.56,O,4.5,A,1.42,4.62,20090617-20090708,5.0,A,7.48,20100714-20100805,4.9,A,4.36,6.25,20110712-20110719,M1,6.23,4.62,measured,0.2,observed,-1.0,4.7,4.48
TAP_A01,104.0,,,726773.61,9684856.97,O,33.6,A,12.57,21.11,20090617-20090708,33.7,A,21.91,20100714-20100805,33.9,A,14.83,20.46,20110712-20110719,M1,23.77,21.11,measured,0.15,observed,-1.0,33.75,21.06
TAP_A01,105.0,,,726779.82,9684859.51,O,37.7,A,16.06,20.78,20090617-20090708,37.7,A,17.73,20100714-20100805,37.7,A,10.12,24.31,20110712-20110719,M1,25.24,20.78,measured,0.0,observed,-1.0,37.7,20.78
TAP_A01,106.0,,,726791.72,9684859.59,O,7.6,A,4.67,9.25,20090617-20090708,7.8,A,8.93,20100714-20100805,7.6,A,5.75,7.25,20110712-20110719,M1,8.68,9.25,measured,0.0,observed,-1.0,7.6,9.25
TAP_A01,107.0,,,726792.2,9684859.09,O,19.2,A,8.05,15.72,20090617-20090708,19.5,A,18.17,20100714-20100805,19.9,A,12.08,16.41,20110712-20110719,M1,17.11,15.72,measured,0.35,observed,-1.0,19.55,15.54
TAP_A01,108.0,,,726792.67,9684859.1,O,23.8,A,16.09,23.85,20090617-20090708,24.0,A,22.06,20100714-20100805,24.2,A,12.32,23.06,20110712-20110719,M1,19.4,23.85,measured,0.2,observed,-1.0,24.0,23.73
TAP_A01,109.0,,,726803.14,9684857.67,O,125.1,A,41.4,50.79,20090617-20090708,109.2,A,48.12,20100714-20100805,107.8,A,41.13,45.51,20110712-20110719,M1,39.88,50.79,measured,0.0,observed,-1.0,107.8,50.79
TAP_A01,110.0,,,726822.67,9684860.3,O,5.7,A,3.29,7.3,20090617-20090708,5.9,A,7.22,20100714-20100805,5.9,A,2.43,7.25,20110712-20110719,M1,7.18,7.3,measured,0.1,observed,-1.0,5.8,7.21
TAP_A01,111.0,,,726826.0,9684859.33,O,41.3,A,11.37,22.68,20090617-20090708,41.4,A,20.9,20100714-20100805,41.8,A,15.56,31.57,20110712-20110719,M1,26.7,22.68,measured,0.25,observed,-1.0,41.55,22.6
TAP_A01,112.0,,,726832.19,9684859.37,O,44.0,D,1.41,6.07,20090617-20090708,44.6,D,6.48,20100714-20100805,44.6,D,,6.0,20110712-20110719,M1,27.63,6.07,measured,0.3,observed,-1.0,44.3,6.05
TAP_A01,113.0,,,726837.91,9684859.91,O,17.5,D,1.24,3.45,20090617-20090708,,D,,20100714-20100805,,D,,,20110712-20110719,M1,,3.45,measured,0.1,site_median,-1.0,,
