site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch
TAC_A01,52,Theobroma glaucum,Malvaceae,799918.4102,9725873.28,10.8,2.1,1.93,False,O,P01,11.23
TAC_A01,53,Euterpe oleracea,Arecaceae,799919.7069,9725874.388,14.9,11.3,7.13,False,P,P01,14.08
TAC_A01,54,Euterpe oleracea,Arecaceae,799919.7069,9725874.388,12.7,10.95,7.92,False,P,P01,12.6
TAC_A01,55,Theobroma glaucum,Malvaceae,799920.6985,9725875.236,10.7,4.33,0.75,False,O,P01,11.15
TAC_A01,56,Euterpe oleracea,Arecaceae,799921.6138,9725876.018,8.4,8.3,4.73,False,P,P01,9.35
TAC_A01,57,Euterpe oleracea,Arecaceae,799921.6138,9725876.018,12.6,12.0,7.35,False,P,P01,12.53
TAC_A01,58,Euterpe oleracea,Arecaceae,799921.6138,9725876.018,12.3,9.05,6.48,False,P,P01,12.32
TAC_A01,59,Theobroma glaucum,Malvaceae,799922.6054,9725876.866,10.3,4.49,2.12,False,O,P01,10.85
TAC_A01,60,Theobroma glaucum,Malvaceae,799925.2751,9725879.147,7.9,4.75,2.01,False,O,P01,8.94
TAC_A01,61,Euterpe oleracea,Arecaceae,799926.8006,9725880.451,13.7,12.07,8.26,False,P,P01,13.29
TAC_A01,62,Euterpe oleracea,Arecaceae,799926.8006,9725880.451,11.8,11.14,6.74,False,P,P01,11.96
TAC_A01,63,Euterpe oleracea,Arecaceae,799926.8006,9725880.451,11.9,12.24,7.25,False,P,P01,12.03
TAC_A01,64,Theobroma glaucum,Malvaceae,799927.5633,9725881.103,11.3,5.15,1.61,False,O,P01,11.6
TAC_A01,65,Theobroma glaucum,Malvaceae,799929.8247,9725879.052,10.2,4.86,2.12,False,O,P01,10.78
TAC_A01,66,Theobroma glaucum,Malvaceae,799926.7555,9725876.424,6.1,3.41,1.08,False,O,P01,7.36
TAC_A01,67,Theobroma glaucum,Malvaceae,799925.221,9725875.11,12.0,5.07,1.09,False,O,P01,12.11
