site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,dead,type,plot_id
SAN_A02,59,Swartzia corrugata,Fabaceae,738352.7861,9637034.052,12.4,13.48,9.02,False,O,3
SAN_A02,60,Guatteria schomburgkiana,Annonaceae,738353.122,9637035.942,31.3,16.2,12.09,False,O,3
SAN_A02,61,Helicostylis sp.,Moraceae,738353.3854,9637038.811,17.4,17.05,10.0,False,O,3
SAN_A02,62,Attalea maripa,Arecaceae,738355.398,9637041.521,42.8,20.3,7.61,False,P,3
SAN_A02,63,Helicostylis sp.,Moraceae,738352.7237,9637042.148,26.6,20.82,15.51,False,O,3
SAN_A02,64,Helicostylis sp.,Moraceae,738354.094,9637046.791,14.5,14.34,10.67,False,O,3
SAN_A02,65,Guatteria schomburgkiana,Annonaceae,738354.2266,9637053.368,32.8,23.92,16.76,False,O,3
SAN_A02,66,,,738355.8753,9637053.074,17.8,12.65,,True,O,3
SAN_A02,67,Helicostylis sp.,Moraceae,738356.8585,9637053.006,13.4,17.91,13.13,False,O,3
SAN_A02,68,Attalea maripa,Arecaceae,738356.7977,9637050.97,49.2,20.38,7.82,False,P,3
SAN_A02,69,Attalea maripa,Arecaceae,738366.8484,9637053.438,46.0,23.07,7.93,False,P,3
SAN_A02,70,,,738363.6661,9637044.476,39.2,3.65,,True,O,3
SAN_A02,71,Attalea maripa,Arecaceae,738390.2244,9637024.284,38.0,17.95,7.48,False,P,3
SAN_A02,72,Attalea maripa,Arecaceae,738383.0589,9637048.426,53.2,17.56,8.62,False,P,3
SAN_A02,73,Attalea maripa,Arecaceae,738390.6671,9637046.064,41.0,19.56,8.3,False,P,3
SAN_A02,74,Attalea maripa,Arecaceae,738395.0031,9637048.272,41.4,23.13,12.18,False,P,3
SAN_A02,75,Attalea maripa,Arecaceae,738387.096,9637016.756,44.0,16.94,9.71,False,P,3
SAN_A02,76,Attalea maripa,Arecaceae,738378.5016,9637017.679,43.0,20.5,10.24,False,P,3
SAN_A02,77,Attalea maripa,Arecaceae,738376.4435,9637003.793,41.0,24.1,11.4,False,P,3
SAN_A02,78,Attalea maripa,Arecaceae,738373.5989,9637004.004,54.0,16.52,11.02,False,P,3
SAN_A02,79,Attalea maripa,Arecaceae,738370.0934,9637006.302,45.5,21.74,7.57,False,P,3
SAN_A02,80,Attalea maripa,Arecaceae,738361.4348,9637013.236,43.0,13.95,7.89,False,P,3
SAN_A02,81,,,738366.2282,9637155.614,18.4,16.66,11.24,False,O,4
SAN_A02,82,Ceiba pentandra,Malvaceae,738367.0464,9637162.183,12.5,13.75,11.56,False,O,4
SAN_A02,83,Tapirira guianensis,Anacardiaceae,738367.1873,9637166.161,10.4,13.76,11.0,False,O,4
SAN_A02,84,Vismia guianensis,Hypericaceae,738367.8003,9637174.391,10.5,5.75,3.82,False,O,4
SAN_A02,85,Attalea maripa,Arecaceae,738371.3806,9637179.836,49.7,17.72,6.46,False,P,4
SAN_A02,86,Attalea maripa,Arecaceae,738371.5626,9637181.556,37.5,19.35,7.12,False,P,4
SAN_A02,87,Guatteria schomburgkiana,Annonaceae,738366.6824,9637186.711,14.3,16.26,10.07,False,O,4
SAN_A02,88,Cecropia ficifolia,Urticaceae,738372.1242,9637195.727,19.0,16.59,11.34,False,O,4
SAN_A02,91,Attalea maripa,Arecaceae,738383.1987,9637191.797,38.4,15.8,8.91,False,P,4
SAN_A02,92,Attalea maripa,Arecaceae,738392.2769,9637199.922,35.0,17.13,6.17,False,P,4
SAN_A02,93,Attalea maripa,Arecaceae,738395.2281,9637189.404,35.0,14.79,6.17,False,P,4
SAN_A02,94,,,738401.4552,9637198.846,64.1,24.0,,True,O,4
SAN_A02,95,Attalea maripa,Arecaceae,738406.9076,9637197.193,44.8,18.22,7.34,False,P,4
SAN_A02,96,Attalea maripa,Arecaceae,738408.6944,9637195.971,39.0,16.05,6.73,False,P,4
SAN_A02,97,Attalea maripa,Arecaceae,738399.6307,9637184.84,40.0,17.57,7.46,False,P,4
SAN_A02,98,Attalea maripa,Arecaceae,738411.4591,9637175.412,51.0,18.55,5.69,False,P,4
SAN_A02,99,Attalea maripa,Arecaceae,738403.4587,9637169.198,41.0,15.51,6.29,False,P,4
SAN_A02,100,Attalea maripa,Arecaceae,738391.3621,9637175.595,37.0,20.61,9.6,False,P,4
SAN_A02,101,Attalea maripa,Arecaceae,738392.0151,9637171.454,47.1,17.2,8.62,False,P,4
SAN_A02,102,Attalea maripa,Arecaceae,738387.7923,9637154.607,51.7,22.29,10.47,False,P,4
SAN_A02,103,Attalea maripa,Arecaceae,738378.4304,9637160.679,46.0,20.23,9.4,False,P,4
SAN_A02,104,Attalea maripa,Arecaceae,738380.3016,9637170.379,40.0,17.78,7.08,False,P,4
SAN_A02,1,Bixa arborea,Bixaceae,731810.1281,9634357.945,17.9,19.44,12.64,False,O,5
SAN_A02,2,Cordia scabrifolia,Boraginaceae,731816.2569,9634359.616,16.7,18.62,12.08,False,O,5
SAN_A02,3,Inga sp.,Fabaceae,731817.9168,9634358.327,21.6,22.3,10.68,False,O,5
SAN_A02,4,Inga heterophylla,Fabaceae,731818.1773,9634358.807,13.6,15.35,9.58,False,O,5
SAN_A02,5,,,731821.7437,9634358.267,14.4,,,True,O,5
SAN_A02,6,Minquartia guianensis,Olacaceae,731823.4359,9634345.374,47.6,19.91,12.48,False,O,5
SAN_A02,7,Inga marginata,Fabaceae,731828.9212,9634358.216,12.6,15.5,11.67,False,O,5
SAN_A02,8,Astronium graveolens,Anacardiaceae,731830.2373,9634354.706,32.7,23.6,16.52,False,O,5
SAN_A02,9,Cordia scabrifolia,Boraginaceae,731832.5523,9634354.667,14.2,14.64,8.7,False,O,5
SAN_A02,10,Fusaea longifolia,Annonaceae,731836.1807,9634355.256,13.4,11.23,6.81,False,O,5
SAN_A02,11,Cecropia ficifolia,Urticaceae,731838.5913,9634353.86,31.9,27.31,16.02,False,O,5
SAN_A02,12,Theobroma glaucum,Malvaceae,731839.7528,9634357.297,12.4,17.87,5.86,False,O,5
SAN_A02,13,Cecropia ficifolia,Urticaceae,731845.1877,9634354.514,15.2,18.64,11.36,False,O,5
SAN_A02,14,Inga sp.,Fabaceae,731850.9465,9634352.614,31.3,17.53,8.05,False,O,5
SAN_A02,15,Abarema cochleata,Fabaceae,731857.5505,9634351.514,12.5,13.51,8.31,False,O,5
SAN_A02,16,Geissospermum sericeum,Apocynaceae,731844.7797,9634325.749,39.8,19.79,13.6,False,O,5
SAN_A02,17,Manilkara huberi,Sapotaceae,731843.8381,9634325.884,37.1,33.04,21.83,False,O,5
SAN_A02,18,Pouteria sp.,Sapotaceae,731850.7556,9634316.682,53.3,25.91,18.72,False,O,5
SAN_A02,19,Tachigali paniculata,Fabaceae,731839.2745,9634316.248,90.0,45.61,22.29,False,O,5
SAN_A02,21,,,731815.9014,9634310.222,47.5,4.8,,True,O,5
SAN_A02,22,Pterocarpus sp.,Fabaceae,731819.5891,9634316.951,55.1,30.87,19.34,False,O,5
SAN_A02,23,Cecropia ficifolia,Urticaceae,731812.3459,9634319.004,35.9,29.99,23.76,False,O,5
SAN_A02,24,Inga alba,Fabaceae,731817.7518,9634324.455,41.8,33.89,18.09,False,O,5
SAN_A02,25,Alibertia edulis,Rubiaceae,731825.654,9634326.431,35.2,25.3,17.67,False,O,5
SAN_A02,26,Pouteria gongrijpii,Sapotaceae,731825.7261,9634333.656,69.6,39.91,28.91,False,O,5
SAN_A02,27,Mezilaurus itauba,Lauraceae,731818.9606,9634331.531,42.2,34.99,24.43,False,O,5
SAN_A02,28,Geissospermum sericeum,Apocynaceae,731819.2636,9634334.594,60.0,30.82,24.58,False,O,5
