site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch
FNA_A01,55,Aspidosperma polyneuron,Apocynaceae,715630.5394,8617446.001,0.75,1.152175556,35.7,23.68,16.28,A,O,T01,24.48
FNA_A01,56,,,715606.53,8617557.171,0.58,0.012012961,8.4,6.87,,D,O,T01,9.35
FNA_A01,57,,,715619.5838,8617551.489,0.58,0.02485002,13.0,5.74,,D,O,T01,12.81
FNA_A01,58,,,715612.4985,8617557.785,0.58,0.018615218,12.4,4.53,,D,O,T01,12.39
FNA_A01,59,Aspidosperma nitidum,Apocynaceae,715605.7332,8617580.875,0.763327689,6.942663921,73.2,33.35,15.98,A,O,T01,34.79
FNA_A01,60,,,715611.6163,8617575.759,0.58,0.242378772,33.3,9.32,,D,O,T01,23.53
FNA_A01,61,Mezilaurus itauba,Lauraceae,715621.8828,8617574.809,0.720305556,1.714275353,43.4,24.82,13.0,A,O,T01,27.23
FNA_A01,62,,,715622.0527,8617567.5,0.58,0.087805111,21.0,8.32,,D,O,T01,17.72
FNA_A01,63,,,715628.2549,8617560.41,0.58,0.055640148,17.1,7.87,,D,O,T01,15.47
FNA_A01,64,,,715625.1391,8617592.205,0.58,0.633426531,36.3,24.43,,D,O,T01,24.71
FNA_A01,65,,,715624.8201,8617594.18,0.7,0.085365032,22.8,5.22,,D,O,T01,18.68
FNA_A01,66,,,715602.9356,8617591.928,0.7,0.031726549,14.4,4.79,,D,O,T01,13.76
FNA_A01,67,,,715647.5397,8617597.521,0.7,0.01968359,16.3,1.97,,D,O,T01,14.98
FNA_A01,68,,,715640.0228,8617587.715,0.58,0.047827246,21.7,3.65,,D,O,T01,18.1
FNA_A01,69,,,715638.5495,8617590.575,0.58,0.101873918,22.8,8.16,,D,O,T01,18.68
FNA_A01,1,Esenbeckia febrifuga,Rutaceae,715481.1207,8617074.351,0.64,0.005380056,5.5,5.46,3.44,A,O,T02,6.81
FNA_A01,2,Cecropia distachya,Urticaceae,715482.5004,8617071.329,0.358461538,0.004596191,6.3,6.35,,A,O,T02,7.54
FNA_A01,3,Esenbeckia febrifuga,Rutaceae,715486.8938,8617076.276,0.64,0.008426615,6.2,6.73,2.98,A,O,T02,7.45
FNA_A01,4,Esenbeckia febrifuga,Rutaceae,715485.8821,8617076.926,0.64,0.014304756,8.4,6.22,3.52,A,O,T02,9.35
FNA_A01,5,,,715494.663,8617074.467,0.7,0.243624303,26.4,13.15,,D,O,T02,20.48
FNA_A01,6,,,715495.1907,8617077.588,0.58,0.050397687,17.7,6.41,,D,O,T02,15.83
FNA_A01,7,,,715498.614,8617075.092,0.58,0.01883606,14.6,3.08,,D,O,T02,13.89
FNA_A01,8,,,715505.5281,8617076.185,0.6,0.024969816,15.5,3.6,,D,O,T02,14.47
FNA_A01,9,,,715506.0557,8617079.305,0.7,0.080604392,15.5,12.51,,D,O,T02,14.47
FNA_A01,10,,,715514.4853,8617083.675,0.7,0.065827066,18.6,6.25,,D,O,T02,16.36
