site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh_2009,type_2009,dead_2009,hcom_2009,htot_2009,dbh_2011,type_2011,dead_2011,hcom_2011,htot_2011,plot_id
DUC_A01,1047,Capirona decorticans,Rubiaceae,173121.0522,9674292.844,30.5,O,False,23.85,36.17,30.9,O,False,25.37,40.19,T01
DUC_A01,1048,Ocotea cernua,Lauraceae,173120.1579,9674292.743,60.2,O,False,24.83,35.07,60.8,O,False,27.12,37.0,T01
DUC_A01,1049,Poeppigia procera,Fabaceae,173121.3042,9674284.405,25.1,O,False,14.97,22.77,25.1,O,False,15.65,20.33,T01
DUC_A01,1050,Chrysophyllum sanguinolentum,Sapotaceae,173123.6745,9674276.811,27.2,O,False,13.91,20.44,27.3,O,False,19.09,31.68,T01
DUC_A01,1051,Ocotea canaliculata,Lauraceae,173123.9092,9674275.628,7.2,O,False,8.34,13.37,7.4,O,False,8.06,14.77,T01
DUC_A01,1052,Theobroma glaucum,Malvaceae,173124.3067,9674275.673,8.4,O,False,12.15,15.49,8.7,O,False,12.54,14.92,T01
DUC_A01,1053,Poeppigia procera,Fabaceae,173123.9625,9674267.167,38.5,O,False,20.98,30.28,39.0,O,False,22.75,30.07,T01
DUC_A01,1054,Poeppigia procera,Fabaceae,173125.4299,9674263.099,7.4,O,False,7.57,14.63,7.7,O,False,10.0,26.48,T01
DUC_A01,1055,Lecythis idatimon,Lecythidaceae,173122.5166,9674262.164,37.3,O,False,20.38,26.02,37.5,O,False,18.31,23.51,T01
DUC_A01,1056,Chamaecrista xinguensis,Fabaceae,173124.9335,9674258.144,21.6,O,False,11.39,18.71,21.6,O,False,13.42,19.85,T01
DUC_A01,1057,Lecythis idatimon,Lecythidaceae,173126.8648,9674254.69,5.8,O,False,5.92,12.13,5.8,O,False,7.79,11.26,T01
DUC_A01,1058,Chamaecrista xinguensis,Fabaceae,173126.2803,9674254.555,18.7,O,False,14.69,19.98,18.8,O,False,5.99,21.2,T01
DUC_A01,1059,Helicostylis sp.,Moraceae,173128.0167,9674251.056,8.2,O,False,9.05,12.02,8.1,O,False,8.7,12.8,T01
DUC_A01,1060,Copaifera reticulata,Fabaceae,173121.3972,9674247.289,82.0,O,False,18.74,39.26,82.0,O,False,20.31,54.09,T01
DUC_A01,1061,Poeppigia procera,Fabaceae,173129.3001,9674242.435,9.2,O,False,5.33,9.79,9.3,O,False,6.87,11.25,T01
DUC_A01,1063,Pouteria gongrijpii,Sapotaceae,173131.0619,9674238.384,9.5,O,False,6.96,13.04,9.5,O,False,7.59,12.39,T01
DUC_A01,1064,Pouteria retinervis,Sapotaceae,173131.333,9674236.775,8.5,O,False,11.53,14.78,8.6,O,False,10.53,15.17,T01
DUC_A01,1065,Sterculia pruriens,Malvaceae,173132.0022,9674230.799,11.3,O,False,10.68,15.83,11.7,O,False,8.3,16.38,T01
DUC_A01,1066,Stryphnodendron pulcherrimum,Fabaceae,173131.9387,9674225.767,23.3,O,False,11.24,15.44,23.3,O,False,4.99,19.93,T01
DUC_A01,1067,Lecythis lurida,Lecythidaceae,173134.0097,9674225.69,12.6,O,False,12.95,14.88,12.7,O,False,12.27,15.05,T01
DUC_A01,1068,Protium hebetatum,Burseraceae,173134.7043,9674219.162,10.8,O,False,10.13,16.99,10.9,O,False,9.07,16.0,T01
DUC_A01,1069,Pouteria gongrijpii,Sapotaceae,173136.1062,9674212.241,14.2,O,False,7.6,17.41,14.2,O,False,11.06,15.28,T01
DUC_A01,1070,Nectandra cuspidata,Lauraceae,173135.8182,9674209.945,20.0,O,False,15.17,20.0,20.5,O,False,14.25,21.7,T01
DUC_A01,1071,Eschweilera coriacea,Lecythidaceae,173135.6616,9674202.662,40.0,O,False,20.58,36.62,50.0,O,False,25.74,35.13,T01
DUC_A01,1072,,,173138.3848,9674205.524,5.6,O,False,5.92,10.97,5.7,O,False,5.73,10.64,T01
DUC_A01,1073,Pouteria gongrijpii,Sapotaceae,173139.6342,9674201.912,7.9,O,False,8.03,11.77,7.9,O,False,6.15,11.62,T01
DUC_A01,1074,Pouteria gongrijpii,Sapotaceae,173138.2239,9674200.469,19.5,O,False,8.71,19.88,19.7,O,False,7.36,18.01,T01
DUC_A01,1075,Aniba parviflora,Lauraceae,173138.6643,9674199.457,28.6,O,False,19.63,25.23,29.0,O,False,18.88,27.34,T01
DUC_A01,1076,Guatteria schomburgkiana,Annonaceae,173141.1631,9674192.233,8.1,O,False,6.59,10.95,8.2,O,False,7.04,12.17,T01
DUC_A01,1077,Pouteria guianensis,Sapotaceae,173145.0638,9674178.088,9.1,O,False,8.41,12.27,9.4,O,False,8.04,14.47,T01
DUC_A01,1078,Pouteria retinervis,Sapotaceae,173145.0638,9674178.088,5.7,O,False,4.66,8.97,5.8,O,False,4.11,8.88,T01
DUC_A01,1081,,,173145.989,9674168.773,26.2,O,True,,9.84,26.2,O,True,2.78,10.11,T01
DUC_A01,1082,Pouteria guianensis,Sapotaceae,173147.009,9674165.869,21.0,O,False,12.45,20.68,20.9,O,False,9.58,19.47,T01
DUC_A01,1083,Pouteria guianensis,Sapotaceae,173146.6451,9674158.689,10.9,O,False,12.08,13.22,10.9,O,False,7.47,13.44,T01
DUC_A01,1084,Virola michelii,Myristicaceae,173147.5102,9674155.177,60.0,O,False,25.47,38.16,60.0,O,False,29.42,40.24,T01
DUC_A01,1085,Pouteria gongrijpii,Sapotaceae,173145.2166,9674155.005,32.8,O,False,23.06,27.69,33.0,O,False,19.35,25.57,T01
