site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2010,dead_2010,hcom_2009,htot_2010,date_2010,dbh_2011,dead_2011,hcom_2011,htot_2011,date_2011,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
TAP_A01,2201,,,725722.3,9666889.1,O,12.5,A,15.31,17.4,20100116-20100213,13.5,A,15.14,20.76,20110704-20110711,499.998497362,13.15,17.4,measured,1.0,observed,-2.0,11.5,15.55
TAP_A01,2202,,,725732.1,9666888.66,O,7.9,A,5.08,8.24,20100116-20100213,8.2,A,3.57,6.03,20110704-20110711,499.998497362,9.19,8.24,measured,0.3,observed,-2.0,7.6,7.78
TAP_A01,2203,,,725736.01,9666889.0,O,25.2,A,18.39,23.88,20100116-20100213,26.4,A,18.97,21.81,20110704-20110711,499.998497362,20.48,23.88,measured,1.2,observed,-2.0,24.0,22.5
TAP_A01,2204,,,725739.41,9666888.9,O,19.0,A,11.15,18.19,20100116-20100213,18.9,A,13.06,17.38,20110704-20110711,499.998497362,16.54,18.19,measured,0.0,observed,-2.0,18.9,18.19
TAP_A01,2205,,,725744.5,9666891.87,O,54.8,A,24.43,43.5,20100116-20100213,55.3,A,26.76,31.69,20110704-20110711,499.998497362,30.75,43.5,measured,0.5,observed,-2.0,54.3,43.12
TAP_A01,2206,,,725748.9,9666888.62,O,6.6,A,3.97,8.76,20100116-20100213,6.6,A,5.35,9.05,20110704-20110711,499.998497362,7.81,8.76,measured,0.0,observed,-2.0,6.6,8.76
TAP_A01,2207,,,725762.78,9666887.75,O,8.1,A,7.36,10.51,20100116-20100213,8.2,A,8.25,13.07,20110704-20110711,499.998497362,9.19,10.51,measured,0.1,observed,-2.0,8.0,10.32
TAP_A01,2208,,,725767.58,9666887.76,O,7.5,D,3.66,9.21,20100116-20100213,7.5,D,,9.21,20110704-20110711,499.998497362,8.6,9.21,measured,0.0,observed,-2.0,7.5,9.21
TAP_A01,2209,,,725768.29,9666888.09,O,90.0,D,,3.75,20100116-20100213,90.0,D,,3.79,20110704-20110711,499.998497362,37.61,3.75,measured,0.0,observed,-2.0,90.0,3.75
TAP_A01,2210,,,725770.09,9666887.74,O,16.0,A,18.08,20.55,20100116-20100213,16.3,A,16.27,19.79,20110704-20110711,499.998497362,14.98,20.55,measured,0.3,observed,-2.0,15.7,20.03
TAP_A01,2211,,,725771.78,9666887.59,O,11.2,A,9.19,16.4,20100116-20100213,12.1,A,13.46,16.93,20110704-20110711,499.998497362,12.18,16.4,measured,0.9,observed,-2.0,10.3,14.61
TAP_A01,2212,,,725780.48,9666887.43,O,5.8,A,1.85,7.55,20100116-20100213,5.8,D,3.52,5.9,20110704-20110711,499.998497362,7.09,7.55,measured,0.0,observed,-2.0,5.8,7.55
