site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2010,dead_2010,hcom_2009,htot_2010,date_2010,dbh_2011,dead_2011,hcom_2011,htot_2011,date_2011,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
TAP_A01,3029,Astrocaryum gynacanthum,Arecaceae,727303.67,9664494.39,P,5.7,A,1.62,5.31,20100116-20100213,5.0,A,2.37,5.7,20110704-20110711,493.008928009,6.33,5.31,measured,0.0,observed,-2.0,5.0,5.31
TAP_A01,3030,Inga marginata,Fabaceae,727312.64,9664497.26,O,34.5,D,,7.5,20100116-20100213,34.5,D,,4.31,20110704-20110711,493.008928009,24.01,7.5,measured,0.0,observed,-2.0,34.5,7.5
TAP_A01,3031,,,727322.6,9664494.73,O,13.9,A,7.2,13.11,20100116-20100213,14.3,A,8.18,12.27,20110704-20110711,493.008928009,13.69,13.11,measured,0.4,observed,-2.0,13.5,12.59
TAP_A01,3032,,,727332.46,9664494.14,O,9.0,A,6.04,11.14,20100116-20100213,9.1,A,5.19,8.53,20110704-20110711,493.008928009,9.92,11.14,measured,0.1,observed,-2.0,8.9,10.96
TAP_A01,3033,Theobroma glaucum,Malvaceae,727337.68,9664494.29,O,10.3,A,9.1,12.28,20100116-20100213,10.3,A,10.67,12.62,20110704-20110711,493.008928009,10.85,12.28,measured,0.0,observed,-2.0,10.3,12.28
TAP_A01,3034,,,727337.88,9664494.29,O,10.1,A,9.0,11.14,20100116-20100213,10.2,A,9.54,11.93,20110704-20110711,493.008928009,10.78,11.14,measured,0.1,observed,-2.0,10.0,10.97
TAP_A01,3035,,,727356.22,9664494.03,O,8.5,A,7.12,12.7,20100116-20100213,11.8,A,0.82,1.51,20110704-20110711,493.008928009,11.96,12.7,measured,3.3,observed,-2.0,5.2,6.92
TAP_A01,3036,,,727366.97,9664494.09,O,8.7,A,6.05,11.94,20100116-20100213,9.1,A,3.29,10.91,20110704-20110711,493.008928009,9.92,11.94,measured,0.4,observed,-2.0,8.3,11.16
TAP_A01,3037,,,727379.98,9664493.52,O,7.1,A,1.77,8.81,20100116-20100213,7.3,A,2.05,8.48,20110704-20110711,493.008928009,8.43,8.81,measured,0.2,observed,-2.0,6.9,8.44
TAP_A01,3038,,,727380.47,9664494.92,O,20.8,A,18.7,26.53,20100116-20100213,21.1,A,16.25,22.92,20110704-20110711,493.008928009,17.78,26.53,measured,0.3,observed,-2.0,20.5,26.04
TAP_A01,3039,Virola sebifera,Myristicaceae,727384.81,9664493.78,O,19.6,A,14.0,16.75,20100116-20100213,19.7,A,15.49,21.04,20110704-20110711,493.008928009,17.0,16.75,measured,0.1,observed,-2.0,19.5,16.63
TAP_A01,3040,,,727391.32,9664494.17,O,15.5,A,13.05,19.45,20100116-20100213,15.9,A,7.81,17.19,20110704-20110711,493.008928009,14.73,19.45,measured,0.4,observed,-2.0,15.1,18.76
TAP_A01,3041,,,727385.11,9664499.58,O,111.2,D,,32.93,20100116-20100213,111.2,D,,30.42,20110704-20110711,493.008928009,40.25,32.93,measured,0.0,observed,-2.0,111.2,32.93
TAP_A01,3042,,,727394.48,9664493.45,O,16.9,A,20.01,23.68,20100116-20100213,17.0,A,14.3,19.34,20110704-20110711,493.008928009,15.41,23.68,measured,0.1,observed,-2.0,16.8,23.5
TAP_A01,3043,,,727399.9,9664496.65,O,36.3,A,27.97,33.78,20100116-20100213,38.1,A,24.81,35.34,20110704-20110711,493.008928009,25.39,33.78,measured,1.8,observed,-2.0,34.5,31.94
TAP_A01,3044,,,727400.1,9664493.35,O,6.7,A,5.12,10.27,20100116-20100213,6.8,A,10.57,19.22,20110704-20110711,493.008928009,7.99,10.27,measured,0.1,observed,-2.0,6.6,10.04
TAP_A01,3045,,,727401.67,9664494.13,O,15.2,A,12.88,18.02,20100116-20100213,15.7,A,9.69,18.12,20110704-20110711,493.008928009,14.6,18.02,measured,0.5,observed,-2.0,14.7,17.22
TAP_A01,3046,Inga marginata,Fabaceae,727411.24,9664493.25,O,48.9,A,25.48,32.65,20100116-20100213,48.8,D,2.68,22.12,20110704-20110711,493.008928009,28.93,32.65,measured,0.0,observed,-2.0,48.8,32.65
TAP_A01,3047,Jacaranda copaia,Bignoniaceae,727415.97,9664495.31,O,49.5,A,25.23,34.8,20100116-20100213,50.4,A,27.12,35.93,20110704-20110711,493.008928009,29.4,34.8,measured,0.9,observed,-2.0,48.6,34.17
TAP_A01,3048,,,727418.14,9664493.94,O,33.1,A,19.59,29.69,20100116-20100213,33.7,A,19.66,29.97,20110704-20110711,493.008928009,23.69,29.69,measured,0.6,observed,-2.0,32.5,29.08
TAP_A01,3049,,,727420.21,9664493.12,O,9.2,A,5.12,10.86,20100116-20100213,9.3,A,7.11,9.87,20110704-20110711,493.008928009,10.08,10.86,measured,0.1,observed,-2.0,9.1,10.69
TAP_A01,3050,,,727420.8,9664493.49,O,22.7,A,18.69,23.81,20100116-20100213,23.4,A,14.35,23.36,20110704-20110711,493.008928009,18.99,23.81,measured,0.7,observed,-2.0,22.0,22.89
TAP_A01,3051,,,727434.11,9664492.85,O,11.1,A,5.39,14.51,20100116-20100213,11.6,A,7.4,12.98,20110704-20110711,493.008928009,11.82,14.51,measured,0.5,observed,-2.0,10.6,13.6
TAP_A01,3052,,,727446.63,9664493.19,L,5.5,A,,,20100116-20100213,5.7,A,,,20110704-20110711,493.008928009,6.99,7.33,local_fit,0.2,observed,-2.0,5.3,6.94
TAP_A01,3053,,,727447.42,9664493.73,O,16.7,A,5.89,10.46,20100116-20100213,16.7,A,8.32,12.32,20110704-20110711,493.008928009,15.22,10.46,measured,0.0,observed,-2.0,16.7,10.46
TAP_A01,3054,,,727455.61,9664493.86,O,13.0,A,7.57,12.83,20100116-20100213,13.6,A,9.24,14.46,20110704-20110711,493.008928009,13.22,12.83,measured,0.6,observed,-2.0,12.4,12.02
TAP_A01,3055,,,727457.18,9664493.35,O,13.7,A,7.98,10.43,20100116-20100213,13.9,A,7.64,11.86,20110704-20110711,493.008928009,13.42,10.43,measured,0.2,observed,-2.0,13.5,10.22
TAP_A01,3056,,,727458.17,9664493.24,O,13.8,A,6.93,9.73,20100116-20100213,14.2,A,7.48,12.05,20110704-20110711,493.008928009,13.62,9.73,measured,0.4,observed,-2.0,13.4,9.34
TAP_A01,3057,,,727458.86,9664492.83,O,9.6,A,6.23,8.7,20100116-20100213,10.4,A,6.06,8.68,20110704-20110711,493.008928009,10.93,8.7,measured,0.8,observed,-2.0,8.8,7.71
TAP_A01,3058,,,727461.42,9664492.91,O,6.4,A,1.75,4.26,20100116-20100213,6.5,A,1.69,4.56,20110704-20110711,493.008928009,7.72,4.26,measured,0.1,observed,-2.0,6.3,4.16
TAP_A01,3059,,,727463.1,9664492.69,O,5.8,A,6.09,9.3,20100116-20100213,6.2,A,5.46,8.58,20110704-20110711,493.008928009,7.45,9.3,measured,0.4,observed,-2.0,5.4,8.38
TAP_A01,3060,,,727476.61,9664495.88,O,115.8,A,31.73,41.87,20100116-20100213,115.8,A,21.17,37.0,20110704-20110711,493.008928009,40.72,41.87,measured,0.0,observed,-2.0,115.8,41.87
TAP_A01,3061,,,727484.2,9664493.66,O,13.8,A,11.56,14.96,20100116-20100213,14.4,A,9.43,17.42,20110704-20110711,493.008928009,13.76,14.96,measured,0.6,observed,-2.0,13.2,14.08
TAP_A01,3062,,,727487.16,9664494.18,O,23.4,A,15.3,19.09,20100116-20100213,24.1,A,12.01,16.36,20110704-20110711,493.008928009,19.35,19.09,measured,0.7,observed,-2.0,22.7,18.38
TAP_A01,3063,,,727487.95,9664492.98,O,14.1,A,13.64,21.45,20100116-20100213,14.3,A,10.84,16.47,20110704-20110711,493.008928009,13.69,21.45,measured,0.2,observed,-2.0,13.9,21.03
TAP_A01,3064,,,727490.9,9664493.0,O,16.4,A,9.55,14.71,20100116-20100213,16.5,A,6.85,15.19,20110704-20110711,493.008928009,15.1,14.71,measured,0.1,observed,-2.0,16.3,14.59
TAP_A01,3065,,,727491.99,9664494.84,O,34.5,A,19.1,26.32,20100116-20100213,35.5,A,15.25,26.75,20110704-20110711,493.008928009,24.4,26.32,measured,1.0,observed,-2.0,33.5,25.47
TAP_A01,3066,,,727491.99,9664492.49,O,6.7,A,5.17,9.03,20100116-20100213,6.8,A,5.24,9.79,20110704-20110711,493.008928009,7.99,9.03,measured,0.1,observed,-2.0,6.6,8.83
TAP_A01,3067,,,727496.82,9664494.0,O,18.3,A,15.97,20.56,20100116-20100213,19.0,A,15.06,26.02,20110704-20110711,493.008928009,16.6,20.56,measured,0.7,observed,-2.0,17.6,19.53
TAP_A01,3068,,,727500.86,9664492.56,O,26.5,A,13.51,17.43,20100116-20100213,27.6,A,11.68,18.98,20110704-20110711,493.008928009,21.05,17.43,measured,1.1,observed,-2.0,25.4,16.56
TAP_A01,3069,,,727502.93,9664492.65,O,5.3,A,3.23,4.75,20100116-20100213,5.4,A,2.93,4.74,20110704-20110711,493.008928009,6.71,4.75,measured,0.1,observed,-2.0,5.2,4.62
TAP_A01,3070,,,727508.75,9664492.29,O,7.0,A,5.49,8.0,20100116-20100213,7.1,A,4.27,4.64,20110704-20110711,493.008928009,8.25,8.0,measured,0.1,observed,-2.0,6.9,7.84
TAP_A01,3071,,,727511.81,9664493.32,O,14.8,D,,2.89,20100116-20100213,14.8,D,,2.89,20110704-20110711,493.008928009,14.02,2.89,measured,0.0,observed,-2.0,14.8,2.89
TAP_A01,3072,,,727514.86,9664492.09,O,8.3,A,4.13,6.79,20100116-20100213,8.8,A,2.24,6.22,20110704-20110711,493.008928009,9.68,6.79,measured,0.5,observed,-2.0,7.8,6.21
TAP_A01,3073,,,727524.92,9664492.15,O,7.1,A,3.4,7.5,20100116-20100213,7.9,A,3.74,5.7,20110704-20110711,493.008928009,8.94,7.5,measured,0.8,observed,-2.0,6.3,6.33
TAP_A01,3074,,,727527.09,9664492.78,O,10.8,A,3.05,8.17,20100116-20100213,11.1,A,4.86,9.39,20110704-20110711,493.008928009,11.45,8.17,measured,0.3,observed,-2.0,10.5,7.85
TAP_A01,3075,,,727530.24,9664492.21,O,7.3,A,3.31,6.56,20100116-20100213,7.6,A,4.6,7.07,20110704-20110711,493.008928009,8.68,6.56,measured,0.3,observed,-2.0,7.0,6.17
TAP_A01,3076,,,727533.79,9664492.08,O,11.3,A,7.44,14.71,20100116-20100213,11.8,A,8.09,11.99,20110704-20110711,493.008928009,11.96,14.71,measured,0.5,observed,-2.0,10.8,13.81
TAP_A01,3077,,,727537.25,9664491.9,O,8.3,A,4.65,9.4,20100116-20100213,10.6,A,5.15,11.34,20110704-20110711,493.008928009,11.08,9.4,measured,2.3,observed,-2.0,6.0,6.17
TAP_A01,3078,,,727546.51,9664492.01,O,5.6,A,3.24,8.12,20100116-20100213,6.7,A,1.61,8.94,20110704-20110711,493.008928009,7.9,8.12,measured,1.1,observed,-2.0,4.5,6.0
TAP_A01,3079,,,727547.4,9664492.21,O,6.8,A,4.64,7.45,20100116-20100213,7.0,A,3.64,9.41,20110704-20110711,493.008928009,8.17,7.45,measured,0.2,observed,-2.0,6.6,7.12
TAP_A01,3080,,,727555.09,9664492.54,O,10.0,A,8.91,12.64,20100116-20100213,10.7,A,7.83,11.24,20110704-20110711,493.008928009,11.15,12.64,measured,0.7,observed,-2.0,9.3,11.43
TAP_A01,3081,,,727555.88,9664491.78,O,22.6,A,10.73,13.31,20100116-20100213,23.7,A,4.22,5.73,20110704-20110711,493.008928009,19.15,13.31,measured,1.1,observed,-2.0,21.5,12.5
TAP_A01,3082,,,727560.51,9664492.04,O,15.4,A,9.44,11.99,20100116-20100213,17.0,A,8.26,16.54,20110704-20110711,493.008928009,15.41,11.99,measured,1.6,observed,-2.0,13.8,10.39
TAP_A01,3083,Ocotea sp.,Lauraceae,727564.36,9664494.66,O,32.0,A,16.57,22.12,20100116-20100213,34.9,A,14.14,17.26,20110704-20110711,493.008928009,24.17,22.12,measured,2.9,observed,-2.0,29.1,19.89
TAP_A01,3084,,,727572.54,9664492.14,O,9.4,D,,1.53,20100116-20100213,9.4,D,,1.53,20110704-20110711,493.008928009,10.16,1.53,measured,0.0,observed,-2.0,9.4,1.53
TAP_A01,3085,,,727577.67,9664491.59,O,6.0,A,,1.65,20100116-20100213,6.0,A,,1.65,20110704-20110711,493.008928009,7.27,1.65,measured,0.0,observed,-2.0,6.0,1.65
TAP_A01,3086,,,727581.32,9664491.91,O,6.3,A,7.89,10.91,20100116-20100213,6.3,A,7.62,9.09,20110704-20110711,493.008928009,7.54,10.91,measured,0.0,observed,-2.0,6.3,10.91
TAP_A01,3087,,,727595.81,9664492.43,O,14.5,A,4.53,6.38,20100116-20100213,14.7,A,1.78,6.44,20110704-20110711,493.008928009,13.95,6.38,measured,0.2,observed,-2.0,14.3,6.26
TAP_A01,3088,,,727599.17,9664492.1,O,8.0,A,4.61,13.49,20100116-20100213,8.3,A,5.35,10.7,20110704-20110711,493.008928009,9.27,13.49,measured,0.3,observed,-2.0,7.7,12.76
TAP_A01,3089,Carapa guianensis,Meliaceae,727600.35,9664491.89,O,27.6,A,19.56,26.12,20100116-20100213,28.4,A,14.02,21.4,20110704-20110711,493.008928009,21.41,26.12,measured,0.8,observed,-2.0,26.8,25.22
TAP_A01,3090,Tachigali paniculata,Fabaceae,727611.69,9664491.69,O,55.2,A,27.09,34.9,20100116-20100213,58.0,A,26.4,38.01,20110704-20110711,493.008928009,31.44,34.9,measured,2.8,observed,-2.0,52.4,33.26
TAP_A01,3091,,,727619.67,9664491.07,O,5.1,A,5.27,8.35,20100116-20100213,5.4,A,4.47,8.51,20110704-20110711,493.008928009,6.71,8.35,measured,0.3,observed,-2.0,4.8,7.63
TAP_A01,3092,,,727611.59,9664490.79,O,10.2,A,6.14,8.34,20100116-20100213,10.3,A,6.09,9.21,20110704-20110711,493.008928009,10.85,8.34,measured,0.1,observed,-2.0,10.1,8.22
TAP_A01,3093,Syagrus cocoides,Arecaceae,727607.74,9664491.08,P,5.3,A,4.67,6.78,20100116-20100213,5.3,A,4.54,6.66,20110704-20110711,493.008928009,6.62,6.78,measured,0.0,observed,-2.0,5.3,6.78
TAP_A01,3094,,,727606.17,9664491.09,O,8.1,A,5.14,13.69,20100116-20100213,8.1,A,5.77,9.31,20110704-20110711,493.008928009,9.1,13.69,measured,0.0,observed,-2.0,8.1,13.69
TAP_A01,3095,,,727605.57,9664491.0,O,13.1,A,9.78,16.59,20100116-20100213,13.8,A,7.45,14.33,20110704-20110711,493.008928009,13.36,16.59,measured,0.7,observed,-2.0,12.4,15.39
TAP_A01,3096,,,727587.04,9664484.91,O,67.4,D,,11.87,20100116-20100213,67.4,D,,8.93,20110704-20110711,493.008928009,33.61,11.87,measured,0.0,observed,-2.0,67.4,11.87
TAP_A01,3097,Aspidosperma nitidum,Apocynaceae,727583.39,9664490.99,O,26.5,A,13.1,15.35,20100116-20100213,26.5,D,1.2,14.08,20110704-20110711,493.008928009,20.53,15.35,measured,0.0,observed,-2.0,26.5,15.35
TAP_A01,3098,,,727575.7,9664490.26,O,20.7,A,15.59,20.83,20100116-20100213,21.4,A,14.97,19.74,20110704-20110711,493.008928009,17.94,20.83,measured,0.7,observed,-2.0,20.0,19.94
TAP_A01,3099,,,727567.32,9664490.73,O,9.3,A,6.54,12.73,20100116-20100213,9.8,A,6.94,12.19,20110704-20110711,493.008928009,10.47,12.73,measured,0.5,observed,-2.0,8.8,11.77
