site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch
FST_A01,11,Mouriri collocarpa,Melastomataceae,587291.0143,9820680.897,0.833333333,0.123215938,13.5,15.94,9.63,A,O,1,13.15
FST_A01,12,Pouteria sp.,Sapotaceae,587281.9867,9820684.636,0.781766198,2.715075494,46.3,31.83,16.67,A,O,1,28.17
FST_A01,13,Protium paniculatum,Burseraceae,587282.7764,9820686.472,0.49,0.203909249,18.4,24.15,19.3,A,O,1,16.25
FST_A01,14,Sloanea guianensis,Elaeocarpaceae,587280.842,9820685.578,0.821152911,0.072741839,10.6,15.49,10.54,A,O,1,11.08
FST_A01,15,Nectandra cuspidata,Lauraceae,587281.3867,9820688.498,0.56,0.456387443,25.1,25.41,19.85,A,O,1,19.85
FST_A01,16,Pouteria guianensis,Sapotaceae,587327.8232,9820691.098,0.929561667,2.884009119,41.3,35.74,17.91,A,O,1,26.53
FST_A01,17,Batesia floribunda,Fabaceae,587323.1743,9820696.308,0.54,1.124993163,40.4,25.08,17.28,A,O,1,26.21
FST_A01,18,Swartzia polyphylla,Fabaceae,587313.4732,9820671.269,0.691,8.298644611,86.0,31.9,22.35,A,O,1,37.01
FST_A01,19,,,587308.6294,9820676.251,0.6,0.422950488,43.7,9.09,,D,O,1,27.33
FST_A01,20,Bombax paraense,Malvaceae,587326.5726,9820713.975,0.39,6.776713454,90.8,41.41,28.81,A,O,1,37.73
FST_A01,21,Nectandra cuspidata,Lauraceae,587323.5633,9820716.539,0.56,0.860693165,35.4,24.1,9.51,A,O,1,24.36
FST_A01,22,,,587322.2241,9820707.366,0.58,0.246153616,63.7,1.95,,D,O,1,32.8
FST_A01,23,Pouteria guianensis,Sapotaceae,587303.729,9820717.676,0.929561667,1.861761193,36.0,30.36,18.63,A,O,1,24.6
FST_A01,24,NI,NI,587307.2783,9820709.659,0.64,2.522818972,43.9,40.18,28.91,A,O,1,27.4
FST_A01,25,Pouteria sp.,Sapotaceae,587304.929,9820709.953,0.781766198,4.065100705,56.7,31.78,22.87,A,O,1,31.11
FST_A01,26,Protium paniculatum,Burseraceae,587283.3859,9820695.4,0.49,1.023404933,38.0,28.42,16.45,A,O,1,25.35
FST_A01,27,Manilkara huberi,Sapotaceae,587193.2964,9820754.346,0.93,13.43417192,85.6,38.73,23.43,A,O,2,36.94
FST_A01,28,,,587191.0135,9820754.684,0.45,0.11608327,51.0,1.82,,D,O,2,29.57
FST_A01,29,,,587183.7571,9820758.379,0.45,0.61042199,77.0,5.07,,D,O,2,35.49
FST_A01,30,Virola melinoni,Myristicaceae,587181.4674,9820756.317,0.476163695,0.04537872,12.0,13.0,6.21,A,O,2,12.11
FST_A01,31,Mouriri collocarpa,Melastomataceae,587175.8756,9820761.293,0.833333333,0.208150171,17.0,16.98,11.66,A,O,2,15.41
FST_A01,32,Pouteria gongrijpii,Sapotaceae,587171.3696,9820761.087,0.799402922,0.17392151,19.7,11.01,8.52,A,O,2,17.0
FST_A01,33,Thyrsodium paraense,Anacardiaceae,587172.4322,9820762.414,0.613333333,0.247404121,17.8,25.01,18.72,A,O,2,15.89
FST_A01,34,Pouteria hispida,Sapotaceae,587170.4809,9820762.529,0.87,0.190510107,12.7,26.67,19.9,A,O,2,12.6
FST_A01,35,Pouteria hispida,Sapotaceae,587170.6915,9820763.589,0.87,1.041897452,28.1,29.8,18.22,A,O,2,21.28
FST_A01,36,Pouteria hispida,Sapotaceae,587167.0049,9820766.798,0.87,0.802564991,30.6,19.36,16.83,A,O,2,22.39
FST_A01,37,Ormosia coccinea,Fabaceae,587163.412,9820766.457,0.625,0.352933128,19.0,30.73,16.4,A,O,2,16.6
FST_A01,38,Dipteryx odorata,Fabaceae,587161.988,9820769.462,0.92,17.04920624,96.4,39.18,20.6,A,O,2,38.5
FST_A01,39,Manilkara huberi,Sapotaceae,587164.0876,9820777.664,0.93,7.920378755,63.5,41.5,26.19,A,O,2,32.76
FST_A01,40,Virola elongata,Myristicaceae,587159.205,9820769.176,0.52,0.143288578,15.8,21.69,13.4,A,O,2,14.66
FST_A01,41,Inga thibaudiana,Fabaceae,587154.3973,9820772.42,0.576407927,0.094301116,18.2,9.7,8.69,A,O,2,16.13
FST_A01,42,Ocotea canaliculata,Lauraceae,587161.8115,9820780.403,0.479426667,0.997890409,37.0,29.87,24.27,A,O,2,24.98
FST_A01,43,Pouteria sp.,Sapotaceae,587178.6755,9820796.677,0.781766198,1.172887406,35.1,23.92,14.12,A,O,2,24.25
FST_A01,45,Brosimum rubescens,Moraceae,587182.8338,9820798.681,0.825151429,2.6126026,40.1,38.68,18.53,A,O,2,26.11
FST_A01,46,Ficus broadwayi,Moraceae,587179.4908,9820791.318,0.415277778,2.927709802,65.0,32.78,20.28,A,O,2,33.09
