site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,dbh,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
JAM_A03,20,Parkia paraensis,Fabaceae,498915.4819,8996761.433,0.42,70.0,20131218,A,O,0,34.15,34.15,feldpausch_regional,0.18,default,0.0,70.0,34.15,70.0,True,O,34.15,feldpausch,70.0,34.15,0.415,2562.6034,1772.4302,1772.4302,2562.6034,1772.4302,1772.4302,0
JAM_A03,21,Apeiba echinata,Malvaceae,498915.5908,8996760.439,0.28,42.0,20131218,A,O,0,26.77,26.77,feldpausch_regional,0.18,default,0.0,42.0,26.77,42.0,True,O,26.77,feldpausch,42.0,26.77,0.2822,745.4665,522.8468,522.8468,745.4665,522.8468,522.8468,0
JAM_A03,22,,,498909.6163,8996734.849,,40.8,20131218,D,O,0,26.35,26.35,feldpausch_regional,0.18,default,0.0,40.8,26.35,40.8,False,O,26.35,feldpausch,40.8,26.35,0.6345,693.6673,693.6673,732.5938,693.6673,693.6673,732.5938,0
JAM_A03,23,Inga alba,Fabaceae,498898.6141,8996737.371,0.59,41.5,20131218,A,O,0,26.59,26.59,feldpausch_regional,0.18,default,0.0,41.5,26.59,41.5,True,O,26.59,feldpausch,41.5,26.59,0.5861,723.4619,507.6627,507.6627,723.4619,507.6627,507.6627,0
JAM_A03,24,Neea oppositifolia,Nyctaginaceae,498870.5272,8996895.625,0.89,15.1,20131218,A,O,0,14.21,14.21,feldpausch_regional,0.18,default,0.0,15.1,14.21,15.1,True,O,14.21,feldpausch,15.1,14.21,0.893,54.5451,40.2564,40.2564,54.5451,40.2564,40.2564,5
JAM_A03,25,Mezilaurus itauba,Lauraceae,498872.4931,8996926.119,0.72,60.8,20131218,A,O,0,32.13,32.13,feldpausch_regional,0.18,default,0.0,60.8,32.13,60.8,True,O,32.13,feldpausch,60.8,32.13,0.7443,1833.9409,1272.0952,1272.0952,1833.9409,1272.0952,1272.0952,1
JAM_A03,26,Bertholletia excelsa,Lecythidaceae,498882.5515,8996741.581,0.64,106.2,20131218,A,O,0,39.7,39.7,feldpausch_regional,0.18,default,0.0,106.2,39.7,106.2,True,O,39.7,feldpausch,106.2,39.7,0.638,6696.9226,4614.4414,4614.4414,6696.9226,4614.4414,4614.4414,0
JAM_A03,27,Rinorea guianensis,Violaceae,498880.2968,8996893.952,0.78,41.4,20131218,A,O,0,26.56,26.56,feldpausch_regional,0.18,default,0.0,41.4,26.56,41.4,True,O,26.56,feldpausch,41.4,26.56,0.78,719.27,504.7528,504.7528,719.27,504.7528,504.7528,1
JAM_A03,28,Rinorea guianensis,Violaceae,498876.265,8996898.808,0.78,52.7,20131218,A,O,0,30.05,30.05,feldpausch_regional,0.18,default,0.0,52.7,30.05,52.7,True,O,30.05,feldpausch,52.7,30.05,0.78,1299.6045,904.8102,904.8102,1299.6045,904.8102,904.8102,1
JAM_A03,29,Helicostylis sp.,Moraceae,498869.9816,8996900.169,0.65,30.0,20131218,A,O,0,22.13,22.13,feldpausch_regional,0.18,default,0.0,30.0,22.13,30.0,True,O,22.13,feldpausch,30.0,22.13,0.643,320.9987,228.2952,228.2952,320.9987,228.2952,228.2952,5
JAM_A03,30,Brosimum rubescens,Moraceae,498867.9345,8996905.547,0.83,14.0,20131218,A,O,0,13.49,13.49,feldpausch_regional,0.18,default,0.0,14.0,13.49,14.0,True,O,13.49,feldpausch,14.0,13.49,0.8251,44.7295,33.1639,33.1639,44.7295,33.1639,33.1639,5
JAM_A03,31,Rinorea guianensis,Violaceae,498869.7273,8996905.387,0.78,15.8,20131218,A,O,0,14.66,14.66,feldpausch_regional,0.18,default,0.0,15.8,14.66,15.8,True,O,14.66,feldpausch,15.8,14.66,0.78,61.4308,45.2138,45.2138,61.4308,45.2138,45.2138,5
JAM_A03,32,Eschweilera parviflora,Lecythidaceae,498869.2261,8996905.731,0.89,23.3,20131218,A,O,0,18.94,18.94,feldpausch_regional,0.18,default,0.0,23.3,18.94,23.3,True,O,18.94,feldpausch,23.3,18.94,0.918,168.3691,121.2462,121.2462,168.3691,121.2462,121.2462,5
JAM_A03,33,Helicostylis sp.,Moraceae,498871.001,8996907.271,0.65,38.4,20131218,A,O,0,25.5,25.5,feldpausch_regional,0.18,default,0.0,38.4,25.5,38.4,True,O,25.5,feldpausch,38.4,25.5,0.643,596.8407,420.0218,420.0218,596.8407,420.0218,420.0218,5
JAM_A03,34,Vataireopsis speciosa,Fabaceae,498867.7798,8996910.756,0.65,19.8,20131218,A,O,0,17.05,17.05,feldpausch_regional,0.18,default,0.0,19.8,17.05,19.8,True,O,17.05,feldpausch,19.8,17.05,0.65,110.5896,80.3416,80.3416,110.5896,80.3416,80.3416,5
JAM_A03,35,Tachigali alba,Fabaceae,498871.1398,8996912.953,0.56,29.8,20131218,A,O,0,22.04,22.04,feldpausch_regional,0.18,default,0.0,29.8,22.04,29.8,True,O,22.04,feldpausch,29.8,22.04,0.5573,315.577,224.5118,224.5118,315.577,224.5118,224.5118,5
JAM_A03,36,,,498869.134,8996914.431,,28.9,20131218,D,O,0,21.64,21.64,feldpausch_regional,0.18,default,0.0,28.9,21.64,28.9,False,O,21.64,feldpausch,28.9,21.64,0.6345,291.9741,291.9741,308.3588,291.9741,291.9741,308.3588,5
JAM_A03,37,NI,NI,498914.9226,8996913.034,0.64,36.0,20131218,A,O,0,24.6,24.6,feldpausch_regional,0.18,default,0.0,36.0,24.6,36.0,True,O,24.6,feldpausch,36.0,24.6,0.6345,508.061,358.4672,358.4672,508.061,358.4672,358.4672,1
