site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,dbh,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
JAM_A03,82,Tachigali paniculata,Fabaceae,498870.7571,8997224.931,0.56,22.2,20131218,A,O,0,18.37,18.37,feldpausch_regional,0.18,default,0.0,22.2,18.37,22.2,True,O,18.37,feldpausch,22.2,18.37,0.5545,148.7004,107.3512,107.3512,148.7004,107.3512,107.3512,7
JAM_A03,83,,,498874.0287,8997225.159,,13.4,20131218,D,O,0,13.08,13.08,feldpausch_regional,0.18,default,0.0,13.4,13.08,13.4,False,O,13.08,feldpausch,13.4,13.08,0.6345,39.8454,39.8454,42.0814,39.8454,39.8454,42.0814,7
JAM_A03,84,Eschweilera grandifolia,Lecythidaceae,498871.6884,8997229.918,0.88,22.7,20131218,A,O,0,18.63,18.63,feldpausch_regional,0.18,default,0.0,22.7,18.63,22.7,True,O,18.63,feldpausch,22.7,18.63,0.8314,157.453,113.5391,113.5391,157.453,113.5391,113.5391,7
JAM_A03,85,Rinorea guianensis,Violaceae,498873.9187,8997234.158,0.78,18.9,20131218,A,O,0,16.54,16.54,feldpausch_regional,0.18,default,0.0,18.9,16.54,18.9,True,O,16.54,feldpausch,18.9,16.54,0.78,98.0403,71.4077,71.4077,98.0403,71.4077,71.4077,7
JAM_A03,86,Vochysia micrantha,Vochysiaceae,498871.6041,8997236.818,0.46,11.7,20131218,A,O,0,11.89,11.89,feldpausch_regional,0.18,default,0.0,11.7,11.89,11.7,True,O,11.89,feldpausch,11.7,11.89,0.4668,27.8572,20.8896,20.8896,27.8572,20.8896,20.8896,7
JAM_A03,87,Parkia sp.,Fabaceae,498886.7208,8997217.725,0.45,42.1,20131218,A,O,0,26.8,26.8,feldpausch_regional,0.18,default,0.0,42.1,26.8,42.1,True,O,26.8,feldpausch,42.1,26.8,0.4553,749.7542,525.821,525.821,749.7542,525.821,525.821,3
JAM_A03,88,Vataireopsis speciosa,Fabaceae,498871.7541,8997216.43,0.65,34.0,20131218,A,O,0,23.81,23.81,feldpausch_regional,0.18,default,0.0,34.0,23.81,34.0,True,O,23.81,feldpausch,34.0,23.81,0.65,440.1743,311.3196,311.3196,440.1743,311.3196,311.3196,7
JAM_A03,89,Diplotropis sp.,Fabaceae,498896.7913,8997205.597,0.75,69.8,20131218,A,O,0,34.11,34.11,feldpausch_regional,0.18,default,0.0,69.8,34.11,69.8,True,O,34.11,feldpausch,69.8,34.11,0.7378,2545.4175,1760.6278,1760.6278,2545.4175,1760.6278,1760.6278,3
JAM_A03,90,Couratari stellata,Lecythidaceae,498903.6732,8997210.806,0.63,43.9,20131218,A,O,0,27.4,27.4,feldpausch_regional,0.18,default,0.0,43.9,27.4,43.9,True,O,27.4,feldpausch,43.9,27.4,0.6331,831.3731,582.195,582.195,831.3731,582.195,582.195,3
JAM_A03,91,Dinizia excelsa,Fabaceae,498906.6296,8997212.467,0.94,91.0,20131218,A,O,0,37.75,37.75,feldpausch_regional,0.18,default,0.0,91.0,37.75,91.0,True,O,37.75,feldpausch,91.0,37.75,0.9054,4716.0721,3251.3245,3251.3245,4716.0721,3251.3245,3251.3245,3
JAM_A03,92,Tachigali myrmecophila,Fabaceae,498915.5964,8997209.451,0.53,59.9,20131218,A,O,0,31.91,31.91,feldpausch_regional,0.18,default,0.0,59.9,31.91,59.9,True,O,31.91,feldpausch,59.9,31.91,0.476,1769.4179,1227.7932,1227.7932,1769.4179,1227.7932,1227.7932,3
JAM_A03,93,Eschweilera ovata,Lecythidaceae,498916.6511,8997204.338,0.9,40.0,20131218,A,O,0,26.07,26.07,feldpausch_regional,0.18,default,0.0,40.0,26.07,40.0,True,O,26.07,feldpausch,40.0,26.07,0.9,660.4431,464.0693,464.0693,660.4431,464.0693,464.0693,3
JAM_A03,95,Swartzia polyphylla,Fabaceae,498908.8905,8997189.843,0.69,49.4,20131218,A,O,0,29.11,29.11,feldpausch_regional,0.18,default,0.0,49.4,29.11,49.4,True,O,29.11,feldpausch,49.4,29.11,0.691,1110.5059,774.6399,774.6399,1110.5059,774.6399,774.6399,3
JAM_A03,96,Couratari stellata,Lecythidaceae,498906.9155,8997189.069,0.63,104.2,20131218,A,O,0,39.47,39.47,feldpausch_regional,0.18,default,0.0,104.2,39.47,104.2,True,O,39.47,feldpausch,104.2,39.47,0.6331,6416.4556,4421.2127,4421.2127,6416.4556,4421.2127,4421.2127,3
JAM_A03,97,Eschweilera grandifolia,Lecythidaceae,498888.02,8997192.614,0.88,75.4,20131218,A,O,0,35.2,35.2,feldpausch_regional,0.18,default,0.0,75.4,35.2,75.4,True,O,35.2,feldpausch,75.4,35.2,0.8314,3051.5128,2108.0167,2108.0167,3051.5128,2108.0167,2108.0167,3
