site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
SFX_A01,1,NI,NI,289203.7971,9289380.884,0.62,,11.3,,,20111021,A,O,P01,11.6,11.6,feldpausch_regional,0.18,default,1.0,11.48,11.73,11.3,True,O,11.6,feldpausch,11.48,11.731613829769724,0.7138,25.4086,19.096,19.096,26.4948,19.892,19.892,
SFX_A01,2,NI,NI,289203.7971,9289335.684,0.62,,10.9,,,20111021,A,O,P01,11.3,11.3,feldpausch_regional,0.18,default,1.0,11.08,11.44,10.9,True,O,11.3,feldpausch,11.08,11.433467441478326,0.7138,23.0846,17.3912,17.3912,24.1093,18.1438,18.1438,
SFX_A01,3,Jacaranda copaia,Bignoniaceae,289204.7971,9289376.584,0.35,,16.12,,,20111021,A,O,P01,14.86,14.86,feldpausch_regional,0.18,default,1.0,16.3,14.98,16.12,True,O,14.86,feldpausch,16.3,14.972560211322975,0.3507,64.7333,47.5884,47.5884,66.6407,48.9584,48.9584,
SFX_A01,4,Cecropia ficifolia,Urticaceae,289201.7971,9289371.084,0.27,,29.5,,,20111021,A,O,P01,21.91,21.91,feldpausch_regional,0.18,default,1.0,29.68,21.99,29.5,True,O,21.91,feldpausch,29.68,21.989793059919823,0.266,307.624,218.952,218.952,312.4051,222.2922,222.2922,
SFX_A01,5,Cecropia ficifolia,Urticaceae,289200.7971,9289370.984,0.27,,36.2,,,20111021,A,O,P01,24.67,24.67,feldpausch_regional,0.18,default,1.0,36.38,24.74,36.2,True,O,24.67,feldpausch,36.38,24.738838595069844,0.266,515.0115,363.3047,363.3047,521.4382,367.7639,367.7639,
SFX_A01,6,Socratea exorrhiza,Arecaceae,289201.7971,9289368.584,0.62,0.04549853,14.4,,,20111021,A,P,P01,13.76,13.76,feldpausch_regional,0.18,default,1.0,14.58,13.88,14.4,True,P,13.76,feldpausch,14.58,13.878699769169549,0.23,48.181,,,49.7792,,,
SFX_A01,7,Jacaratia spinosa,Caricaceae,289202.7971,9289368.184,0.27,0.011520446,11.0,7.06,6.37,20111021,A,O,P01,11.38,11.38,feldpausch_regional,0.18,default,1.0,11.18,11.51,11.0,True,O,7.06,measured,11.18,7.142543778495326,0.265,14.8488,12.055,12.055,15.5017,12.5717,12.5717,
SFX_A01,8,Neea oppositifolia,Nyctaginaceae,289203.7971,9289375.484,0.89,,11.7,,,20111021,A,O,P01,11.89,11.89,feldpausch_regional,0.18,default,1.0,11.88,12.02,11.7,True,O,11.89,feldpausch,11.879999999999999,12.019754960258267,0.893,27.8572,20.8896,20.8896,29.0055,21.7294,21.7294,
SFX_A01,9,Attalea maripa,Arecaceae,289202.7971,9289361.584,0.33,0.170173135,29.3,,,20111021,A,P,P01,21.82,21.82,feldpausch_regional,0.18,default,1.0,29.48,21.9,29.3,True,P,21.82,feldpausch,29.48,21.900156621986184,0.326,302.349,,,307.0823,,,
SFX_A01,10,Cassia fastuosa,Fabaceae,289184.7971,9289360.584,0.81,,11.6,,,20111021,A,O,P01,11.82,11.82,feldpausch_regional,0.18,default,1.0,11.78,11.95,11.6,True,O,11.82,feldpausch,11.78,11.950237270124362,0.805,27.2369,20.4351,20.4351,28.3698,21.264,21.264,
SFX_A01,11,Schizolobium amazonicum,Fabaceae,289184.7971,9289358.784,0.49,,19.2,,,20111021,A,O,P01,16.71,16.71,feldpausch_regional,0.18,default,1.0,19.38,16.82,19.2,True,O,16.71,feldpausch,19.38,16.81310174378809,0.58,102.115,74.3116,74.3116,104.6183,76.0934,76.0934,
SFX_A01,12,Castilla ulei,Moraceae,289182.7971,9289355.584,0.82,,14.8,,,20111021,A,O,P01,14.02,14.02,feldpausch_regional,0.18,default,1.0,14.98,14.14,14.8,True,O,14.02,feldpausch,14.98,14.137202209084002,0.5675,51.7652,38.2492,38.2492,53.4336,39.453,39.453,
SFX_A01,13,Sapium marmieri,Euphorbiaceae,289182.7971,9289356.584,0.41,0.464425677,27.2,30.08,19.78,20111021,A,O,P01,20.86,20.86,feldpausch_regional,0.18,default,1.0,27.38,20.94,27.2,True,O,30.08,measured,27.38,30.201387541418494,0.41,357.716,241.2285,241.2285,363.7785,245.2383,245.2383,
SFX_A01,14,Castilla ulei,Moraceae,289186.7971,9289355.584,0.82,,11.3,,,20111021,A,O,P01,11.6,11.6,feldpausch_regional,0.18,default,1.0,11.48,11.73,11.3,True,O,11.6,feldpausch,11.48,11.731613829769724,0.5675,25.4086,19.096,19.096,26.4948,19.892,19.892,
SFX_A01,15,Clarisia racemosa,Moraceae,289199.7971,9289352.584,0.59,,13.4,,,20111021,A,O,P01,13.08,13.08,feldpausch_regional,0.18,default,1.0,13.58,13.21,13.4,True,O,13.08,feldpausch,13.58,13.202485117446479,0.5854,39.8454,29.6247,29.6247,41.2706,30.6588,30.6588,
SFX_A01,16,NI,NI,289200.7971,9289349.584,0.62,,10.7,,,20111021,A,O,P01,11.15,11.15,feldpausch_regional,0.18,default,1.0,10.88,11.29,10.7,True,O,11.15,feldpausch,10.879999999999999,11.28443676148572,0.7138,21.9765,16.5767,16.5767,22.971,17.308,17.308,
SFX_A01,18,Sapium marmieri,Euphorbiaceae,289200.7971,9289346.584,0.41,,10.7,,,20111021,A,O,P01,11.15,11.15,feldpausch_regional,0.18,default,1.0,10.88,11.29,10.7,True,O,11.15,feldpausch,10.879999999999999,11.28443676148572,0.41,21.9765,16.5767,16.5767,22.971,17.308,17.308,
SFX_A01,19,Socratea exorrhiza,Arecaceae,289198.7971,9289345.584,0.62,0.054690591,15.9,22.84,18.32,20111021,A,P,P01,14.73,14.73,feldpausch_regional,0.18,default,1.0,16.08,14.84,15.9,True,P,22.84,measured,16.080000000000002,23.015783960181924,0.23,95.8684,,,98.7343,,,
SFX_A01,20,Neea oppositifolia,Nyctaginaceae,289199.7971,9289346.584,0.89,,13.0,,,20111021,A,O,P01,12.81,12.81,feldpausch_regional,0.18,default,1.0,13.18,12.93,13.0,True,O,12.81,feldpausch,13.18,12.934151333479754,0.893,36.7999,27.4108,27.4108,38.1585,28.3983,28.3983,
SFX_A01,23,Cassia fastuosa,Fabaceae,289206.1971,9289342.584,0.81,,22.7,,,20111021,A,O,P01,18.63,18.63,feldpausch_regional,0.18,default,1.0,22.88,18.72,22.7,True,O,18.63,feldpausch,22.88,18.724000768206338,0.805,157.453,113.5391,113.5391,160.6867,115.8227,115.8227,
SFX_A01,24,Zanthoxylum rhoifolium,Rutaceae,289205.7971,9289335.584,0.49,,17.6,,,20111021,A,O,P01,15.77,15.77,feldpausch_regional,0.18,default,1.0,17.78,15.88,17.6,True,O,15.77,feldpausch,17.78,15.87782090870245,0.5692,81.4301,59.554,59.554,83.6179,61.1181,61.1181,
