site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
HUM_A01,85,Apuleia leiocarpa,Fabaceae,646703.7451,8921424.554,65.0,44.76,28.53,20140701,False,O,1,33.09,33.09,feldpausch_regional,0.18,default,-1.0,64.82,33.05,65.0,False,O,44.76,measured,64.82,44.705999522000106,0.7992,2887.595,2887.595,3820.1368,2868.6247,2868.6247,3795.0402,
HUM_A01,86,Chimarrhis turbinata,Rubiaceae,646683.4333,8921449.855,52.0,24.21,18.22,20140701,False,O,1,29.85,29.85,feldpausch_regional,0.18,default,-1.0,51.82,29.8,52.0,False,O,24.21,measured,51.82,24.16905321499404,0.72,1025.3642,1025.3642,1225.0647,1016.7661,1016.7661,1214.792,
HUM_A01,87,Helicostylis sp.,Moraceae,646693.9587,8921461.861,70.0,34.29,20.5,20140701,False,O,1,34.15,34.15,feldpausch_regional,0.18,default,-1.0,69.82,34.12,70.0,False,O,34.29,measured,69.82,34.25323028342098,0.643,2572.8563,2572.8563,2752.6679,2557.2786,2557.2786,2736.0015,
HUM_A01,89,Parkia sp.,Fabaceae,646722.0013,8921458.418,44.5,34.94,26.63,20140701,False,O,1,27.59,27.59,feldpausch_regional,0.18,default,-1.0,44.32,27.54,44.5,False,O,34.94,measured,44.32,34.866158284555624,0.4553,1082.2873,1082.2873,826.7743,1071.5435,1071.5435,818.5669,
HUM_A01,90,Vitex triflora,Lamiaceae,646729.1049,8921458.094,42.5,32.27,15.64,20140701,False,O,1,26.93,26.93,feldpausch_regional,0.18,default,-1.0,42.32,26.87,42.5,False,O,32.27,measured,42.32,32.19729333021273,0.5482,915.5112,915.5112,838.324,905.961,905.961,829.5789,
HUM_A01,91,Tachigali alba,Fabaceae,646720.1937,8921470.086,56.4,35.36,24.14,20140701,False,O,1,31.04,31.04,feldpausch_regional,0.18,default,-1.0,56.22,30.99,56.4,False,O,35.36,measured,56.22,35.306969530473694,0.5573,1739.0235,1739.0235,1618.222,1725.6766,1725.6766,1605.8022,
HUM_A01,92,Ambelania acida,Apocynaceae,646721.2407,8921466.249,48.0,34.64,24.92,20140701,False,O,1,28.69,28.69,feldpausch_regional,0.18,default,-1.0,47.82,28.63,48.0,False,O,34.64,measured,47.82,34.57422693356583,0.5247,1244.1467,1244.1467,1091.446,1232.767,1232.767,1081.4629,
HUM_A01,93,,,646720.3129,8921455.943,67.0,32.89,26.11,20140701,False,O,1,33.53,33.53,feldpausch_regional,0.18,default,-1.0,66.82,33.49,67.0,False,O,32.89,measured,66.82,32.85217304286034,0.5862,2267.8433,2267.8433,2216.9692,2253.4332,2253.4332,2202.8823,
HUM_A01,110,Hymenaea courbaril,Fabaceae,646704.162,8921459.027,75.0,39.5,25.29,20140701,False,O,1,35.13,35.13,feldpausch_regional,0.18,default,-1.0,74.82,35.09,75.0,False,O,39.5,measured,74.82,39.4621539146562,0.7924,3379.5513,3379.5513,4433.2934,3360.5913,3360.5913,4408.4216,
HUM_A01,77,Apuleia leiocarpa,Fabaceae,646603.3152,8921261.406,37.0,36.83,23.7,20140701,False,O,2,24.98,24.98,feldpausch_regional,0.18,default,-1.0,36.82,24.91,37.0,False,O,36.83,measured,36.82,36.729803427455735,0.7992,794.7002,794.7002,1051.3467,785.0809,785.0809,1038.6208,
HUM_A01,78,,,646605.2756,8921268.598,59.5,2.83,,20140701,True,O,2,31.81,31.81,feldpausch_regional,0.18,default,-1.0,59.32,31.77,59.5,True,O,2.83,measured,59.32,2.826085457884969,0.5862,164.1577,166.9762,166.9762,162.9694,165.7797,165.7797,
HUM_A01,94,Dialium guianense,Fabaceae,646598.4953,8921261.744,38.6,29.31,18.32,20140701,False,O,2,25.57,25.57,feldpausch_regional,0.18,default,-1.0,38.42,25.5,38.6,False,O,29.31,measured,38.42,29.234674155435833,0.8964,690.6954,690.6954,1021.9872,682.7054,682.7054,1010.1649,
HUM_A01,95,Ormosia coccinea,Fabaceae,646596.5035,8921257.172,20.8,17.76,10.64,20140701,False,O,2,17.61,17.61,feldpausch_regional,0.18,default,-1.0,20.62,17.51,20.8,False,O,17.76,measured,20.62,17.659927258848985,0.625,126.7,126.7,131.8499,123.8835,123.8835,128.9189,
HUM_A01,96,Ceiba pentandra,Malvaceae,646596.7151,8921254.787,27.3,21.13,15.53,20140701,False,O,2,20.91,20.91,feldpausch_regional,0.18,default,-1.0,27.12,20.82,27.3,False,O,21.13,measured,27.12,21.044759683639114,0.3052,255.242,255.242,131.9617,250.9751,250.9751,129.7557,
HUM_A01,97,Couratari stellata,Lecythidaceae,646595.0121,8921255.973,33.3,32.82,23.27,20140701,False,O,2,23.53,23.53,feldpausch_regional,0.18,default,-1.0,33.12,23.45,33.3,False,O,32.82,measured,33.12,32.717362951165136,0.6331,578.1268,578.1268,609.2747,570.2964,570.2964,601.0224,
HUM_A01,98,Casearia grandiflora,Salicaceae,646577.5554,8921268.131,39.0,27.21,26.35,20140701,False,O,2,25.71,25.71,feldpausch_regional,0.18,default,-1.0,38.82,25.65,39.0,False,O,27.21,measured,38.82,27.14103974370811,0.77,655.4112,655.4112,836.0903,647.9128,647.9128,826.5247,
