site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
SAN_A02,20,Attalea maripa,Arecaceae,738339.1664,9636863.106,60.0,12.71,2.6,False,P,2,31.94,31.94,feldpausch_regional,0.18,default,0.0,60.0,31.94,60.0,False,P,12.71,measured,60.0,12.71,0.326,722.8663,1457.0343,1457.0343,722.8663,1457.0343,1457.0343,
SAN_A02,21,Attalea maripa,Arecaceae,738338.6726,9636872.619,55.8,14.44,2.6,False,P,2,30.88,30.88,feldpausch_regional,0.18,default,0.0,55.8,30.88,55.8,False,P,14.44,measured,55.8,14.44,0.326,710.6049,1193.5798,1193.5798,710.6049,1193.5798,1193.5798,
SAN_A02,22,Attalea maripa,Arecaceae,738339.7821,9636872.445,21.2,14.38,6.5,False,P,2,17.83,17.83,feldpausch_regional,0.18,default,0.0,21.2,17.83,21.2,False,P,14.38,measured,21.2,14.38,0.326,107.0141,83.5114,83.5114,107.0141,83.5114,83.5114,
SAN_A02,23,Guatteria schomburgkiana,Annonaceae,738339.8745,9636872.431,22.9,12.57,6.5,False,O,2,18.73,18.73,feldpausch_regional,0.18,default,0.0,22.9,18.73,22.9,False,O,12.57,measured,22.9,12.57,0.6,109.0965,109.0965,109.0965,109.0965,109.0965,109.0965,
SAN_A02,24,,,738338.8373,9636878.355,15.2,4.19,,True,O,2,14.28,14.28,feldpausch_regional,0.18,default,0.0,15.2,14.28,15.2,True,O,4.19,measured,15.2,4.19,0.4713,16.7765,15.0217,15.0217,16.7765,15.0217,15.0217,
SAN_A02,25,Guatteria schomburgkiana,Annonaceae,738338.9022,9636882.12,22.9,13.37,6.85,False,O,2,18.73,18.73,feldpausch_regional,0.18,default,0.0,22.9,18.73,22.9,False,O,13.37,measured,22.9,13.37,0.6,115.8681,115.8681,115.8681,115.8681,115.8681,115.8681,
SAN_A02,26,Guatteria schomburgkiana,Annonaceae,738338.9956,9636882.105,13.8,12.09,6.54,False,O,2,13.36,13.36,feldpausch_regional,0.18,default,0.0,13.8,13.36,13.8,False,O,12.09,measured,13.8,12.09,0.6,39.0798,39.0798,39.0798,39.0798,39.0798,39.0798,
SAN_A02,27,Inga marginata,Fabaceae,738343.9271,9636896.827,18.9,9.74,3.84,False,O,2,16.54,16.54,feldpausch_regional,0.18,default,0.0,18.9,16.54,18.9,False,O,9.74,measured,18.9,9.74,0.5518,58.472,58.472,53.8829,58.472,58.472,53.8829,
SAN_A02,28,Inga marginata,Fabaceae,738344.0505,9636897.006,14.2,8.58,3.65,False,O,2,13.62,13.62,feldpausch_regional,0.18,default,0.0,14.2,13.62,14.2,False,O,8.58,measured,14.2,8.58,0.5518,29.5673,29.5673,27.2467,29.5673,29.5673,27.2467,
SAN_A02,29,Inga marginata,Fabaceae,738343.946,9636897.619,11.6,11.63,5.43,False,O,2,11.82,11.82,feldpausch_regional,0.18,default,0.0,11.6,11.82,11.6,False,O,11.63,measured,11.6,11.63,0.5518,26.8095,26.8095,24.7054,26.8095,26.8095,24.7054,
