tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
21,Nectandra cuspidata,Lauraceae,799290.4622,9725906.255,14.0,False,O,1,13.49,13.49,feldpausch_regional,0.18,default,-2.0,13.64,13.25,14.0,False,O,13.49,feldpausch,13.64,13.247551872280896,0.518,44.7295,44.7295,38.7529,41.766,41.766,36.1854,
22,Xylopia nitida,Annonaceae,799290.4296,9725909.205,11.0,False,O,1,11.38,11.38,feldpausch_regional,0.18,default,-2.0,10.64,11.11,11.0,False,O,11.38,feldpausch,10.64,11.111266572550116,0.5483,23.6621,23.6621,21.6714,21.6629,21.6629,19.8403,
23,Xylopia amazonica,Annonaceae,799295.9653,9725909.954,18.0,False,O,1,16.01,16.01,feldpausch_regional,0.18,default,-2.0,17.64,15.8,18.0,False,O,16.01,feldpausch,17.64,15.795139296795606,0.787,86.3453,86.3453,112.5212,81.919,81.919,106.7531,
24,Inga sp.,Fabaceae,799298.9521,9725910.578,16.5,False,O,1,15.1,15.1,feldpausch_regional,0.18,default,-2.0,16.14,14.88,16.5,False,O,15.1,feldpausch,16.14,14.875566975989804,0.5786,68.8131,68.8131,66.4121,64.9565,64.9565,62.6901,
25,Inga alba,Fabaceae,799293.1773,9725914.479,37.6,False,O,1,25.2,25.2,feldpausch_regional,0.18,default,-2.0,37.24,25.07,37.6,False,O,25.2,feldpausch,37.24,25.06555744455696,0.5861,566.2318,566.2318,553.4356,552.8039,552.8039,540.3111,
26,Xylopia nitida,Annonaceae,799298.1719,9725915.023,16.6,False,O,1,15.16,15.16,feldpausch_regional,0.18,default,-2.0,16.24,14.94,16.6,False,O,15.16,feldpausch,16.240000000000002,14.936259251144145,0.5483,69.8995,69.8995,64.0186,66.0062,66.0062,60.4528,
27,Euterpe oleracea,Arecaceae,799298.8907,9725916.713,10.7,False,P,1,11.15,11.15,feldpausch_regional,0.18,default,-2.0,10.34,10.88,10.7,False,P,11.15,feldpausch,10.34,10.878429139290521,0.3877,21.9765,12.7536,12.7536,20.0675,11.6087,11.6087,
28,Xylopia amazonica,Annonaceae,799295.7866,9725917.078,12.2,False,O,1,12.25,12.25,feldpausch_regional,0.18,default,-2.0,11.84,11.99,12.2,False,O,12.25,feldpausch,11.84,11.992521947516652,0.787,31.1212,31.1212,40.5557,28.7515,28.7515,37.4676,
29,Hevea brasiliensis,Euphorbiaceae,799295.7698,9725917.177,21.0,False,O,1,17.72,17.72,feldpausch_regional,0.18,default,-2.0,20.64,17.52,21.0,False,O,17.72,feldpausch,20.64,17.522119502180754,0.4666,128.8052,128.8052,100.7791,123.1727,123.1727,96.3722,
30,Xylopia amazonica,Annonaceae,799294.8106,9725916.871,13.4,False,O,1,13.08,13.08,feldpausch_regional,0.18,default,-2.0,13.04,12.84,13.4,False,O,13.08,feldpausch,13.040000000000001,12.832850878590625,0.787,39.8454,39.8454,51.9247,37.0857,37.0857,48.3283,
31,Xylopia amazonica,Annonaceae,799294.713,9725916.85,26.5,False,O,1,20.53,20.53,feldpausch_regional,0.18,default,-2.0,26.14,20.36,26.5,False,O,20.53,feldpausch,26.14,20.35769318792778,0.787,234.1684,234.1684,305.1574,226.1311,226.1311,294.6836,
32,Strychnos subcordata,Loganiaceae,799294.6154,9725916.829,14.0,False,O,1,13.49,13.49,feldpausch_regional,0.18,default,-2.0,13.64,13.25,14.0,False,O,13.49,feldpausch,13.64,13.247551872280896,0.6959,44.7295,44.7295,51.6979,41.766,41.766,48.2727,
33,Xylopia nitida,Annonaceae,799292.5399,9725918.432,20.4,False,O,1,17.39,17.39,feldpausch_regional,0.18,default,-2.0,20.04,17.19,20.4,False,O,17.39,feldpausch,20.04,17.188913960417164,0.5483,119.5064,119.5064,109.4519,114.1215,114.1215,104.52,
34,Xylopia nitida,Annonaceae,799293.4293,9725919.134,23.1,False,O,1,18.84,18.84,feldpausch_regional,0.18,default,-2.0,22.74,18.65,23.1,False,O,18.84,feldpausch,22.740000000000002,18.652602367939707,0.5483,164.7063,164.7063,150.8489,158.1821,158.1821,144.8736,
35,Guatteria schomburgkiana,Annonaceae,799293.5866,9725921.214,11.8,False,O,1,11.96,11.96,feldpausch_regional,0.18,default,-2.0,11.44,11.7,11.8,False,O,11.96,feldpausch,11.440000000000001,11.698981982587213,0.6,28.4866,28.4866,28.4866,26.2434,26.2434,26.2434,
36,Vismia guianensis,Hypericaceae,799288.157,9725939.771,10.8,False,O,1,11.23,11.23,feldpausch_regional,0.18,default,-2.0,10.44,10.96,10.8,False,O,11.23,feldpausch,10.440000000000001,10.95930894767477,0.475,22.5359,22.5359,17.9412,20.5965,20.5965,16.3972,
37,Euterpe oleracea,Arecaceae,799289.9755,9725940.183,11.0,False,P,1,11.38,11.38,feldpausch_regional,0.18,default,-2.0,10.64,11.11,11.0,False,P,11.38,feldpausch,10.64,11.111266572550116,0.3877,23.6621,13.7606,13.7606,21.6629,12.558,12.558,
38,Vismia guianensis,Hypericaceae,799290.4295,9725937.416,12.0,False,O,1,12.11,12.11,feldpausch_regional,0.18,default,-2.0,11.64,11.85,12.0,False,O,12.11,feldpausch,11.64,11.85066919732659,0.475,29.7969,29.7969,23.7218,27.49,27.49,21.8852,
39,Xylopia amazonica,Annonaceae,799305.621,9725938.245,18.8,False,O,1,16.48,16.48,feldpausch_regional,0.18,default,-2.0,18.44,16.27,18.8,False,O,16.48,feldpausch,18.44,16.269924771303348,0.787,96.6868,96.6868,125.9977,91.9472,91.9472,119.8213,
40,Cordia goeldiana,Boraginaceae,799307.7244,9725937.473,18.8,False,O,1,16.48,16.48,feldpausch_regional,0.18,default,-2.0,18.44,16.27,18.8,False,O,16.48,feldpausch,18.44,16.269924771303348,0.498,96.6868,96.6868,80.6097,91.9472,91.9472,76.6582,
41,Inga alba,Fabaceae,799306.7969,9725937.267,11.2,False,O,1,11.53,11.53,feldpausch_regional,0.18,default,-2.0,10.84,11.26,11.2,False,O,11.53,feldpausch,10.84,11.263166132148207,0.5861,24.8245,24.8245,24.2634,22.7645,22.7645,22.2501,
42,Zanthoxylum rhoifolium,Rutaceae,799306.1799,9725935.58,15.8,False,O,1,14.66,14.66,feldpausch_regional,0.18,default,-2.0,15.44,14.43,15.8,False,O,14.66,feldpausch,15.440000000000001,14.43082832275704,0.5692,61.4308,61.4308,58.3561,57.832,57.832,54.9375,
43,Strychnos subcordata,Loganiaceae,799307.9088,9725932.035,16.0,False,O,1,14.79,14.79,feldpausch_regional,0.18,default,-2.0,15.64,14.56,16.0,False,O,14.79,feldpausch,15.64,14.562150985682587,0.6959,63.5026,63.5026,73.3957,59.83,59.83,69.1509,
44,Guatteria schomburgkiana,Annonaceae,799307.9717,9725931.739,11.6,False,O,1,11.82,11.82,feldpausch_regional,0.18,default,-2.0,11.24,11.56,11.6,False,O,11.82,feldpausch,11.24,11.557025370127894,0.6,27.2369,27.2369,27.2369,25.055,25.055,25.055,
45,Xylopia amazonica,Annonaceae,799308.1604,9725931.781,12.3,False,O,1,12.32,12.32,feldpausch_regional,0.18,default,-2.0,11.94,12.06,12.3,False,O,12.32,feldpausch,11.940000000000001,12.063429349784986,0.787,31.7974,31.7974,41.4369,29.396,29.396,38.3075,
46,Xylopia nitida,Annonaceae,799306.0649,9725931.425,17.8,False,O,1,15.89,15.89,feldpausch_regional,0.18,default,-2.0,17.44,15.68,17.8,False,O,15.89,feldpausch,17.44,15.673921658561875,0.5483,83.8644,83.8644,76.8085,79.5157,79.5157,72.8257,
47,,,799306.0853,9725931.326,21.0,True,O,1,17.72,17.72,feldpausch_regional,0.18,default,-2.0,20.64,17.52,21.0,True,O,17.72,feldpausch,20.64,17.522119502180754,0.5847,128.8052,93.2699,93.2699,123.1727,89.2756,89.2756,
48,Xylopia amazonica,Annonaceae,799307.2769,9725930.348,26.1,False,O,1,20.34,20.34,feldpausch_regional,0.18,default,-2.0,25.74,20.16,26.1,False,O,20.34,feldpausch,25.740000000000002,20.16601145734849,0.787,225.2649,225.2649,293.5548,217.4091,217.4091,283.3175,
49,Guatteria schomburgkiana,Annonaceae,799306.9064,9725929.751,22.1,False,O,1,18.31,18.31,feldpausch_regional,0.18,default,-2.0,21.74,18.12,22.1,False,O,18.31,feldpausch,21.740000000000002,18.117780288134792,0.6,146.9259,146.9259,146.9259,140.8321,140.8321,140.8321,
50,Guatteria schomburgkiana,Annonaceae,799306.4914,9725924.505,22.1,False,O,1,18.31,18.31,feldpausch_regional,0.18,default,-2.0,21.74,18.12,22.1,False,O,18.31,feldpausch,21.740000000000002,18.117780288134792,0.6,146.9259,146.9259,146.9259,140.8321,140.8321,140.8321,
51,Xylopia amazonica,Annonaceae,799304.3717,9725925.078,24.9,False,O,1,19.75,19.75,feldpausch_regional,0.18,default,-2.0,24.54,19.57,24.9,False,O,19.75,feldpausch,24.54,19.570877888370134,0.787,199.6711,199.6711,260.2022,192.3568,192.3568,250.6705,
