site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,dbh,dead,type,plot_id,htot_feldpausch,dbh_used,dead_used,type_used,htot_used,htot_source,iagc_m1_kgC,iagc_m2_kgC,rho_w_m3,iagc_m3_kgC
JAM_A02,23,Tetragastris panamensis,Burseraceae,498857.8318,8990755.646,0.73,36.7,A,O,0,24.86,36.7,True,O,24.86,feldpausch,532.9641,375.7608,0.7173,375.7608
JAM_A02,24,,,498850.9097,8990755.061,,70.0,D,O,0,34.15,70.0,False,O,34.15,feldpausch,2562.6034,2562.6034,0.6306,2690.0112
JAM_A02,25,NI,NI,498869.9545,8990767.852,0.64,43.5,A,O,0,27.27,43.5,True,O,27.27,feldpausch,812.8687,569.4144,0.6306,569.4144
JAM_A02,26,,,498858.8421,8990770.496,,36.2,D,O,0,24.67,36.2,False,O,24.67,feldpausch,515.0115,515.0115,0.6306,540.6169
JAM_A02,27,Helicostylis sp.,Moraceae,498867.6413,8990787.867,0.65,46.3,A,O,0,28.17,46.3,True,O,28.17,feldpausch,947.691,662.4408,0.643,662.4408
JAM_A02,28,,,498865.5133,8990789.981,,54.6,D,O,0,30.56,54.6,False,O,30.56,feldpausch,1415.6973,1415.6973,0.6306,1486.0831
JAM_A02,29,Pouteria gongrijpii,Sapotaceae,498861.9925,8990798.141,0.8,57.8,A,O,0,31.39,57.8,True,O,31.39,feldpausch,1624.0977,1127.9515,0.7994,1127.9515
JAM_A02,30,Eschweilera grandifolia,Lecythidaceae,498852.2729,8990794.739,0.88,70.4,A,O,0,34.23,70.4,True,O,34.23,feldpausch,2597.1896,1796.1791,0.8314,1796.1791
JAM_A02,31,Helicostylis sp.,Moraceae,498856.3196,8990778.597,0.65,40.5,A,O,0,26.25,40.5,True,O,26.25,feldpausch,681.2133,478.4288,0.643,478.4288
JAM_A02,32,,,498854.3801,8990645.819,,51.6,D,O,0,29.74,51.6,False,O,29.74,feldpausch,1234.6211,1234.6211,0.6306,1296.0041
JAM_A02,33,NI,NI,498857.369,8990646.076,0.64,50.7,A,O,0,29.48,50.7,True,O,29.48,feldpausch,1182.7557,824.4207,0.6306,824.4207
JAM_A02,36a,Copaifera reticulata,Fabaceae,498865.37,8990645.763,0.61,58.2,A,O,0,31.49,58.2,True,O,31.49,feldpausch,1651.2273,1146.5967,0.6075,1146.5967
JAM_A02,34,Helicostylis sp.,Moraceae,498882.9887,8990641.268,0.65,11.2,A,O,0,11.53,11.2,True,O,11.53,feldpausch,24.8245,18.6669,0.643,18.6669
JAM_A02,35,Manilkara huberi,Sapotaceae,498879.685,8990634.971,0.93,34.0,A,O,0,23.81,34.0,True,O,23.81,feldpausch,440.1743,311.3196,0.9214,311.3196
JAM_A02,36,NI,NI,498880.8157,8990630.658,0.64,12.2,A,O,0,12.25,12.2,True,O,12.25,feldpausch,31.1212,23.2742,0.6306,23.2742
JAM_A02,37,Theobroma glaucum,Malvaceae,498884.1952,8990627.943,0.53,10.4,A,O,0,10.93,10.4,True,O,10.93,feldpausch,20.3893,15.407,0.5297,15.407
JAM_A02,38,Sacoglottis guianensis,Humiriaceae,498880.9562,8990626.061,0.84,12.2,A,O,0,12.25,12.2,True,O,12.25,feldpausch,31.1212,23.2742,0.8359,23.2742
JAM_A02,39,Couepia racemosa,Chrysobalanaceae,498882.145,8990619.849,0.79,20.5,A,O,0,17.45,20.5,True,O,17.45,feldpausch,121.0589,87.772,0.7861,87.772
JAM_A02,40,Tetragastris altissima,Burseraceae,498879.3486,8990613.295,0.71,49.5,A,O,0,29.14,49.5,True,O,29.14,feldpausch,1116.0196,778.4349,0.7079,778.4349
JAM_A02,41,Fusaea longifolia,Annonaceae,498880.9768,8990602.511,0.74,21.0,A,O,0,17.72,21.0,True,O,17.72,feldpausch,128.8052,93.2699,0.7427,93.2699
JAM_A02,42,Tachigali myrmecophila,Fabaceae,498881.0531,8990600.013,0.53,29.8,A,O,0,22.04,29.8,True,O,22.04,feldpausch,315.577,224.5118,0.476,224.5118
JAM_A02,43,NI,NI,498883.7584,8990599.745,0.64,30.0,A,O,0,22.13,30.0,True,O,22.13,feldpausch,320.9987,228.2952,0.6306,228.2952
JAM_A02,44,Aspidosperma spruceanum,Apocynaceae,498877.6737,8990602.728,0.75,62.9,A,O,0,32.62,62.9,True,O,32.62,feldpausch,1988.7816,1378.4488,0.7533,1378.4488
JAM_A02,45,Symphonia globulifera,Clusiaceae,498868.2181,8990617.948,0.6,48.2,A,O,0,28.75,48.2,True,O,28.75,feldpausch,1045.6806,729.994,0.6004,729.994
JAM_A02,39a,Minquartia guianensis,Olacaceae,498861.0759,8990622.845,0.77,38.0,A,O,0,25.35,38.0,True,O,25.35,feldpausch,581.4077,409.3367,0.7867,409.3367
JAM_A02,46,Vochysia guianensis,Vochysiaceae,498858.255,8990617.09,0.51,42.6,A,O,0,26.97,42.6,True,O,26.97,feldpausch,771.9835,541.1769,0.5087,541.1769
JAM_A02,47,Tachigali alba,Fabaceae,498847.5705,8990607.15,0.56,44.3,A,O,0,27.53,44.3,True,O,27.53,feldpausch,850.1423,595.1527,0.5573,595.1527
JAM_A02,49,NI,NI,498855.6021,8990605.837,0.64,43.3,A,O,0,27.2,43.3,True,O,27.2,feldpausch,803.5711,563.0055,0.6306,563.0055
JAM_A02,51,Castilla ulei,Moraceae,498863.6031,8990605.524,0.75,54.4,A,O,0,30.51,54.4,True,O,30.51,feldpausch,1403.3479,976.1824,0.5675,976.1824
JAM_A02,52,Eschweilera parviflora,Lecythidaceae,498884.9098,8990492.947,0.89,12.3,A,O,0,12.32,12.3,True,O,12.32,feldpausch,31.7974,23.7678,0.918,23.7678
JAM_A02,53,Maquira sclerophylla,Moraceae,498884.5193,8990488.219,0.53,12.3,A,O,0,12.32,12.3,True,O,12.32,feldpausch,31.7974,23.7678,0.5135,23.7678
JAM_A02,54,Tachigali myrmecophila,Fabaceae,498883.241,8990488.255,0.53,44.2,A,O,0,27.5,44.2,True,O,27.5,feldpausch,845.5001,591.9406,0.476,591.9406
JAM_A02,56,Terminalia amazonia,Combretaceae,498885.1098,8990487.211,0.68,17.9,A,O,0,15.95,17.9,True,O,15.95,feldpausch,85.099,62.1761,0.6735,62.1761
JAM_A02,57,Vochysia guianensis,Vochysiaceae,498884.5215,8990484.519,0.51,18.2,A,O,0,16.13,18.2,True,O,16.13,feldpausch,88.8733,64.8705,0.5087,64.8705
JAM_A02,58,Tapirira guianensis,Anacardiaceae,498882.0637,8990483.773,0.46,35.8,A,O,0,24.52,35.8,True,O,24.52,feldpausch,500.9707,353.552,0.457,353.552
JAM_A02,59,Attalea speciosa,Arecaceae,498881.0802,8990484.155,0.33,19.9,A,P,0,17.11,19.9,True,P,17.11,feldpausch,112.066,,0.326,
JAM_A02,60,Tetragastris panamensis,Burseraceae,498885.7024,8990482.802,0.73,19.7,A,O,0,17.0,19.7,True,O,17.0,feldpausch,109.1885,79.3413,0.7173,79.3413
JAM_A02,61,Helicostylis sp.,Moraceae,498885.5059,8990482.638,0.65,40.6,A,O,0,26.28,40.6,True,O,26.28,feldpausch,685.2639,481.2437,0.643,481.2437
JAM_A02,64,Attalea speciosa,Arecaceae,498884.1409,8990463.092,0.33,29.4,A,P,0,21.86,29.4,True,P,21.86,feldpausch,304.9111,,0.326,
