site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
FNA_A01,20,,,715696.9555,8617128.618,0.58,0.088543873,22.6,7.02,,20131019,D,O,T01,18.58,18.58,feldpausch_regional,0.18,default,0.0,22.6,18.58,22.6,False,O,7.02,measured,22.6,7.02,0.8064,60.2151,60.2151,80.3614,60.2151,60.2151,80.3614,T01_1
FNA_A01,21,Mabea angularis,Euphorbiaceae,715693.8355,8617123.049,0.615698006,0.005754093,5.4,6.3,1.78,20131019,A,O,T01,6.71,6.71,feldpausch_regional,0.18,default,0.0,5.4,6.71,5.4,True,O,6.3,measured,5.4,6.3,0.6157,3.3132,2.6467,2.6467,3.3132,2.6467,2.6467,T01_1
FNA_A01,22,Mabea angularis,Euphorbiaceae,715693.5188,8617112.868,0.615698006,0.391266885,52.5,4.53,,20131019,A,O,T01,29.99,29.99,feldpausch_regional,0.18,default,0.0,52.5,29.99,52.5,True,O,4.53,measured,52.5,4.53,0.6157,203.4996,191.0145,191.0145,203.4996,191.0145,191.0145,T01_1
FNA_A01,23,Mabea angularis,Euphorbiaceae,715692.1853,8617126.834,0.615698006,0.012446016,7.2,7.66,,20131019,A,O,T01,8.34,8.34,feldpausch_regional,0.18,default,0.0,7.2,8.34,7.2,True,O,7.66,measured,7.2,7.66,0.6157,7.0304,5.5211,5.5211,7.0304,5.5211,5.5211,T01_1
FNA_A01,24,Mabea angularis,Euphorbiaceae,715690.8666,8617128.647,0.615698006,0.225464874,27.7,9.38,,20131019,A,O,T01,21.09,21.09,feldpausch_regional,0.18,default,0.0,27.7,21.09,27.7,True,O,9.38,measured,27.7,9.38,0.6157,118.8642,96.4453,96.4453,118.8642,96.4453,96.4453,T01_1
FNA_A01,25,Mabea angularis,Euphorbiaceae,715711.4317,8617132.984,0.615698006,0.010805015,8.1,5.25,,20131019,A,O,T01,9.1,9.1,feldpausch_regional,0.18,default,0.0,8.1,9.1,8.1,True,O,5.25,measured,8.1,5.25,0.6157,6.1193,5.13,5.13,6.1193,5.13,5.13,T01_1
FNA_A01,26,Mabea angularis,Euphorbiaceae,715691.1907,8617132.751,0.615698006,0.026970955,15.5,3.58,,20131019,A,O,T01,14.47,14.47,feldpausch_regional,0.18,default,0.0,15.5,14.47,15.5,True,O,3.58,measured,15.5,3.58,0.6157,14.9478,13.7341,13.7341,14.9478,13.7341,13.7341,T01_1
FNA_A01,27,,,715688.7043,8617147.543,0.58,0.113012135,23.8,8.34,,20131019,D,O,T01,19.2,19.2,feldpausch_regional,0.18,default,0.0,23.8,19.2,23.8,False,O,8.34,measured,23.8,8.34,0.8064,78.8128,78.8128,105.1814,78.8128,78.8128,105.1814,T01_1
FNA_A01,28,,,715688.5459,8617142.453,0.45,0.05140671,22.8,4.82,,20131019,D,O,T01,18.68,18.68,feldpausch_regional,0.18,default,0.0,22.8,18.68,22.8,False,O,4.82,measured,22.8,4.82,0.8064,42.4427,42.4427,56.6429,42.4427,42.4427,56.6429,T01_1
FNA_A01,29,,,715706.6468,8617143.353,0.58,0.1770212,31.2,7.45,,20131019,D,O,T01,22.65,22.65,feldpausch_regional,0.18,default,0.0,31.2,22.65,31.2,False,O,7.45,measured,31.2,7.45,0.8064,119.7499,119.7499,159.8148,119.7499,119.7499,159.8148,T01_1
FNA_A01,30,,,715673.7456,8617133.983,0.58,0.216848136,27.7,12.76,,20131019,D,O,T01,21.09,21.09,feldpausch_regional,0.18,default,0.0,27.7,21.09,27.7,False,O,12.76,measured,27.7,12.76,0.8064,160.5061,160.5061,214.2069,160.5061,160.5061,214.2069,T01_1
FNA_A01,31,,,715674.5295,8617111.824,0.58,0.044560926,19.5,4.35,,20131019,D,O,T01,16.88,16.88,feldpausch_regional,0.18,default,0.0,19.5,16.88,19.5,False,O,4.35,measured,19.5,4.35,0.8064,28.2992,28.2992,37.7673,28.2992,28.2992,37.7673,T01_1
FNA_A01,32,,,715695.5005,8617107.111,0.7,0.037200583,12.5,8.22,,20131019,D,O,T01,12.46,12.46,feldpausch_regional,0.18,default,0.0,12.5,12.46,12.5,False,O,8.22,measured,12.5,8.22,0.8064,22.1077,22.1077,29.5043,22.1077,22.1077,29.5043,T01_1
FNA_A01,33,,,715692.0884,8617260.287,0.7,0.642870042,44.5,12.02,,20131019,D,O,T01,27.59,27.59,feldpausch_regional,0.18,default,0.0,44.5,27.59,44.5,False,O,12.02,measured,44.5,12.02,0.8064,381.9849,381.9849,509.7863,381.9849,381.9849,509.7863,T01_2
FNA_A01,34,Cordia scabrifolia,Boraginaceae,715691.6182,8617263.25,0.474,0.004823493,7.5,3.55,2.82,20131019,A,O,T01,8.6,8.6,feldpausch_regional,0.18,default,0.0,7.5,8.6,7.5,True,O,3.55,measured,7.5,3.55,0.474,3.5942,3.1935,3.1935,3.5942,3.1935,3.1935,T01_2
FNA_A01,35,,,715696.7171,8617263.02,0.7,0.024099109,11.4,6.06,,20131019,D,O,T01,11.67,11.67,feldpausch_regional,0.18,default,0.0,11.4,11.67,11.4,False,O,6.06,measured,11.4,6.06,0.8064,13.7162,13.7162,18.3052,13.7162,13.7162,18.3052,T01_2
FNA_A01,36,Esenbeckia febrifuga,Rutaceae,715690.4731,8617264.086,0.64,0.012848233,6.8,8.53,5.76,20131019,A,O,T01,7.99,7.99,feldpausch_regional,0.18,default,0.0,6.8,7.99,6.8,True,O,8.53,measured,6.8,8.53,1.0485,6.9843,5.3777,5.3777,6.9843,5.3777,5.3777,T01_2
FNA_A01,37,,,715697.0787,8617267.123,0.7,0.014512016,9.0,5.81,4.49,20131019,D,O,T01,9.84,9.84,feldpausch_regional,0.18,default,0.0,9.0,9.84,9.0,False,O,5.81,measured,9.0,5.81,0.8064,8.2981,8.2981,11.0744,8.2981,8.2981,11.0744,T01_2
FNA_A01,38,Esenbeckia febrifuga,Rutaceae,715693.9567,8617267.655,0.64,0.005117802,5.5,5.19,,20131019,A,O,T01,6.81,6.81,feldpausch_regional,0.18,default,0.0,5.5,6.81,5.5,True,O,5.19,measured,5.5,5.19,1.0485,2.8422,2.3431,2.3431,2.8422,2.3431,2.3431,T01_2
FNA_A01,39,,,715689.1107,8617279.052,0.45,0.006162352,7.5,5.46,,20131019,D,O,T01,8.6,8.6,feldpausch_regional,0.18,default,0.0,7.5,8.6,7.5,False,O,5.46,measured,7.5,5.46,0.8064,5.4712,5.4712,7.3017,5.4712,5.4712,7.3017,T01_2
FNA_A01,40,Esenbeckia febrifuga,Rutaceae,715685.8195,8617299.793,0.64,0.007669233,5.7,7.25,5.51,20131019,A,O,T01,6.99,6.99,feldpausch_regional,0.18,default,0.0,5.7,6.99,5.7,True,O,7.25,measured,5.7,7.25,1.0485,4.223,3.308,3.308,4.223,3.308,3.308,T01_2
FNA_A01,41,Esenbeckia febrifuga,Rutaceae,715687.2781,8617296.981,0.64,0.005893315,5.4,6.2,4.85,20131019,A,O,T01,6.71,6.71,feldpausch_regional,0.18,default,0.0,5.4,6.71,5.4,True,O,6.2,measured,5.4,6.2,1.0485,3.2619,2.6123,2.6123,3.2619,2.6123,2.6123,T01_2
FNA_A01,42,Esenbeckia febrifuga,Rutaceae,715686.7599,8617293.867,0.64,0.013164048,7.6,7.0,4.76,20131019,A,O,T01,8.68,8.68,feldpausch_regional,0.18,default,0.0,7.6,8.68,7.6,True,O,7.0,measured,7.6,7.0,1.0485,7.1552,5.7145,5.7145,7.1552,5.7145,5.7145,T01_2
