site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2010,dead_2010,hcom_2009,htot_2010,date_2010,dbh_2011,dead_2011,hcom_2011,htot_2011,date_2011,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
TAP_A01,2201,,,725722.3,9666889.1,O,12.5,A,15.31,17.4,20100116-20100213,13.5,A,15.14,20.76,20110704-20110711,499.998497362,13.15,17.4,measured,1.0,observed,-2.0,11.5,15.55,12.5,True,O,17.4,measured,10.5,15.36514181899193,0.6344,45.9627,32.5573,32.5573,28.9656,20.7503,20.7503,
TAP_A01,2202,,,725732.1,9666888.66,O,7.9,A,5.08,8.24,20100116-20100213,8.2,A,3.57,6.03,20110704-20110711,499.998497362,9.19,8.24,measured,0.3,observed,-2.0,7.6,7.78,7.9,True,O,8.24,measured,7.300000000000001,7.769896932383264,0.6344,9.0484,7.0557,7.0557,7.3234,5.742,5.742,
TAP_A01,2203,,,725736.01,9666889.0,O,25.2,A,18.39,23.88,20100116-20100213,26.4,A,18.97,21.81,20110704-20110711,499.998497362,20.48,23.88,measured,1.2,observed,-2.0,24.0,22.5,25.2,True,O,23.88,measured,22.8,22.42070299421477,0.6344,246.0119,171.4323,171.4323,190.2756,133.2785,133.2785,
TAP_A01,2204,,,725739.41,9666888.9,O,19.0,A,11.15,18.19,20100116-20100213,18.9,A,13.06,17.38,20110704-20110711,499.998497362,16.54,18.19,measured,0.0,observed,-2.0,18.9,18.19,19.0,True,O,18.19,measured,19.0,18.19,0.6344,108.6887,78.0027,78.0027,108.6887,78.0027,78.0027,
TAP_A01,2205,,,725744.5,9666891.87,O,54.8,A,24.43,43.5,20100116-20100213,55.3,A,26.76,31.69,20110704-20110711,499.998497362,30.75,43.5,measured,0.5,observed,-2.0,54.3,43.12,54.8,True,O,43.5,measured,53.8,43.11878628079208,0.6344,2012.4535,1324.0512,1324.0512,1924.785,1267.0135,1267.0135,
TAP_A01,2206,,,725748.9,9666888.62,O,6.6,A,3.97,8.76,20100116-20100213,6.6,A,5.35,9.05,20110704-20110711,499.998497362,7.81,8.76,measured,0.0,observed,-2.0,6.6,8.76,6.6,True,O,8.76,measured,6.6,8.76,0.6344,6.7623,5.1774,5.1774,6.7623,5.1774,5.1774,
TAP_A01,2207,,,725762.78,9666887.75,O,8.1,A,7.36,10.51,20100116-20100213,8.2,A,8.25,13.07,20110704-20110711,499.998497362,9.19,10.51,measured,0.1,observed,-2.0,8.0,10.32,8.1,True,O,10.51,measured,7.8999999999999995,10.317245919798465,0.6344,12.0478,9.0511,9.0511,11.2685,8.4803,8.4803,
TAP_A01,2208,,,725767.58,9666887.76,O,7.5,D,3.66,9.21,20100116-20100213,7.5,D,,9.21,20110704-20110711,499.998497362,8.6,9.21,measured,0.0,observed,-2.0,7.5,9.21,7.5,False,O,9.21,measured,7.5,9.21,0.6344,9.1138,9.1138,9.6232,9.1138,9.1138,9.6232,
TAP_A01,2209,,,725768.29,9666888.09,O,90.0,D,,3.75,20100116-20100213,90.0,D,,3.79,20110704-20110711,499.998497362,37.61,3.75,measured,0.0,observed,-2.0,90.0,3.75,90.0,False,O,3.75,measured,90.0,3.75,0.6344,484.6147,484.6147,511.7057,484.6147,484.6147,511.7057,
TAP_A01,2210,,,725770.09,9666887.74,O,16.0,A,18.08,20.55,20100116-20100213,16.3,A,16.27,19.79,20110704-20110711,499.998497362,14.98,20.55,measured,0.3,observed,-2.0,15.7,20.03,16.0,True,O,20.55,measured,15.4,20.020434429959753,0.6344,87.5401,61.1195,61.1195,79.2026,55.4251,55.4251,
TAP_A01,2211,,,725771.78,9666887.59,O,11.2,A,9.19,16.4,20100116-20100213,12.1,A,13.46,16.93,20110704-20110711,499.998497362,12.18,16.4,measured,0.9,observed,-2.0,10.3,14.61,11.2,True,O,16.4,measured,9.399999999999999,14.45031881176823,0.6344,35.0124,24.9022,24.9022,21.981,15.8159,15.8159,
TAP_A01,2212,,,725780.48,9666887.43,O,5.8,A,1.85,7.55,20100116-20100213,5.8,D,3.52,5.9,20110704-20110711,499.998497362,7.09,7.55,measured,0.0,observed,-2.0,5.8,7.55,5.8,True,O,7.55,measured,5.8,7.55,0.6344,4.5452,3.5406,3.5406,4.5452,3.5406,3.5406,
TAP_A01,2213,Protium hepytaphillum ,Burseraceae,725785.48,9666887.28,O,18.0,A,10.08,19.88,20100116-20100213,18.4,A,14.93,19.01,20110704-20110711,499.998497362,16.25,19.88,measured,0.4,observed,-2.0,17.6,19.29,18.0,True,O,19.88,measured,17.2,19.283360912872674,0.5773,106.6613,75.2851,75.2851,94.7437,67.0495,67.0495,
TAP_A01,2214,,,725791.22,9666888.56,O,17.0,A,17.19,19.46,20100116-20100213,16.4,A,19.24,23.19,20110704-20110711,499.998497362,15.04,19.46,measured,0.0,observed,-2.0,16.4,19.46,17.0,True,O,19.46,measured,17.0,19.46,0.6344,93.433,65.9897,65.9897,93.433,65.9897,65.9897,
TAP_A01,2215,,,725794.17,9666887.03,O,13.0,D,,1.45,20100116-20100213,13.0,D,,1.54,20110704-20110711,499.998497362,12.81,1.45,measured,0.0,observed,-2.0,13.0,1.45,13.0,False,O,1.45,measured,13.0,1.45,0.6344,4.3891,4.3891,4.6344,4.3891,4.3891,4.6344,
TAP_A01,2216,,,725797.85,9666889.42,O,29.0,A,17.42,26.91,20100116-20100213,29.5,A,21.92,26.49,20110704-20110711,499.998497362,21.91,26.91,measured,0.5,observed,-2.0,28.5,26.36,29.0,True,O,26.91,measured,28.0,26.345896657432576,0.6344,363.628,250.3369,250.3369,332.6052,229.3606,229.3606,
TAP_A01,2217,,,725807.57,9666886.78,O,5.8,A,5.68,7.62,20100116-20100213,5.8,A,6.13,7.58,20110704-20110711,499.998497362,7.09,7.62,measured,0.0,observed,-2.0,5.8,7.62,5.8,True,O,7.62,measured,5.8,7.62,0.6344,4.5863,3.5674,3.5674,4.5863,3.5674,3.5674,
TAP_A01,2218,Pourouma guianensis,Urticaceae,725828.57,9666886.31,O,17.0,A,17.73,23.8,20100116-20100213,16.9,A,18.75,21.43,20110704-20110711,499.998497362,15.35,23.8,measured,0.0,observed,-2.0,16.9,23.8,17.0,True,O,23.8,measured,17.0,23.8,0.38,113.7198,77.8032,77.8032,113.7198,77.8032,77.8032,
TAP_A01,2219,Apuleia leiocarpa,Fabaceae,725831.98,9666886.61,O,63.6,A,32.56,39.96,20100116-20100213,64.2,A,36.12,42.47,20110704-20110711,499.998497362,32.91,39.96,measured,0.6,observed,-2.0,63.0,39.63,63.6,True,O,39.96,measured,62.4,39.62446388754328,0.7992,2477.3961,1663.8085,1663.8085,2367.409,1590.6063,1590.6063,
TAP_A01,2220,,,725834.03,9666888.45,O,39.2,A,18.69,30.64,20100116-20100213,40.2,A,24.85,29.29,20110704-20110711,499.998497362,26.14,30.64,measured,1.0,observed,-2.0,38.2,29.8,39.2,True,O,30.64,measured,37.2,29.766739999578274,0.6344,743.315,508.6462,508.6462,652.4124,447.3604,447.3604,
