site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2016,dead_2016,hcom_2016,htot_2016,dbh_2018,dead_2018,plot_id,htot_feldpausch,dbh_used,dead_used,type_used,htot_used,htot_source,iagc_m1_kgC,iagc_m2_kgC,rho_w_m3,iagc_m3_kgC
SAN_A01b,026a,Eschweilera coriacea,Lecythidaceae,736911.8224,9667890.798,O,41.6,False,,,41.7,False,2,26.66,41.6,False,O,26.66,feldpausch,728.7362,728.7362,0.8521,1026.2313
SAN_A01b,027a,Protium paniculatum,Burseraceae,736917.4175,9667892.458,O,18.0,False,,,,True,2,,18.0,False,O,,feldpausch,,,0.49,
SAN_A01b,028a,Manilkara bidentata,Sapotaceae,736919.1269,9667889.781,O,61.6,False,16.12,20.39,62.2,False,2,32.46,61.6,False,O,20.39,measured,1207.0172,1207.0172,0.8729,1740.3451
SAN_A01b,029a,Eschweilera coriacea,Lecythidaceae,736922.9954,9667889.316,O,12.6,False,,,12.9,False,2,12.74,12.6,False,O,12.74,feldpausch,34.4373,34.4373,0.8521,48.4958
SAN_A01b,030a,Inga thibaudiana,Fabaceae,736924.2888,9667889.942,O,14.5,False,,,15.8,False,2,14.66,14.5,False,O,14.66,feldpausch,51.9515,51.9515,0.5786,50.1388
SAN_A01b,031a,Lecythis lurida,Lecythidaceae,736924.4704,9667885.941,O,24.9,False,,,25.1,False,2,19.85,24.9,False,O,19.85,feldpausch,200.6578,200.6578,0.8633,286.2139
SAN_A01b,032a,Eschweilera coriacea,Lecythidaceae,736921.2578,9667886.14,O,11.1,False,,,11.4,False,2,11.67,11.1,False,O,11.67,feldpausch,24.6827,24.6827,0.8521,34.759
SAN_A01b,033a,Mabea angularis,Euphorbiaceae,736916.3986,9667882.975,O,24.0,False,,,24.5,False,2,19.55,24.0,False,O,19.55,feldpausch,183.9892,183.9892,0.6157,188.6947
SAN_A01b,034a,,,736912.6563,9667881.983,O,29.9,True,,,,True,2,,29.9,True,O,,feldpausch,,,0.6965,
SAN_A01b,035a,Tetragastris panamensis,Burseraceae,736916.1011,9667881.314,O,14.9,False,,,15.1,False,2,14.21,14.9,False,O,14.21,feldpausch,53.1437,53.1437,0.7173,63.2645
SAN_A01b,036a,Eschweilera ovata,Lecythidaceae,736913.9786,9667876.791,O,15.0,False,,,15.6,False,2,14.54,15.0,False,O,14.54,feldpausch,55.0622,55.0622,0.9,81.7935
SAN_A01b,037a,Pouteria gongrijpii,Sapotaceae,736916.3263,9667878.507,O,25.2,False,16.79,22.91,25.9,False,2,20.24,25.2,False,O,22.91,measured,236.2539,236.2539,0.7994,312.6088
SAN_A01b,038a,Eschweilera ovata,Lecythidaceae,736918.1324,9667876.812,O,14.7,False,,,15.2,False,2,14.28,14.7,False,O,14.28,feldpausch,52.009,52.009,0.9,77.2581
SAN_A01b,039a,,,736926.9919,9667877.815,O,16.6,True,,,,True,2,,16.6,True,O,,feldpausch,,,0.6965,
SAN_A01b,040a,Eschweilera coriacea,Lecythidaceae,736925.929,9667875.552,O,12.0,False,,,12.9,False,2,12.74,12.0,False,O,12.74,feldpausch,31.3089,31.3089,0.8521,44.0903
SAN_A01b,041a,,,736915.288,9667873.925,O,13.8,True,,,,True,2,,13.8,True,O,,feldpausch,,,0.6965,
SAN_A01b,042a,Eschweilera coriacea,Lecythidaceae,736911.095,9667877.381,O,20.0,False,,,20.5,False,2,17.45,20.0,False,O,17.45,feldpausch,115.3622,115.3622,0.8521,162.457
SAN_A01b,043a,Pouteria gongrijpii,Sapotaceae,736913.0917,9667881.027,O,26.8,False,,,26.9,False,2,20.72,26.8,False,O,20.72,feldpausch,241.5328,241.5328,0.7994,319.5938
SAN_A01b,044a,Pouteria gongrijpii,Sapotaceae,736911.8398,9667881.472,O,17.4,False,,,18.0,False,2,16.01,17.4,False,O,16.01,feldpausch,80.8163,80.8163,0.7994,106.9353
SAN_A01b,045a,Eschweilera coriacea,Lecythidaceae,736910.4109,9667882.298,O,31.8,False,,,32.4,False,2,23.15,31.8,False,O,23.15,feldpausch,375.8376,375.8376,0.8521,529.2673
SAN_A01b,046a,Trichilia micrantha,Meliaceae,736909.1772,9667887.3,O,17.4,False,22.56,31.48,17.6,False,2,15.77,17.4,False,O,31.48,measured,156.3489,156.3489,0.6125,159.5272
SAN_A01b,047a,Trichilia micrantha,Meliaceae,736910.476,9667889.096,O,10.7,False,,,11.0,False,2,11.38,10.7,False,O,11.38,feldpausch,22.4188,22.4188,0.6125,22.8746
SAN_A01b,048a,Eschweilera coriacea,Lecythidaceae,736910.0439,9667892.388,O,10.8,False,,,11.3,False,2,11.6,10.8,False,O,11.6,feldpausch,23.2603,23.2603,0.8521,32.7559
SAN_A01b,049a,Eschweilera micrantha,Lecythidaceae,736906.567,9667897.706,O,19.4,False,,,19.9,False,2,17.11,19.4,False,O,17.11,feldpausch,106.6355,106.6355,0.86,151.5293
SAN_A01b,050a,Eschweilera coriacea,Lecythidaceae,736902.3118,9667897.623,O,28.5,False,,,29.2,False,2,21.77,28.5,False,O,21.77,feldpausch,285.8036,285.8036,0.8521,402.4784
SAN_A01b,051a,Tachigali myrmecophila,Fabaceae,736898.9196,9667909.751,O,13.9,False,,,14.5,False,2,13.82,13.9,False,O,13.82,feldpausch,45.1608,45.1608,0.476,36.0272
SAN_A01b,052a,Licania octandra,Chrysobalanaceae,736900.7034,9667910.62,O,35.7,False,,,36.1,False,2,24.63,35.7,False,O,24.63,feldpausch,500.4242,500.4242,0.825,682.8444
