site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2009,dead_2009,hcom_2009,htot_2009,date_2009,dbh_2010,dead_2010,htot_2010,date_2010,dbh_2011,dead_2011,hcom_2011,htot_2011,date_2011,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
TAP_A01,1.0,,,727139.84,9684877.68,O,15.0,D,,2.05,20090617-20090708,14.4,D,2.05,20100714-20100805,14.4,D,,1.9,20110712-20110719,M1,13.76,2.05,measured,0.0,observed,-1.0,14.4,2.05,15.0,False,O,2.05,measured,15.0,2.05,0.6,8.137,8.137,8.137,8.137,8.137,8.137,
TAP_A01,2.0,,,727137.51,9684877.4,O,15.1,A,13.53,19.67,20090617-20090708,15.1,A,9.84,20100714-20100805,15.1,A,7.85,9.03,20110712-20110719,M1,14.21,19.67,measured,0.0,observed,-1.0,15.1,19.67,15.1,True,O,19.67,measured,15.1,19.67,0.6,74.9164,52.5225,52.5225,74.9164,52.5225,52.5225,
TAP_A01,3.0,,,727128.17,9684876.27,O,17.5,A,20.38,23.13,20090617-20090708,17.3,A,25.17,20100714-20100805,17.5,A,22.17,24.79,20110712-20110719,M1,15.71,23.13,measured,0.0,observed,-1.0,17.5,23.13,17.5,True,O,23.13,measured,17.5,23.13,0.6,117.0325,80.5436,80.5436,117.0325,80.5436,80.5436,
TAP_A01,4.0,,,727117.49,9684875.46,O,13.6,A,22.84,26.86,20090617-20090708,30.7,A,27.25,20100714-20100805,31.7,A,,13.72,20110712-20110719,M1,22.86,26.86,measured,5.0,observed,-1.0,26.7,24.23,13.6,True,O,26.86,measured,8.6,19.331078682829993,0.6,82.782,54.9726,54.9726,24.5464,16.7963,16.7963,
TAP_A01,5.0,,,727115.44,9684873.74,O,5.4,A,6.13,12.5,20090617-20090708,5.2,A,9.29,20100714-20100805,5.2,A,5.07,11.46,20110712-20110719,M1,6.52,12.5,measured,0.0,observed,-1.0,5.2,12.5,5.4,True,O,12.5,measured,5.4,12.5,0.6,6.4666,4.6357,4.6357,6.4666,4.6357,4.6357,
TAP_A01,6.0,,,727103.97,9684877.73,O,99.7,D,0.7,4.54,20090617-20090708,99.7,D,6.1,20100714-20100805,99.7,D,,5.69,20110712-20110719,M1,38.93,4.54,measured,0.0,observed,-1.0,99.7,4.54,99.7,False,O,4.54,measured,99.7,4.54,0.6,713.1816,713.1816,713.1816,713.1816,713.1816,713.1816,
TAP_A01,7.0,,,727079.22,9684871.93,O,6.1,A,3.37,4.56,20090617-20090708,6.1,A,4.53,20100714-20100805,6.1,A,2.17,4.79,20110712-20110719,M1,7.36,4.56,measured,0.0,observed,-1.0,6.1,4.56,6.1,True,O,4.56,measured,6.1,4.56,0.6,3.066,2.5927,2.5927,3.066,2.5927,2.5927,
TAP_A01,8.0,,,727076.34,9684870.81,L,5.3,A,5.81,6.5,20090617-20090708,5.4,A,,20100714-20100805,5.4,A,,,20110712-20110719,M1,6.71,6.5,measured,0.05,observed,-1.0,5.35,6.45,5.3,True,L,6.5,measured,5.25,6.453118243735378,0.6,3.2934,2.6156,2.6156,3.2103,2.5513,2.5513,
TAP_A01,9.0,,,727074.07,9684870.71,O,14.1,A,11.14,12.35,20090617-20090708,14.2,A,11.99,20100714-20100805,14.3,A,10.1,12.92,20110712-20110719,M1,13.69,12.35,measured,0.1,observed,-1.0,14.2,12.29,14.1,True,O,12.35,measured,14.0,12.289100038332199,0.6,41.6105,31.2955,31.2955,40.8389,30.7286,30.7286,
TAP_A01,10.0,,,727070.7,9684871.06,O,6.3,A,5.75,9.35,20090617-20090708,6.4,A,9.05,20100714-20100805,6.4,A,8.17,11.15,20110712-20110719,M1,7.64,9.35,measured,0.05,observed,-1.0,6.35,9.29,6.3,True,O,9.35,measured,6.25,9.293929600644407,0.6,6.5809,4.9758,4.9758,6.4414,4.8731,4.8731,
TAP_A01,11.0,,,727058.77,9684870.04,O,17.7,D,1.38,4.85,20090617-20090708,,D,,20100714-20100805,,D,,,20110712-20110719,M1,,4.85,measured,0.1,site_median,-1.0,,,17.7,False,O,4.85,measured,17.599999999999998,4.831626666469821,0.6,26.0488,26.0488,26.0488,25.6671,25.6671,25.6671,
TAP_A01,12.0,,,727058.77,9684870.04,O,13.6,A,3.29,5.37,20090617-20090708,,D,,20100714-20100805,,D,,,20110712-20110719,M1,,5.37,measured,0.1,site_median,-1.0,,,13.6,True,O,5.37,measured,13.5,5.342404761983078,0.6,17.2022,14.7318,14.7318,16.8711,14.4549,14.4549,
TAP_A01,13.0,,,727040.47,9684872.09,O,39.2,A,12.09,19.24,20090617-20090708,39.5,A,17.17,20100714-20100805,39.7,A,9.11,14.03,20110712-20110719,M1,25.97,19.24,measured,0.25,observed,-1.0,39.45,19.17,39.2,True,O,19.24,measured,38.95,19.17269522485716,0.6,471.997,347.6253,347.6253,464.5474,342.223,342.223,
TAP_A01,14.0,,,727037.52,9684869.35,O,13.6,D,0.88,2.7,20090617-20090708,13.7,D,6.76,20100714-20100805,13.7,D,,3.5,20110712-20110719,M1,13.29,2.7,measured,0.05,observed,-1.0,13.65,2.69,13.6,False,O,2.7,measured,13.549999999999999,2.6930682896827736,0.6,8.7931,8.7931,8.7931,8.7082,8.7082,8.7082,
TAP_A01,15.0,,,727039.78,9684869.56,O,8.3,A,6.47,8.07,20090617-20090708,8.4,A,8.09,20100714-20100805,9.0,A,2.11,7.44,20110712-20110719,M1,9.84,8.07,measured,0.35,observed,-1.0,8.65,7.84,8.3,True,O,8.07,measured,7.950000000000001,7.816986358026637,0.6,9.7636,7.6566,7.6566,8.7013,6.8438,6.8438,
TAP_A01,16.0,,,727033.89,9684869.01,O,6.1,D,0.98,6.18,20090617-20090708,6.1,D,5.27,20100714-20100805,6.1,D,,5.12,20110712-20110719,M1,7.36,6.18,measured,0.0,observed,-1.0,6.1,6.18,6.1,False,O,6.18,measured,6.1,6.18,0.6,4.1251,4.1251,4.1251,4.1251,4.1251,4.1251,
TAP_A01,17.0,,,727031.63,9684868.8,O,5.3,A,2.0,3.35,20090617-20090708,5.7,A,4.28,20100714-20100805,5.7,A,2.28,5.03,20110712-20110719,M1,6.99,3.35,measured,0.2,observed,-1.0,5.5,3.26,5.3,True,O,3.35,measured,5.1,3.2529369354215545,0.6,1.7246,1.5209,1.5209,1.5546,1.3748,1.3748,
TAP_A01,18.0,,,727030.72,9684868.72,O,28.0,A,17.89,23.45,20090617-20090708,26.3,A,24.81,20100714-20100805,28.8,A,15.92,24.07,20110712-20110719,M1,21.59,23.45,measured,0.4,observed,-1.0,28.4,23.25,28.0,True,O,23.45,measured,27.6,23.245853680370274,0.6,296.8743,208.5222,208.5222,286.1992,201.1631,201.1631,
TAP_A01,19.0,,,727030.32,9684869.18,O,12.8,A,7.46,14.1,20090617-20090708,13.7,A,10.68,20100714-20100805,14.4,A,10.03,12.14,20110712-20110719,M1,13.76,14.1,measured,0.8,observed,-1.0,13.6,13.55,12.8,True,O,14.1,measured,12.0,13.471570195841075,0.6,39.2078,28.7436,28.7436,33.0624,24.3381,24.3381,
TAP_A01,20.0,,,727019.03,9684868.63,O,5.1,A,2.28,6.23,20090617-20090708,5.2,A,6.18,20100714-20100805,5.4,A,3.67,6.51,20110712-20110719,M1,6.71,6.23,measured,0.15,observed,-1.0,5.25,6.1,5.1,True,O,6.23,measured,4.949999999999999,6.089163478846194,0.6,2.9313,2.3393,2.3393,2.7043,2.1629,2.1629,
TAP_A01,21.0,,,727009.47,9684867.25,O,12.0,A,5.43,10.43,20090617-20090708,12.2,A,12.75,20100714-20100805,12.1,A,2.93,7.71,20110712-20110719,M1,12.18,10.43,measured,0.05,observed,-1.0,12.05,10.4,12.0,True,O,10.43,measured,11.95,10.399145857742035,0.6,25.7554,19.7414,19.7414,25.4726,19.5299,19.5299,
TAP_A01,22.0,,,727005.76,9684865.92,O,5.4,A,2.67,4.23,20090617-20090708,5.5,A,3.56,20100714-20100805,5.4,A,1.67,4.03,20110712-20110719,M1,6.71,4.23,measured,0.0,observed,-1.0,5.4,4.23,5.4,True,O,4.23,measured,5.4,4.23,0.6,2.246,1.9107,1.9107,2.246,1.9107,1.9107,
TAP_A01,23.0,,,727004.9,9684866.34,O,8.0,A,4.93,9.78,20090617-20090708,8.4,A,12.08,20100714-20100805,8.4,A,5.68,6.85,20110712-20110719,M1,9.35,9.78,measured,0.2,observed,-1.0,8.2,9.61,8.0,True,O,9.78,measured,7.8,9.598185722928598,0.6,10.9613,8.3241,8.3241,10.2434,7.7925,7.7925,
TAP_A01,24.0,,,727003.08,9684866.17,O,5.4,A,5.96,7.5,20090617-20090708,5.5,A,7.8,20100714-20100805,5.5,A,3.87,6.94,20110712-20110719,M1,6.81,7.5,measured,0.05,observed,-1.0,5.45,7.44,5.4,True,O,7.5,measured,5.3500000000000005,7.4469706654669015,0.6,3.9278,3.0524,3.0524,3.8305,2.9788,2.9788,
TAP_A01,25.0,,,726999.05,9684866.29,O,14.5,A,7.81,8.51,20090617-20090708,14.3,A,8.68,20100714-20100805,14.4,A,5.88,7.22,20110712-20110719,M1,13.76,8.51,measured,0.0,observed,-1.0,14.4,8.51,14.5,True,O,8.51,measured,14.5,8.51,0.6,30.5536,24.4049,24.4049,30.5536,24.4049,24.4049,
TAP_A01,26.0,,,726998.1,9684865.71,O,5.8,A,2.84,4.24,20090617-20090708,5.9,A,4.74,20100714-20100805,6.0,A,3.18,5.56,20110712-20110719,M1,7.27,4.24,measured,0.1,observed,-1.0,5.9,4.19,5.8,True,O,4.24,measured,5.7,4.184365601849818,0.6,2.5881,2.2085,2.2085,2.4697,2.1101,2.1101,
TAP_A01,27.0,,,726986.68,9684865.52,O,5.5,A,4.71,8.05,20090617-20090708,5.7,A,6.6,20100714-20100805,5.9,A,3.14,7.35,20110712-20110719,M1,7.18,8.05,measured,0.2,observed,-1.0,5.7,7.84,5.5,True,O,8.05,measured,5.3,7.825798443426979,0.6,4.3622,3.3553,3.3553,3.9476,3.0445,3.0445,
TAP_A01,28.0,,,726980.13,9684865.93,O,14.1,D,1.05,6.78,20090617-20090708,12.8,D,7.22,20100714-20100805,12.8,D,,6.69,20110712-20110719,M1,12.67,6.78,measured,0.0,observed,-1.0,12.8,6.78,14.1,False,O,6.78,measured,14.1,6.78,0.6,23.1748,23.1748,23.1748,23.1748,23.1748,23.1748,
TAP_A01,29.0,,,726975.2,9684864.86,O,10.2,A,8.67,12.06,20090617-20090708,10.7,A,13.43,20100714-20100805,11.1,A,12.56,13.83,20110712-20110719,M1,11.45,12.06,measured,0.45,observed,-1.0,10.65,11.71,10.2,True,O,12.06,measured,9.75,11.67204102008184,0.6,21.6094,16.0621,16.0621,19.1661,14.2888,14.2888,
TAP_A01,30.0,,,726969.75,9684865.28,O,6.5,A,4.22,8.22,20090617-20090708,6.4,A,7.14,20100714-20100805,6.5,A,6.18,8.89,20110712-20110719,M1,7.72,8.22,measured,0.0,observed,-1.0,6.5,8.22,6.5,True,O,8.22,measured,6.5,8.22,0.6,6.1685,4.7671,4.7671,6.1685,4.7671,4.7671,
TAP_A01,31.0,,,726968.1,9684864.76,O,37.1,D,1.48,23.33,20090617-20090708,36.2,D,4.78,20100714-20100805,,D,,,20110712-20110719,M1,,23.33,measured,0.1,site_median,-1.0,,,37.1,False,O,23.33,measured,37.0,23.294895858796945,0.6,511.6387,511.6387,511.6387,508.2027,508.2027,508.2027,
TAP_A01,32.0,,,726961.0,9684865.16,O,6.1,A,2.73,7.67,20090617-20090708,6.2,A,7.32,20100714-20100805,6.4,A,3.56,7.72,20110712-20110719,M1,7.64,7.67,measured,0.15,observed,-1.0,6.25,7.53,6.1,True,O,7.67,measured,5.949999999999999,7.526786523602253,0.6,5.0931,3.9672,3.9672,4.7631,3.7167,3.7167,
TAP_A01,33.0,,,726957.72,9684864.62,O,17.9,A,10.92,20.54,20090617-20090708,18.0,A,18.77,20100714-20100805,18.0,A,11.35,14.27,20110712-20110719,M1,16.01,20.54,measured,0.05,observed,-1.0,17.95,20.5,17.9,True,O,20.54,measured,17.849999999999998,20.501632224152154,0.6,108.9251,76.4668,76.4668,108.1344,75.924,75.924,
TAP_A01,34.0,,,726954.54,9684871.57,O,67.4,A,33.75,48.77,20090617-20090708,68.0,A,42.64,20100714-20100805,62.0,A,37.58,45.2,20110712-20110719,M1,32.41,48.77,measured,0.0,observed,-1.0,62.0,48.77,67.4,True,O,48.77,measured,67.4,48.77,0.6,3370.0931,2199.3189,2199.3189,3370.0931,2199.3189,2199.3189,
TAP_A01,35.0,,,726952.83,9684866.55,O,27.7,A,10.77,14.38,20090617-20090708,27.2,A,14.97,20100714-20100805,27.2,D,,13.89,20110712-20110719,M1,20.86,14.38,measured,0.0,observed,-1.0,27.2,14.38,27.7,True,O,14.38,measured,27.7,14.38,0.6,180.3657,136.7936,136.7936,180.3657,136.7936,136.7936,
TAP_A01,36.0,,,726942.99,9684865.91,O,29.2,A,14.94,22.45,20090617-20090708,29.2,A,22.7,20100714-20100805,29.3,A,21.04,24.7,20110712-20110719,M1,21.82,22.45,measured,0.05,observed,-1.0,29.25,22.43,29.2,True,O,22.45,measured,29.15,22.426930569718802,0.6,308.7985,218.8367,218.8367,307.4585,217.9046,217.9046,
TAP_A01,37.0,,,726936.84,9684864.24,O,6.4,A,7.68,10.77,20090617-20090708,7.0,A,10.32,20100714-20100805,6.6,A,6.83,11.84,20110712-20110719,M1,7.81,10.77,measured,0.1,observed,-1.0,6.5,10.65,6.4,True,O,10.77,measured,6.300000000000001,10.642834025421365,0.6,7.7905,5.7646,5.7646,7.4676,5.5319,5.5319,
TAP_A01,38.0,,,726927.43,9684864.47,O,7.3,A,4.52,9.53,20090617-20090708,7.8,A,14.11,20100714-20100805,8.1,A,11.49,14.28,20110712-20110719,M1,9.1,9.53,measured,0.4,observed,-1.0,7.7,9.18,7.3,True,O,9.53,measured,6.8999999999999995,9.136718328092453,0.6,8.9384,6.7858,6.7858,7.6847,5.8571,5.8571,
TAP_A01,39.0,,,726920.94,9684868.29,O,96.6,A,34.58,55.56,20090617-20090708,96.9,A,45.85,20100714-20100805,97.2,A,38.16,45.27,20110712-20110719,M1,38.6,55.56,measured,0.3,observed,-1.0,96.9,55.52,96.6,True,O,55.56,measured,96.3,55.50282244524604,0.6,7727.2326,5026.0781,5026.0781,7672.744,4990.7035,4990.7035,
TAP_A01,40.0,,,726920.42,9684866.28,O,19.3,A,18.17,23.26,20090617-20090708,20.0,A,25.76,20100714-20100805,21.0,A,18.83,22.26,20110712-20110719,M1,17.72,23.26,measured,0.85,observed,-1.0,20.15,22.64,19.3,True,O,23.26,measured,18.45,22.57680061752733,0.6,142.4556,98.4149,98.4149,126.7244,87.7704,87.7704,
TAP_A01,41.0,,,726919.42,9684864.25,O,12.3,A,5.7,16.51,20090617-20090708,12.9,A,16.58,20100714-20100805,13.2,A,9.96,15.3,20110712-20110719,M1,12.95,16.51,measured,0.45,observed,-1.0,12.75,16.11,12.3,True,O,16.51,measured,11.850000000000001,16.079541897492035,0.6,42.3133,30.1986,30.1986,38.3426,27.4301,27.4301,
TAP_A01,42.0,,,726913.31,9684864.58,O,11.3,A,11.83,20.95,20090617-20090708,11.8,A,16.74,20100714-20100805,12.1,A,6.97,11.31,20110712-20110719,M1,12.18,20.95,measured,0.4,observed,-1.0,11.7,20.45,11.3,True,O,20.95,measured,10.9,20.416249988665715,0.6,45.2424,30.9703,30.9703,41.1201,28.2145,28.2145,
TAP_A01,43.0,,,726889.75,9684862.77,O,6.9,A,9.52,11.03,20090617-20090708,7.7,A,12.29,20100714-20100805,8.1,A,10.57,13.98,20110712-20110719,M1,9.1,11.03,measured,0.6,observed,-1.0,7.5,10.42,6.9,True,O,11.03,measured,6.300000000000001,10.300555222468985,0.6,9.2352,6.8326,6.8326,7.2331,5.3859,5.3859,
TAP_A01,44.0,,,726884.69,9684863.01,O,4.9,A,3.01,6.66,20090617-20090708,5.2,A,6.74,20100714-20100805,5.2,A,4.45,6.92,20110712-20110719,M1,6.52,6.66,measured,0.15,observed,-1.0,5.05,6.52,4.9,True,O,6.66,measured,4.75,6.502906071402113,0.6,2.8936,2.2806,2.2806,2.6605,2.1017,2.1017,
TAP_A01,45.0,,,726883.43,9684867.93,O,54.0,A,25.34,32.11,20090617-20090708,54.4,A,29.04,20100714-20100805,55.0,A,18.18,26.21,20110712-20110719,M1,30.67,32.11,measured,0.5,observed,-1.0,54.5,31.97,54.0,True,O,32.11,measured,53.5,31.966863182575484,0.6,1454.0329,1002.9488,1002.9488,1421.6559,980.8704,980.8704,
TAP_A01,46.0,,,726882.15,9684862.88,O,6.7,A,10.59,11.94,20090617-20090708,7.0,A,11.42,20100714-20100805,7.0,A,8.19,11.27,20110712-20110719,M1,8.17,11.94,measured,0.15,observed,-1.0,6.85,11.75,6.7,True,O,11.94,measured,6.55,11.73845460032678,0.6,9.4214,6.8738,6.8738,8.8655,6.4786,6.4786,
TAP_A01,47.0,,,726881.14,9684862.83,O,13.8,A,11.65,18.82,20090617-20090708,15.0,A,16.87,20100714-20100805,16.0,A,13.52,16.74,20110712-20110719,M1,14.79,18.82,measured,1.1,observed,-1.0,14.9,17.92,13.8,True,O,18.82,measured,12.700000000000001,17.75643240186641,0.6,60.1913,42.3113,42.3113,48.3567,34.1696,34.1696,
TAP_A01,48.0,,,726872.98,9684861.91,O,38.7,A,23.29,34.71,20090617-20090708,39.0,A,26.86,20100714-20100805,39.1,A,19.97,22.16,20110712-20110719,M1,25.75,34.71,measured,0.2,observed,-1.0,38.9,34.62,38.7,True,O,34.71,measured,38.5,34.61121033446473,0.6,818.7592,549.0012,549.0012,808.2684,542.0761,542.0761,
TAP_A01,49.0,,,726852.72,9684861.85,O,17.1,D,1.47,11.19,20090617-20090708,16.8,D,11.45,20100714-20100805,,D,,,20110712-20110719,M1,,11.19,measured,0.1,site_median,-1.0,,,17.1,False,O,11.19,measured,17.0,11.145858675127783,0.6,55.0715,55.0715,55.0715,54.235,54.235,54.235,
TAP_A01,50.0,,,726845.33,9684865.95,O,68.9,A,36.85,52.5,20090617-20090708,70.4,A,44.52,20100714-20100805,72.0,A,36.72,44.6,20110712-20110719,M1,34.55,52.5,measured,1.55,observed,-1.0,70.45,52.03,68.9,True,O,52.5,measured,67.35000000000001,51.996823086478095,0.6,3780.4203,2441.1149,2441.1149,3582.3585,2314.215,2314.215,
TAP_A01,51.0,,,726842.67,9684860.44,O,6.6,A,5.99,12.55,20090617-20090708,6.7,A,11.97,20100714-20100805,6.9,A,5.19,10.17,20110712-20110719,M1,8.08,12.55,measured,0.15,observed,-1.0,6.75,12.35,6.6,True,O,12.55,measured,6.449999999999999,12.334696289315131,0.6,9.6048,6.9476,6.9476,9.0295,6.5422,6.5422,
TAP_A01,52.0,,,726842.19,9684860.44,O,6.4,D,1.26,8.3,20090617-20090708,,D,,20100714-20100805,,D,,,20110712-20110719,M1,,8.3,measured,0.1,site_median,-1.0,,,6.4,False,O,8.3,measured,6.300000000000001,8.201998366852122,0.6,6.0415,6.0415,6.0415,5.7911,5.7911,5.7911,
TAP_A01,53.0,,,726833.64,9684862.38,O,20.5,A,13.39,19.72,20090617-20090708,20.7,A,18.96,20100714-20100805,20.7,A,9.93,19.11,20110712-20110719,M1,17.56,19.72,measured,0.1,observed,-1.0,20.6,19.65,20.5,True,O,19.72,measured,20.4,19.657248798856482,0.6,136.406,97.0065,97.0065,134.6905,95.8123,95.8123,
TAP_A01,54.0,,,726828.9,9684865.85,O,106.4,A,23.87,32.1,20090617-20090708,106.0,A,37.04,20100714-20100805,105.5,A,39.82,48.52,20110712-20110719,M1,39.62,32.1,measured,0.0,observed,-1.0,105.5,32.1,106.4,True,O,32.1,measured,106.4,32.1,0.6,5462.6032,3892.8157,3892.8157,5462.6032,3892.8157,3892.8157,
TAP_A01,55.0,,,726818.41,9684863.78,O,59.2,A,38.06,47.31,20090617-20090708,58.8,A,41.02,20100714-20100805,59.5,A,38.62,45.66,20110712-20110719,M1,31.81,47.31,measured,0.15,observed,-1.0,59.35,47.27,59.2,True,O,47.31,measured,59.050000000000004,47.255059525183476,0.6,2539.7253,1655.0625,1655.0625,2524.3147,1645.1216,1645.1216,
TAP_A01,56.0,,,726816.01,9684861.26,O,5.4,A,1.85,7.05,20090617-20090708,5.4,A,6.6,20100714-20100805,5.4,A,4.05,6.47,20110712-20110719,M1,6.71,7.05,measured,0.0,observed,-1.0,5.4,7.05,5.4,True,O,7.05,measured,5.4,7.05,0.6,3.6977,2.9018,2.9018,3.6977,2.9018,2.9018,
TAP_A01,57.0,,,726814.58,9684860.75,O,8.2,A,4.29,10.73,20090617-20090708,8.5,A,10.92,20100714-20100805,8.8,A,4.25,10.15,20110712-20110719,M1,9.68,10.73,measured,0.3,observed,-1.0,8.5,10.45,8.2,True,O,10.73,measured,7.8999999999999995,10.438112916530303,0.6,12.5919,9.4345,9.4345,11.3973,8.5614,8.5614,
TAP_A01,58.0,,,726810.31,9684862.22,O,53.0,A,20.82,28.43,20090617-20090708,53.4,A,33.88,20100714-20100805,54.1,A,28.46,33.5,20110712-20110719,M1,30.43,28.43,measured,0.55,observed,-1.0,53.55,28.29,53.0,True,O,28.43,measured,52.45,28.286628931556283,0.6,1244.8969,874.5823,874.5823,1213.8,852.9899,852.9899,
TAP_A01,59.0,,,726802.69,9684862.67,O,25.0,A,16.6,21.46,20090617-20090708,25.1,A,22.09,20100714-20100805,25.3,A,18.24,22.94,20110712-20110719,M1,19.95,21.46,measured,0.15,observed,-1.0,25.15,21.37,25.0,True,O,21.46,measured,24.85,21.379513773524007,0.6,218.2279,154.6011,154.6011,214.8897,152.2827,152.2827,
TAP_A01,60.0,,,726775.54,9684859.98,O,10.8,A,6.52,15.97,20090617-20090708,11.1,A,13.15,20100714-20100805,11.1,A,8.19,10.73,20110712-20110719,M1,11.45,15.97,measured,0.15,observed,-1.0,10.95,15.82,10.8,True,O,15.97,measured,10.65,15.810228461661776,0.6,31.7782,22.6574,22.6574,30.6204,21.8519,21.8519,
TAP_A01,61.0,,,726764.04,9684860.43,O,5.0,A,2.45,6.15,20090617-20090708,5.4,A,6.38,20100714-20100805,6.0,A,2.53,7.35,20110712-20110719,M1,7.27,6.15,measured,0.5,observed,-1.0,5.5,5.76,5.0,True,O,6.15,measured,4.5,5.671666134518644,0.6,2.7848,2.2248,2.2248,2.0949,1.6866,1.6866,
TAP_A01,62.0,,,726762.97,9684860.44,O,85.8,A,33.77,43.04,20090617-20090708,89.2,A,48.64,20100714-20100805,89.7,A,34.57,43.66,20110712-20110719,M1,37.57,43.04,measured,1.95,observed,-1.0,87.75,42.7,85.8,True,O,43.04,measured,83.85,42.67932620652004,0.6,4778.4517,3217.6704,3217.6704,4531.3855,3051.9932,3051.9932,
TAP_A01,63.0,,,726760.28,9684860.96,P,4.8,A,2.89,4.2,20090617-20090708,5.0,A,4.46,20100714-20100805,4.9,A,2.48,4.78,20110712-20110719,M1,6.23,4.2,measured,0.05,observed,-1.0,4.85,4.17,4.8,True,P,4.2,measured,4.75,4.166349535417149,0.6,1.7723,,,1.7229,,,
TAP_A01,64.0,,,726754.35,9684860.51,P,4.8,A,2.73,4.27,20090617-20090708,5.0,A,3.97,20100714-20100805,4.5,A,2.46,5.26,20110712-20110719,M1,5.84,4.27,measured,0.0,observed,-1.0,4.5,4.27,4.8,True,P,4.27,measured,4.8,4.27,0.6,1.8011,,,1.8011,,,
TAP_A01,65.0,,,726754.35,9684860.51,P,5.1,D,2.79,4.55,20090617-20090708,5.0,D,2.59,20100714-20100805,5.0,D,1.16,1.93,20110712-20110719,M1,6.33,4.55,measured,0.0,observed,-1.0,5.0,4.55,5.1,False,P,4.55,measured,5.1,4.55,0.6,2.157,1.6641,1.6641,2.157,1.6641,1.6641,
TAP_A01,66.0,,,726753.82,9684862.02,O,20.0,A,4.47,8.77,20090617-20090708,20.0,A,9.33,20100714-20100805,20.0,A,8.84,11.36,20110712-20110719,M1,17.17,8.77,measured,0.0,observed,-1.0,20.0,8.77,20.0,True,O,8.77,measured,20.0,8.77,0.6,58.9439,47.5875,47.5875,58.9439,47.5875,47.5875,
TAP_A01,67.0,,,726743.58,9684861.61,O,9.5,A,5.99,8.73,20090617-20090708,9.6,A,9.59,20100714-20100805,9.6,A,8.58,11.06,20110712-20110719,M1,10.31,8.73,measured,0.05,observed,-1.0,9.55,8.7,9.5,True,O,8.73,measured,9.45,8.696500491468294,0.6,13.7217,10.6969,10.6969,13.5302,10.5513,10.5513,
TAP_A01,68.0,,,726734.96,9684860.69,O,26.4,A,17.58,22.23,20090617-20090708,26.0,A,26.37,20100714-20100805,26.2,A,20.54,24.31,20110712-20110719,M1,20.38,22.23,measured,0.0,observed,-1.0,26.2,22.23,26.4,True,O,22.23,measured,26.4,22.23,0.6,251.2144,177.445,177.445,251.2144,177.445,177.445,
TAP_A01,69.0,,,726729.04,9684861.24,O,43.5,A,35.95,49.35,20090617-20090708,44.2,A,37.78,20100714-20100805,45.0,A,30.22,37.05,20110712-20110719,M1,27.76,49.35,measured,0.75,observed,-1.0,44.25,48.91,43.5,True,O,49.35,measured,42.75,48.89886581186181,0.6,1450.2403,925.011,925.011,1389.3242,886.7029,886.7029,
TAP_A01,70.0,,,726720.41,9684860.82,L,8.7,A,0.0,0.0,20090617-20090708,,D,,20100714-20100805,,D,,,20110712-20110719,M1,,10.79,local_fit,0.1,site_median,-1.0,,,8.7,True,L,,feldpausch,8.6,,0.6,,,,,,,
TAP_A01,71.0,,,726705.45,9684861.83,O,19.3,A,18.24,22.84,20090617-20090708,19.6,A,20.89,20100714-20100805,19.8,A,17.7,20.25,20110712-20110719,M1,17.05,22.84,measured,0.25,observed,-1.0,19.55,22.65,19.3,True,O,22.84,measured,19.05,22.64432338392624,0.6,139.9445,96.9589,96.9589,135.287,93.8007,93.8007,
TAP_A01,72.0,,,726700.82,9684861.41,O,17.5,A,18.63,23.56,20090617-20090708,17.8,A,25.23,20100714-20100805,17.8,A,20.29,24.83,20110712-20110719,M1,15.89,23.56,measured,0.15,observed,-1.0,17.65,23.43,17.5,True,O,23.56,measured,17.35,23.424223944651555,0.6,119.1555,81.7664,81.7664,116.5109,79.9916,79.9916,
TAP_A01,73.0,,,726696.19,9684861.48,O,9.4,D,1.91,4.01,20090617-20090708,,D,,20100714-20100805,,D,,,20110712-20110719,M1,,4.01,measured,0.1,site_median,-1.0,,,9.4,False,O,4.01,measured,9.3,3.978832915866808,0.6,6.2904,6.2904,6.2904,6.1137,6.1137,6.1137,
TAP_A01,74.0,,,726688.33,9684861.61,O,8.4,A,7.96,12.46,20090617-20090708,8.4,A,14.63,20100714-20100805,8.4,A,9.21,15.27,20110712-20110719,M1,9.35,12.46,measured,0.0,observed,-1.0,8.4,12.46,8.4,True,O,12.46,measured,8.4,12.46,0.6,15.2714,11.188,11.188,15.2714,11.188,11.188,
TAP_A01,75.0,,,726683.24,9684861.7,O,24.4,A,7.5,15.87,20090617-20090708,24.6,A,17.95,20100714-20100805,24.9,A,12.34,21.72,20110712-20110719,M1,19.75,15.87,measured,0.25,observed,-1.0,24.65,15.77,24.4,True,O,15.87,measured,24.15,15.767649173122964,0.6,155.0275,115.0565,115.0565,150.9856,112.1159,112.1159,
