site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
TAC_A01,19,Theobroma glaucum,Malvaceae,799916.5945,9725879.517,5.9,2.33,1.69,20140812,False,O,P01,7.18,7.18,feldpausch_regional,0.18,default,-1.0,5.72,7.01,5.9,False,O,2.33,measured,5.720000000000001,2.275851079981528,0.5297,1.4918,1.4918,1.321,1.3724,1.3724,1.2152,
TAC_A01,20,Euterpe oleracea,Arecaceae,799917.7254,9725880.48,12.2,9.92,6.19,20140812,False,P,P01,12.25,12.25,feldpausch_regional,0.18,default,-1.0,12.02,12.12,12.2,False,P,9.92,measured,12.02,9.816072324168314,0.3877,25.3297,18.2902,18.2902,24.3537,17.5581,17.5581,
TAC_A01,21,Euterpe oleracea,Arecaceae,799917.7254,9725880.48,14.2,8.09,5.69,20140812,False,P,P01,13.62,13.62,feldpausch_regional,0.18,default,-1.0,14.02,13.5,14.2,False,P,8.09,measured,14.02,8.01868000692658,0.3877,27.9181,27.7594,27.7594,26.9971,26.8031,26.8031,
TAC_A01,22,Euterpe oleracea,Arecaceae,799917.7254,9725880.48,18.8,9.92,6.98,20140812,False,P,P01,16.48,16.48,feldpausch_regional,0.18,default,-1.0,18.62,16.38,18.8,False,P,9.92,measured,18.62,9.856932204032969,0.3877,58.9131,60.0267,60.0267,57.4583,58.4604,58.4604,
TAC_A01,23,Euterpe oleracea,Arecaceae,799917.8762,9725880.608,6.8,3.78,1.76,20140812,False,P,P01,7.99,7.99,feldpausch_regional,0.18,default,-1.0,6.62,7.83,6.8,False,P,3.78,measured,6.62,3.7045920384423625,0.3877,3.1561,3.6691,3.6691,2.9367,3.4083,3.4083,
TAC_A01,24,Theobroma glaucum,Malvaceae,799918.6301,9725881.25,10.4,4.26,1.41,20140812,False,O,P01,10.93,10.93,feldpausch_regional,0.18,default,-1.0,10.22,10.79,10.4,False,O,4.26,measured,10.22,4.206631244993715,0.5297,8.1286,8.1286,7.1978,7.7601,7.7601,6.8716,
TAC_A01,25,Theobroma glaucum,Malvaceae,799921.1935,9725883.433,10.2,5.22,1.72,20140812,False,O,P01,10.78,10.78,feldpausch_regional,0.18,default,-1.0,10.02,10.64,10.2,False,O,5.22,measured,10.02,5.153177725034133,0.5297,9.5432,9.5432,8.4505,9.1021,9.1021,8.0599,
TAC_A01,26,Euterpe oleracea,Arecaceae,799922.0982,9725884.203,8.9,6.88,3.69,20140812,False,P,P01,9.76,9.76,feldpausch_regional,0.18,default,-1.0,8.72,9.61,8.9,False,P,6.88,measured,8.72,6.777613343052356,0.3877,9.5754,7.6875,7.6875,9.0673,7.2677,7.2677,
TAC_A01,27,Euterpe oleracea,Arecaceae,799922.3997,9725884.46,11.9,10.67,6.32,20140812,False,P,P01,12.03,12.03,feldpausch_regional,0.18,default,-1.0,11.72,11.9,11.9,False,P,10.67,measured,11.72,10.555033719977732,0.3877,25.907,17.0806,17.0806,24.8831,16.3799,16.3799,
TAC_A01,28,Euterpe oleracea,Arecaceae,799922.3997,9725884.46,11.9,11.4,9.31,20140812,False,P,P01,12.03,12.03,feldpausch_regional,0.18,default,-1.0,11.72,11.9,11.9,False,P,11.4,measured,11.72,11.277168173172086,0.3877,27.6355,17.0806,17.0806,26.5433,16.3799,16.3799,
TAC_A01,29,Euterpe oleracea,Arecaceae,799922.3997,9725884.46,7.2,6.32,2.45,20140812,False,P,P01,8.34,8.34,feldpausch_regional,0.18,default,-1.0,7.02,8.18,7.2,False,P,6.32,measured,7.0200000000000005,6.201479021379597,0.3877,5.8274,4.2932,4.2932,5.4449,4.0047,4.0047,
TAC_A01,30,Euterpe oleracea,Arecaceae,799922.3997,9725884.46,8.2,3.37,1.57,20140812,False,P,P01,9.19,9.19,feldpausch_regional,0.18,default,-1.0,8.02,9.04,8.2,False,P,3.37,measured,8.02,3.3151389286713213,0.3877,4.0662,6.1378,6.1378,3.8319,5.7746,5.7746,
TAC_A01,31,Theobroma glaucum,Malvaceae,799925.8701,9725883.439,9.8,5.28,2.11,20140812,False,O,P01,10.47,10.47,feldpausch_regional,0.18,default,-1.0,9.62,10.33,9.8,False,O,5.28,measured,9.620000000000001,5.2093440507040345,0.5297,8.9253,8.9253,7.9034,8.4957,8.4957,7.5229,
TAC_A01,32,Theobroma glaucum,Malvaceae,799923.4431,9725881.369,11.0,5.6,2.46,20140812,False,O,P01,11.38,11.38,feldpausch_regional,0.18,default,-1.0,10.82,11.24,11.0,False,O,5.6,measured,10.82,5.534097164291668,0.5297,11.8438,11.8438,10.4877,11.3367,11.3367,10.0386,
TAC_A01,33,Theobroma glaucum,Malvaceae,799920.8643,9725879.169,9.4,4.82,2.97,20140812,False,O,P01,10.16,10.16,feldpausch_regional,0.18,default,-1.0,9.22,10.01,9.4,False,O,4.82,measured,9.22,4.752459581393167,0.5297,7.5277,7.5277,6.6658,7.1497,7.1497,6.3311,
TAC_A01,34,Theobroma glaucum,Malvaceae,799919.1957,9725877.745,7.5,3.32,1.86,20140812,False,O,P01,8.6,8.6,feldpausch_regional,0.18,default,-1.0,7.32,8.44,7.5,False,O,3.32,measured,7.32,3.260435839442611,0.5297,3.3668,3.3668,2.9813,3.1546,3.1546,2.7934,
TAC_A01,35,Theobroma glaucum,Malvaceae,799916.3894,9725875.351,9.9,3.84,1.57,20140812,False,O,P01,10.55,10.55,feldpausch_regional,0.18,default,-1.0,9.72,10.41,9.9,False,O,3.84,measured,9.72,3.7891883640358492,0.5297,6.6719,6.6719,5.908,6.354,6.354,5.6265,
TAC_A01,36,Theobroma glaucum,Malvaceae,799914.4174,9725873.669,9.5,5.74,1.4,20140812,False,O,P01,10.23,10.23,feldpausch_regional,0.18,default,-1.0,9.32,10.09,9.5,False,O,5.74,measured,9.32,5.66050211123258,0.5297,9.1133,9.1133,8.0698,8.6606,8.6606,7.669,
TAC_A01,37,Theobroma glaucum,Malvaceae,799911.7628,9725871.404,10.5,3.81,1.42,20140812,False,O,P01,11.0,11.0,feldpausch_regional,0.18,default,-1.0,10.32,10.87,10.5,False,O,3.81,measured,10.32,3.762774387002603,0.5297,7.4269,7.4269,6.5765,7.0935,7.0935,6.2813,
TAC_A01,38,Theobroma glaucum,Malvaceae,799909.3358,9725869.333,11.6,4.68,2.08,20140812,False,O,P01,11.82,11.82,feldpausch_regional,0.18,default,-1.0,11.42,11.69,11.6,False,O,4.68,measured,11.42,4.628105638460642,0.5297,11.0266,11.0266,9.7641,10.5793,10.5793,9.368,
TAC_A01,39,Theobroma glaucum,Malvaceae,799907.2121,9725867.522,15.6,5.11,2.16,20140812,False,O,P01,14.54,14.54,feldpausch_regional,0.18,default,-1.0,15.42,14.42,15.6,False,O,5.11,measured,15.42,5.069575588353045,0.5297,21.4219,21.4219,18.9691,20.7804,20.7804,18.4011,
TAC_A01,40,Theobroma glaucum,Malvaceae,799905.6952,9725866.228,11.7,4.46,1.96,20140812,False,O,P01,11.89,11.89,feldpausch_regional,0.18,default,-1.0,11.52,11.76,11.7,False,O,4.46,measured,11.52,4.411019760692881,0.5297,10.6982,10.6982,9.4733,10.268,10.268,9.0923,
TAC_A01,41,Theobroma glaucum,Malvaceae,799907.7316,9725864.154,8.1,4.01,0.83,20140812,False,O,P01,9.1,9.1,feldpausch_regional,0.18,default,-1.0,7.92,8.95,8.1,False,O,4.01,measured,7.92,3.943839587033238,0.5297,4.7043,4.7043,4.1656,4.4299,4.4299,3.9226,
TAC_A01,42,Euterpe oleracea,Arecaceae,799907.7316,9725864.154,13.4,9.7,6.46,20140812,False,P,P01,13.08,13.08,feldpausch_regional,0.18,default,-1.0,13.22,12.96,13.4,False,P,9.7,measured,13.22,9.608629928206025,0.3877,29.7618,23.67,23.67,28.7198,22.8064,22.8064,
TAC_A01,43,Euterpe oleracea,Arecaceae,799907.7316,9725864.154,13.4,9.42,5.5,20140812,False,P,P01,13.08,13.08,feldpausch_regional,0.18,default,-1.0,13.22,12.96,13.4,False,P,9.42,measured,13.22,9.331267414814512,0.3877,28.923,23.67,23.67,27.9104,22.8064,22.8064,
TAC_A01,44,Euterpe oleracea,Arecaceae,799907.7316,9725864.154,12.2,11.16,7.78,20140812,False,P,P01,12.25,12.25,feldpausch_regional,0.18,default,-1.0,12.02,12.12,12.2,False,P,11.16,measured,12.02,11.043081364689353,0.3877,28.4155,18.2902,18.2902,27.3206,17.5581,17.5581,
TAC_A01,45,Euterpe oleracea,Arecaceae,799907.7316,9725864.154,7.7,5.1,1.98,20140812,False,P,P01,8.77,8.77,feldpausch_regional,0.18,default,-1.0,7.52,8.62,7.7,False,P,5.1,measured,7.5200000000000005,5.011081360882248,0.3877,5.3886,5.1632,5.1632,5.0579,4.8382,4.8382,
TAC_A01,46,Theobroma glaucum,Malvaceae,799909.2571,9725865.458,9.9,3.92,1.15,20140812,False,O,P01,10.55,10.55,feldpausch_regional,0.18,default,-1.0,9.72,10.41,9.9,False,O,3.92,measured,9.72,3.868129788286596,0.5297,6.8075,6.8075,6.0281,6.4832,6.4832,5.7408,
TAC_A01,47,Euterpe oleracea,Arecaceae,799910.0198,9725866.109,12.8,11.56,6.99,20140812,False,P,P01,12.67,12.67,feldpausch_regional,0.18,default,-1.0,12.62,12.55,12.8,False,P,11.56,measured,12.620000000000001,11.445291392700765,0.3877,32.2984,20.87,20.87,31.1135,20.0733,20.0733,
TAC_A01,48,Theobroma glaucum,Malvaceae,799911.5454,9725867.413,11.8,5.3,1.93,20140812,False,O,P01,11.96,11.96,feldpausch_regional,0.18,default,-1.0,11.62,11.83,11.8,False,O,5.3,measured,11.620000000000001,5.242349111074404,0.5297,12.8726,12.8726,11.3987,12.3595,12.3595,10.9443,
TAC_A01,49,Theobroma glaucum,Malvaceae,799913.4523,9725869.043,8.5,3.19,0.78,20140812,False,O,P01,9.43,9.43,feldpausch_regional,0.18,default,-1.0,8.32,9.29,8.5,False,O,3.19,measured,8.32,3.140070759021082,0.5297,4.1341,4.1341,3.6608,3.9044,3.9044,3.4574,
TAC_A01,50,Euterpe oleracea,Arecaceae,799914.5964,9725870.021,15.6,11.43,7.01,20140812,False,P,P01,14.54,14.54,feldpausch_regional,0.18,default,-1.0,15.42,14.42,15.6,False,P,11.43,measured,15.42,11.33957905574859,0.3877,46.9995,35.9452,35.9452,45.5919,34.8168,34.8168,
TAC_A01,51,Theobroma glaucum,Malvaceae,799915.8931,9725871.129,13.3,5.02,1.5,20140812,False,O,P01,13.02,13.02,feldpausch_regional,0.18,default,-1.0,13.12,12.89,13.3,False,O,5.02,measured,13.120000000000001,4.972308649276543,0.5297,15.4208,15.4208,13.6551,14.8768,14.8768,13.1734,
TAC_A01,52,Theobroma glaucum,Malvaceae,799918.4102,9725873.28,10.8,2.1,1.93,20140812,False,O,P01,11.23,11.23,feldpausch_regional,0.18,default,-1.0,10.62,11.09,10.8,False,O,2.1,measured,10.620000000000001,2.0747747569098625,0.5297,4.3872,4.3872,3.8849,4.1958,4.1958,3.7154,
TAC_A01,53,Euterpe oleracea,Arecaceae,799919.7069,9725874.388,14.9,11.3,7.13,20140812,False,P,P01,14.08,14.08,feldpausch_regional,0.18,default,-1.0,14.72,13.97,14.9,False,P,11.3,measured,14.72,11.205739303790034,0.3877,42.4937,31.6843,31.6843,41.1596,30.6435,30.6435,
TAC_A01,54,Euterpe oleracea,Arecaceae,799919.7069,9725874.388,12.7,10.95,7.92,20140812,False,P,P01,12.6,12.6,feldpausch_regional,0.18,default,-1.0,12.52,12.48,12.7,False,P,10.95,measured,12.52,10.840374317940752,0.3877,30.1685,20.4249,20.4249,29.0528,19.6391,19.6391,
TAC_A01,55,Theobroma glaucum,Malvaceae,799920.6985,9725875.236,10.7,4.33,0.75,20140812,False,O,P01,11.15,11.15,feldpausch_regional,0.18,default,-1.0,10.52,11.02,10.7,False,O,4.33,measured,10.52,4.277445420940757,0.5297,8.7303,8.7303,7.7307,8.3459,8.3459,7.3903,
TAC_A01,56,Euterpe oleracea,Arecaceae,799921.6138,9725876.018,8.4,8.3,4.73,20140812,False,P,P01,9.35,9.35,feldpausch_regional,0.18,default,-1.0,8.22,9.2,8.4,False,P,8.3,measured,8.22,8.168395953880049,0.3877,10.2725,6.558,6.558,9.6947,6.179,6.179,
TAC_A01,57,Euterpe oleracea,Arecaceae,799921.6138,9725876.018,12.6,12.0,7.35,20140812,False,P,P01,12.53,12.53,feldpausch_regional,0.18,default,-1.0,12.42,12.4,12.6,False,P,12.0,measured,12.42,11.87878204744244,0.3877,32.4837,19.986,19.986,31.2726,19.211,19.211,
TAC_A01,58,Euterpe oleracea,Arecaceae,799921.6138,9725876.018,12.3,9.05,6.48,20140812,False,P,P01,12.32,12.32,feldpausch_regional,0.18,default,-1.0,12.12,12.19,12.3,False,P,9.05,measured,12.120000000000001,8.956056621583382,0.3877,23.5312,18.7052,18.7052,22.632,17.9625,17.9625,
TAC_A01,59,Theobroma glaucum,Malvaceae,799922.6054,9725876.866,10.3,4.49,2.12,20140812,False,O,P01,10.85,10.85,feldpausch_regional,0.18,default,-1.0,10.12,10.71,10.3,False,O,4.49,measured,10.120000000000001,4.433142260387793,0.5297,8.3968,8.3968,7.4353,8.0124,8.0124,7.095,
TAC_A01,60,Theobroma glaucum,Malvaceae,799925.2751,9725879.147,7.9,4.75,2.01,20140812,False,O,P01,8.94,8.94,feldpausch_regional,0.18,default,-1.0,7.72,8.79,7.9,False,O,4.75,measured,7.720000000000001,4.669463979711626,0.5297,5.2854,5.2854,4.6803,4.9693,4.9693,4.4003,
TAC_A01,61,Euterpe oleracea,Arecaceae,799926.8006,9725880.451,13.7,12.07,8.26,20140812,False,P,P01,13.29,13.29,feldpausch_regional,0.18,default,-1.0,13.52,13.17,13.7,False,P,12.07,measured,13.52,11.959139896918346,0.3877,38.4668,25.1551,25.1551,37.1503,24.2572,24.2572,
TAC_A01,62,Euterpe oleracea,Arecaceae,799926.8006,9725880.451,11.8,11.14,6.74,20140812,False,P,P01,11.96,11.96,feldpausch_regional,0.18,default,-1.0,11.62,11.83,11.8,False,P,11.14,measured,11.620000000000001,11.018824357994125,0.3877,26.5787,16.689,16.689,25.5192,15.9986,15.9986,
TAC_A01,63,Euterpe oleracea,Arecaceae,799926.8006,9725880.451,11.9,12.24,7.25,20140812,False,P,P01,12.03,12.03,feldpausch_regional,0.18,default,-1.0,11.72,11.9,11.9,False,P,12.24,measured,11.72,12.108117406984766,0.3877,29.6212,17.0806,17.0806,28.4505,16.3799,16.3799,
TAC_A01,64,Theobroma glaucum,Malvaceae,799927.5633,9725881.103,11.3,5.15,1.61,20140812,False,O,P01,11.6,11.6,feldpausch_regional,0.18,default,-1.0,11.12,11.47,11.3,False,O,5.15,measured,11.120000000000001,5.091190666468891,0.5297,11.5025,11.5025,10.1855,11.0233,11.0233,9.7612,
